Sku,Created,Quantity
0010131-S,2024-05-10 12:37:32,1
0010131-S,2024-05-08 09:48:31,1
0010131-S,2024-05-08 13:08:19,1
0010131-S,2024-05-09 07:16:28,1
0010131-S,2024-05-09 10:22:44,1
0010131-S,2024-05-09 14:59:19,1
0010131-S,2024-05-09 15:01:51,1
0010131-S,2024-05-07 10:22:10,1
0010131-S,2024-05-03 10:29:10,1
0010131-S,2024-05-03 10:37:05,1
0010131-S,2024-05-03 12:36:48,1
0010131-S,2024-05-03 13:20:53,1
0010131-S,2024-04-30 11:17:23,1
0010131-S,2024-05-01 08:56:10,1
0010131-S,2024-04-26 09:33:20,1
0010131-S,2024-04-26 11:33:34,1
0010131-S,2024-04-26 11:36:26,1
0010131-S,2024-04-26 14:19:41,1
0010131-S,2024-04-26 14:21:52,1
0010131-S,2024-04-26 14:25:56,1
0010131-S,2024-04-26 14:26:56,1
0010131-S,2024-04-26 14:28:16,1
0010131-S,2024-04-29 07:33:01,1
0010131-S,2024-04-23 14:19:36,1
0010131-S,2024-04-25 08:54:46,1
0010131-S,2024-04-17 06:54:46,1
0010131-S,2024-04-12 09:43:30,1
0010131-S,2024-04-12 10:36:05,1
0010131-S,2024-04-12 11:17:47,1
0010131-S,2024-04-12 11:35:44,1
0010131-S,2024-04-12 12:53:11,1
0010131-S,2024-04-12 13:51:23,1
0010131-S,2024-04-12 13:59:44,1
0010131-S,2024-04-13 06:18:56,1
0010131-S,2024-04-13 06:45:53,1
0010131-S,2024-04-13 06:48:29,1
0010131-S,2024-04-13 06:54:36,1
0010131-S,2024-04-10 09:35:52,1
0010131-S,2024-04-10 10:00:41,1
0010131-S,2024-04-10 10:35:21,1
0010131-S,2024-04-10 11:10:21,1
0010131-S,2024-04-10 13:03:48,1
0010131-S,2024-04-10 13:07:42,1
0010131-S,2024-04-10 13:36:23,1
0010131-S,2024-04-08 06:23:43,1
0010131-S,2024-04-08 06:31:08,1
0010131-S,2024-04-08 06:37:47,1
0010131-S,2024-04-08 06:57:11,1
0010131-S,2024-04-03 10:40:03,1
0010131-S,2024-04-03 14:46:37,1
0010131-S,2024-04-03 14:48:06,1
0010131-S,2024-04-03 14:54:04,1
0010131-S,2024-04-03 14:58:46,1
0010131-S,2024-04-03 15:02:31,1
0010131-S,2024-04-03 15:03:22,1
0010131-S,2024-04-02 14:44:55,1
0010131-S,2024-04-03 07:20:56,1
0010131-S,2024-04-03 07:25:31,1
0010131-S,2024-04-03 07:53:55,1
0010131-S,2024-04-03 08:18:31,1
0010131-S,2024-04-03 08:20:09,1
0010131-S,2024-04-03 08:42:44,1
0010131-S,2024-04-03 09:07:37,1
0010131-S,2024-04-03 09:35:51,1
0010131-S,2024-04-03 09:36:08,1
0010131-S,2024-04-03 09:45:40,1
0010131-S,2024-04-03 09:52:24,1
0010131-S,2024-04-03 09:57:22,1
0010131-S,2024-04-03 10:17:05,1
0010131-S,2024-04-03 10:22:25,1
0010131-S,2024-04-03 10:29:05,1
0010131-S,2024-04-03 10:33:22,1
