Sku,Created,Quantity
0027201-X,2023-12-21 08:54:03,2
0027201-X,2023-12-21 11:40:36,2
0027201-X,2023-12-21 12:49:08,3
0027201-X,2023-12-21 12:57:35,4
0027201-X,2023-12-21 13:06:12,3
0027201-X,2023-12-15 15:45:50,3
0027201-X,2023-12-16 08:36:07,2
0027201-X,2023-12-16 08:43:19,2
0027201-X,2023-12-16 09:23:41,2
0027201-X,2023-12-16 09:58:20,2
0027201-X,2023-12-16 11:41:05,2
0027201-X,2023-12-16 14:21:18,2
0027201-X,2023-12-16 14:38:54,2
0027201-X,2023-12-16 14:53:19,2
0027201-X,2023-12-16 15:06:38,3
0027201-X,2023-12-13 14:15:47,2
0027201-X,2023-12-14 07:48:23,2
0027201-X,2023-12-14 08:49:55,2
0027201-X,2023-12-14 08:57:43,3
0027201-X,2023-12-14 09:10:35,3
0027201-X,2023-12-14 09:15:06,3
0027201-X,2023-12-14 09:16:24,4
0027201-X,2023-12-14 09:22:36,4
0027201-X,2023-12-14 09:24:53,4
0027201-X,2023-12-14 09:31:30,4
0027201-X,2023-12-14 09:47:43,4
0027201-X,2023-12-14 10:35:31,4
0027201-X,2023-12-14 10:56:58,3
0027201-X,2023-12-14 11:01:30,4
0027201-X,2023-12-14 11:05:23,4
0027201-X,2023-12-14 11:14:27,4
0027201-X,2023-12-14 11:28:49,4
0027201-X,2023-12-14 11:40:35,4
0027201-X,2023-12-14 11:53:34,4
0027201-X,2023-12-14 12:06:23,4
0027201-X,2023-12-14 12:19:20,4
0027201-X,2023-12-14 12:25:09,4
0027201-X,2023-12-14 12:41:15,4
0027201-X,2023-12-14 12:43:11,4
0027201-X,2023-12-14 12:48:25,4
0027201-X,2023-12-14 12:53:13,4
0027201-X,2023-12-14 13:02:04,4
0027201-X,2023-12-14 13:07:48,4
0027201-X,2023-12-14 13:52:44,4
0027201-X,2023-12-14 14:06:49,4
0027201-X,2023-12-14 14:08:57,4
0027201-X,2023-12-14 14:14:55,4
0027201-X,2023-12-14 14:22:50,4
0027201-X,2023-12-14 14:29:58,4
0027201-X,2023-12-14 14:34:56,4
0027201-X,2023-12-14 14:40:20,4
0027201-X,2023-12-14 15:16:12,4
0027201-X,2023-12-14 15:30:10,4
0027201-X,2023-12-14 15:38:02,4
0027201-X,2023-12-14 15:42:30,4
0027201-X,2023-12-14 15:44:45,2
0027201-X,2023-12-14 15:47:41,4
0027201-X,2023-12-14 16:01:49,4
0027201-X,2023-12-15 07:20:39,2
0027201-X,2023-12-15 07:20:40,2
0027201-X,2023-12-15 08:12:55,2
