Sku,Created,Quantity
0050753-A,2024-02-20 12:05:51,1
0050753-A,2024-05-07 07:05:18,1
0050753-A,2024-05-07 07:09:55,2
0050753-A,2024-04-26 12:52:06,1
0050753-A,2024-04-26 13:52:51,1
0050753-A,2024-04-26 14:37:03,1
0050753-A,2024-04-27 06:34:52,2
0050753-A,2024-04-27 07:33:08,1
0050753-A,2024-04-17 11:07:29,1
0050753-A,2024-04-09 13:56:51,1
0050753-A,2024-04-04 12:01:11,2
0050753-A,2024-03-20 06:37:17,1
0050753-A,2023-12-27 10:41:20,1
0050753-A,2023-11-21 07:04:38,3
0050753-A,2023-10-19 07:10:12,2
