Sku,Created,Quantity
85587BU-X,2024-01-16 11:25:58,1
85587BU-X,2024-01-18 08:43:49,1
85587BU-X,2024-01-18 09:36:53,1
85587BU-X,2024-01-04 15:40:28,1
85587BU-X,2024-01-04 15:54:08,1
85587BU-X,2024-01-04 18:57:29,1
85587BU-X,2024-01-04 19:13:27,1
85587BU-X,2024-01-09 15:43:40,1
85587BU-X,2023-12-20 12:32:19,1
85587BU-X,2023-12-16 12:03:01,1
85587BU-X,2023-12-08 11:00:34,1
85587BU-X,2023-12-08 15:23:58,1
85587BU-X,2023-12-08 15:26:34,1
85587BU-X,2023-12-08 15:28:53,1
85587BU-X,2023-12-08 15:32:14,1
85587BU-X,2023-12-08 15:37:56,1
85587BU-X,2023-12-08 15:50:19,1
85587BU-X,2023-12-08 16:04:10,1
85587BU-X,2023-12-09 12:00:37,1
85587BU-X,2023-12-09 12:00:36,1
85587BU-X,2023-12-09 12:03:58,1
85587BU-X,2023-12-09 12:23:58,1
85587BU-X,2023-12-05 09:14:02,1
85587BU-X,2023-12-01 14:58:59,1
85587BU-X,2023-12-01 15:17:53,1
85587BU-X,2023-12-01 15:20:40,1
85587BU-X,2023-12-01 15:48:26,1
85587BU-X,2023-12-01 15:53:14,1
85587BU-X,2023-12-02 07:09:05,1
85587BU-X,2023-12-02 08:57:49,1
85587BU-X,2023-12-02 11:33:34,1
85587BU-X,2023-12-04 07:22:43,1
85587BU-X,2023-12-04 08:49:06,1
85587BU-X,2023-12-04 09:08:42,1
85587BU-X,2023-12-05 07:42:06,1
85587BU-X,2023-11-29 07:12:02,1
85587BU-X,2023-11-29 07:27:28,2
85587BU-X,2023-11-29 07:46:08,1
85587BU-X,2023-11-29 07:53:53,1
85587BU-X,2023-11-29 08:35:56,1
85587BU-X,2023-11-29 09:04:42,1
85587BU-X,2023-11-29 09:05:50,1
85587BU-X,2023-11-29 10:43:33,1
85587BU-X,2023-11-29 12:49:38,11
85587BU-X,2023-11-29 12:58:11,2
85587BU-X,2023-11-30 11:16:06,1
85587BU-X,2023-11-30 11:55:07,1
85587BU-X,2023-12-01 09:08:34,1
85587BU-X,2023-12-01 13:56:54,1
85587BU-X,2023-11-24 15:17:35,1
85587BU-X,2023-11-24 15:42:44,1
85587BU-X,2023-11-25 08:37:17,1
85587BU-X,2023-11-25 08:41:30,2
85587BU-X,2023-11-25 09:16:45,1
85587BU-X,2023-11-25 11:17:02,1
85587BU-X,2023-11-25 11:27:19,1
85587BU-X,2023-11-27 07:37:30,1
85587BU-X,2023-11-27 08:27:18,1
85587BU-X,2023-11-27 08:33:15,1
