Sku,Created,Quantity
C457852-A,2023-11-20 14:37:36,1
C457852-A,2023-11-20 15:25:29,1
C457852-A,2023-11-22 11:38:20,1
C457852-A,2023-11-22 12:04:47,1
C457852-A,2023-11-06 15:20:15,1
C457852-A,2023-11-06 15:21:05,1
C457852-A,2023-11-06 15:22:20,1
C457852-A,2023-11-06 15:22:40,1
C457852-A,2023-11-06 15:23:24,1
C457852-A,2023-11-06 15:23:46,1
C457852-A,2023-11-06 15:24:02,1
C457852-A,2023-11-06 15:24:32,1
C457852-A,2023-11-06 15:28:29,1
C457852-A,2023-11-06 15:29:49,1
C457852-A,2023-11-06 15:30:13,1
C457852-A,2023-11-06 15:32:37,1
C457852-A,2023-11-06 15:33:29,1
C457852-A,2023-11-06 15:34:03,1
C457852-A,2023-11-06 15:36:41,1
C457852-A,2023-11-06 15:37:16,1
C457852-A,2023-11-06 15:38:05,1
C457852-A,2023-11-06 15:38:48,1
C457852-A,2023-11-06 15:40:19,1
C457852-A,2023-11-06 15:41:10,1
C457852-A,2023-11-06 15:43:14,1
C457852-A,2023-11-06 15:43:46,1
C457852-A,2023-11-06 15:44:06,1
C457852-A,2023-11-06 15:45:25,1
C457852-A,2023-11-06 15:45:44,1
C457852-A,2023-11-06 15:45:57,1
C457852-A,2023-11-06 15:46:19,1
C457852-A,2023-11-06 15:48:10,1
C457852-A,2023-11-06 15:48:33,1
C457852-A,2023-11-06 15:49:05,1
C457852-A,2023-11-06 15:51:44,1
C457852-A,2023-11-06 15:52:05,1
C457852-A,2023-11-06 15:52:29,1
C457852-A,2023-11-06 15:53:52,1
C457852-A,2023-11-06 15:54:33,1
C457852-A,2023-11-07 06:50:41,1
C457852-A,2023-11-07 06:51:04,1
C457852-A,2023-11-07 06:51:23,1
C457852-A,2023-11-07 06:51:43,1
C457852-A,2023-11-07 06:53:20,1
C457852-A,2023-11-07 06:53:36,1
C457852-A,2023-11-07 06:54:14,1
C457852-A,2023-11-07 06:54:47,1
C457852-A,2023-11-07 06:55:07,1
C457852-A,2023-11-07 06:55:20,1
C457852-A,2023-11-07 06:56:17,1
C457852-A,2023-11-07 06:56:34,1
C457852-A,2023-11-07 06:57:01,1
C457852-A,2023-11-07 06:57:36,1
C457852-A,2023-11-07 06:57:52,1
C457852-A,2023-11-07 06:58:14,1
C457852-A,2023-11-07 06:58:37,1
C457852-A,2023-11-07 06:58:58,1
C457852-A,2023-11-07 06:59:21,1
C457852-A,2023-11-07 06:59:40,1
C457852-A,2023-11-07 07:00:03,1
C457852-A,2023-11-07 07:00:23,1
C457852-A,2023-11-07 07:00:50,1
C457852-A,2023-11-07 07:01:13,1
C457852-A,2023-11-07 07:01:38,1
C457852-A,2023-11-07 07:01:59,1
C457852-A,2023-11-07 07:02:21,1
C457852-A,2023-11-07 07:02:41,1
C457852-A,2023-11-07 07:03:10,1
C457852-A,2023-11-07 07:03:31,1
C457852-A,2023-11-07 07:03:56,1
C457852-A,2023-11-07 07:04:20,1
C457852-A,2023-11-07 07:04:43,1
C457852-A,2023-11-07 07:05:06,1
C457852-A,2023-11-07 07:05:31,1
C457852-A,2023-11-07 07:05:54,1
C457852-A,2023-11-07 07:06:14,1
C457852-A,2023-11-07 07:06:47,1
C457852-A,2023-11-07 07:07:08,1
C457852-A,2023-11-07 07:07:23,1
C457852-A,2023-11-07 07:07:46,1
C457852-A,2023-11-07 07:08:15,1
C457852-A,2023-11-07 07:08:40,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:30,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:31,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:32,1
C457852-A,2023-11-10 18:42:32,1
