SKU,Model,MSE,RMSE,MAE,R2
0040909-S,Linear Regression,26.06915860929259,5.1057965695171,4.861638754957075,-6.556277857765968
0040909-S,Ridge,12.642401555614148,3.5556154960307715,3.25047581480203,-2.6644642190185936
0040909-S,Lasso,3.1006564683411555,1.760868100779032,1.598627147209187,0.10125899468372312
0040909-S,Elastic Net,28.640696485813898,5.351700335950612,5.162297968625356,-7.301651155308376
0040909-S,SVR,4.206036433612089,2.0508623634003547,1.7164247535367516,-0.21914099524988062
0040909-S,Decision Tree,71.632,8.463568987135393,5.88,-19.76289855072464
0040909-S,Random Forest,33.0667181346545,5.750366782619566,4.682309126984126,-8.584555981059276
0040909-S,Gradient Boosting,55.91823727167275,7.477849775949818,5.64584221295385,-15.208184716426885
0040909-S,XGBoost,30.1255831833053,5.488677726311256,3.781762714870274,-7.732053096610231
0040909-S,CatBoost,47.62339895573681,6.9009708705179165,5.5442033376913065,-12.803883755286032
0026817-S,Linear Regression,28.362196482189415,5.325617004835159,4.38788153520701,-47.62090825518185
0026817-S,Ridge,28.166985613126258,5.3072578242559745,4.37662628981606,-47.28626105107359
0026817-S,Lasso,26.411614235414437,5.139223115940233,4.262768207917799,-44.27705297499618
0026817-S,Elastic Net,25.796988605052537,5.0790735971289624,4.226506105376779,-43.22340903723292
0026817-S,SVR,0.6267975306423613,0.7917054569992311,0.7056793710583973,-0.0745100525297624
0026817-S,Decision Tree,87.86226851851852,9.373487532317869,5.597222222222221,-149.62103174603175
0026817-S,Random Forest,72.90462540531043,8.538420545119012,5.258958333333333,-123.97935783767502
0026817-S,Gradient Boosting,87.85626965338794,9.373167535758013,5.5971174721588595,-149.61074797723649
0026817-S,XGBoost,87.85696896013307,9.373204839335001,5.597157163370866,-149.61194678879954
0026817-S,CatBoost,87.8601677272066,9.373375471366044,5.5972378214065985,-149.61743038949703
0077323-S,Linear Regression,47.67331578637093,6.904586576064561,4.832029795158287,-0.19183289465927333
0077323-S,Ridge,47.55255712907745,6.895836216810652,4.834606441894773,-0.18881392822693632
0077323-S,Lasso,45.969054764196606,6.780048286273233,4.865353037766831,-0.14922636910491516
0077323-S,Elastic Net,46.03931794847113,6.785227921630277,4.863824334556468,-0.1509829487117782
0077323-S,SVR,68.56446837590028,8.280366439711486,5.457492370279716,-0.7141117093975071
0077323-S,Decision Tree,37.3475,6.111260099193946,4.5055555555555555,0.0663125
0077323-S,Random Forest,36.447823905785185,6.037203318241418,4.21793430335097,0.08880440235537035
