,date,sales
437,2023-10-06 01:43:52,100
438,2023-10-06 01:51:38,100
439,2023-10-06 02:05:46,100
440,2023-10-06 02:22:51,300
457,2023-10-07 01:00:08,100
458,2023-10-07 01:10:06,100
459,2023-10-07 01:24:59,100
460,2023-10-07 01:25:25,100
461,2023-10-07 01:47:29,100
462,2023-10-07 01:51:26,200
463,2023-10-07 01:53:35,100
464,2023-10-07 01:54:11,100
465,2023-10-07 02:00:34,100
466,2023-10-07 02:02:01,100
467,2023-10-07 02:03:33,100
468,2023-10-07 02:05:04,200
469,2023-10-07 02:05:17,100
470,2023-10-07 02:08:34,100
471,2023-10-07 02:11:44,100
472,2023-10-07 02:12:12,100
473,2023-10-07 02:15:48,100
474,2023-10-07 02:16:09,100
475,2023-10-07 02:17:42,100
476,2023-10-07 02:19:10,100
477,2023-10-07 02:20:18,100
478,2023-10-07 02:21:37,100
479,2023-10-07 02:26:54,200
480,2023-10-07 02:27:34,300
481,2023-10-07 02:29:46,100
482,2023-10-07 02:30:41,300
483,2023-10-07 02:30:57,200
484,2023-10-07 02:32:39,200
485,2023-10-07 02:34:11,100
486,2023-10-07 02:38:23,100
487,2023-10-07 02:42:55,100
488,2023-10-07 02:43:01,200
489,2023-10-07 02:50:41,100
490,2023-10-07 02:51:11,100
491,2023-10-07 02:52:56,100
492,2023-10-07 02:56:16,100
493,2023-10-07 02:56:18,100
494,2023-10-07 02:57:26,100
495,2023-10-07 03:02:09,100
496,2023-10-07 07:50:27,100
497,2023-10-07 08:09:22,100
498,2023-10-07 08:21:10,100
499,2023-10-07 08:43:15,100
500,2023-10-07 08:57:44,100
501,2023-10-07 09:40:47,200
502,2023-10-07 09:56:30,200
503,2023-10-07 09:56:51,200
504,2023-10-07 09:59:31,100
441,2023-10-07 10:08:16,100
442,2023-10-07 10:41:06,100
443,2023-10-07 11:01:57,300
444,2023-10-07 11:04:03,100
445,2023-10-07 11:19:49,300
446,2023-10-07 11:31:24,100
447,2023-10-07 11:34:54,200
448,2023-10-07 11:48:57,100
449,2023-10-07 11:49:54,100
450,2023-10-07 11:55:34,100
451,2023-10-07 12:02:06,100
452,2023-10-07 12:28:15,100
453,2023-10-07 12:41:23,100
454,2023-10-07 12:53:57,100
455,2023-10-07 12:55:59,100
456,2023-10-07 12:57:23,100
518,2023-10-09 01:54:34,100
519,2023-10-09 07:12:33,100
520,2023-10-09 07:20:28,200
521,2023-10-09 07:23:36,100
522,2023-10-09 07:26:30,100
523,2023-10-09 07:28:26,100
524,2023-10-09 07:30:24,100
525,2023-10-09 07:31:38,100
526,2023-10-09 07:33:07,100
527,2023-10-09 07:35:14,100
528,2023-10-09 07:37:25,300
529,2023-10-09 07:38:37,300
530,2023-10-09 07:38:45,100
531,2023-10-09 07:39:50,100
532,2023-10-09 07:40:17,200
533,2023-10-09 07:42:27,100
534,2023-10-09 07:44:23,300
535,2023-10-09 07:45:19,100
536,2023-10-09 07:48:40,100
537,2023-10-09 07:55:18,100
538,2023-10-09 07:55:31,100
539,2023-10-09 07:56:49,100
540,2023-10-09 07:57:15,100
541,2023-10-09 08:01:51,300
542,2023-10-09 08:06:23,100
543,2023-10-09 08:09:23,100
544,2023-10-09 08:11:46,100
545,2023-10-09 08:19:33,100
546,2023-10-09 08:20:44,100
547,2023-10-09 08:24:42,300
548,2023-10-09 08:27:20,100
549,2023-10-09 08:29:13,100
550,2023-10-09 08:29:37,100
551,2023-10-09 08:33:57,300
552,2023-10-09 08:36:33,100
553,2023-10-09 08:36:38,100
554,2023-10-09 08:58:02,200
555,2023-10-09 09:30:58,100
556,2023-10-09 09:32:19,100
505,2023-10-09 10:11:24,100
506,2023-10-09 10:18:14,100
507,2023-10-09 10:19:50,100
508,2023-10-09 10:23:04,100
509,2023-10-09 10:25:14,100
510,2023-10-09 10:27:19,100
511,2023-10-09 10:27:55,100
512,2023-10-09 10:28:24,100
513,2023-10-09 10:30:13,100
514,2023-10-09 10:34:01,100
515,2023-10-09 11:18:07,100
516,2023-10-09 11:50:14,100
517,2023-10-09 12:57:53,100
8,2023-10-10 07:58:09,100
9,2023-10-10 08:33:30,100
10,2023-10-10 08:41:46,100
11,2023-10-10 08:57:19,100
12,2023-10-10 09:42:40,100
13,2023-10-10 09:43:29,100
14,2023-10-10 09:47:32,100
15,2023-10-10 09:54:18,200
16,2023-10-10 09:55:00,300
17,2023-10-10 09:55:48,200
18,2023-10-10 09:56:37,100
19,2023-10-10 09:57:23,100
20,2023-10-10 09:58:13,300
21,2023-10-10 09:59:19,100
0,2023-10-10 10:05:41,100
1,2023-10-10 10:12:19,200
