Sku,Created,Quantity
0970100-F,12/4/2023 1:54:16 PM,100
0970100-F,12/4/2023 1:54:17 PM,100
0970100-F,12/4/2023 1:54:23 PM,100
0970100-F,12/4/2023 1:54:25 PM,100
0970100-F,12/4/2023 1:54:27 PM,100
0970100-F,12/4/2023 1:59:57 PM,100
0970100-F,12/4/2023 1:59:58 PM,100
0970100-F,12/4/2023 2:00:00 PM,100
0970100-F,12/4/2023 2:00:02 PM,100
0970100-F,12/4/2023 2:00:02 PM,100
0970100-F,12/4/2023 2:09:24 PM,100
0970100-F,12/4/2023 2:09:27 PM,100
0970100-F,12/4/2023 2:09:28 PM,100
0970100-F,12/4/2023 2:09:31 PM,100
0970100-F,12/4/2023 2:09:33 PM,100
0970100-F,12/4/2023 2:09:35 PM,100
0970100-F,12/4/2023 3:18:19 PM,100
0970100-F,12/4/2023 3:18:22 PM,100
0970100-F,12/4/2023 3:18:24 PM,100
0970100-F,12/4/2023 3:39:58 PM,100
0970100-F,12/4/2023 3:40:01 PM,100
0970100-F,11/29/2023 9:35:34 AM,100
0970100-F,11/29/2023 9:47:29 AM,100
0970100-F,11/30/2023 9:53:43 AM,100
0970100-F,11/30/2023 10:37:06 AM,100
0970100-F,11/30/2023 10:39:34 AM,100
0970100-F,11/30/2023 10:58:59 AM,100
0970100-F,12/1/2023 7:09:58 AM,100
0970100-F,12/1/2023 7:18:06 AM,100
0970100-F,12/1/2023 7:22:55 AM,100
0970100-F,12/1/2023 7:41:20 AM,100
0970100-F,12/1/2023 1:55:52 PM,100
0970100-F,12/1/2023 2:09:16 PM,100
0970100-F,11/24/2023 7:22:59 AM,100
0970100-F,11/24/2023 7:36:43 AM,100
0970100-F,11/24/2023 7:39:31 AM,100
0970100-F,11/24/2023 7:45:18 AM,100
0970100-F,11/24/2023 7:49:55 AM,100
0970100-F,11/24/2023 8:49:50 AM,100
0970100-F,11/24/2023 9:13:23 AM,100
0970100-F,11/24/2023 9:32:53 AM,100
0970100-F,11/24/2023 11:08:03 AM,100
0970100-F,11/24/2023 11:13:25 AM,100
0970100-F,11/24/2023 11:50:29 AM,100
0970100-F,11/24/2023 2:42:44 PM,100
0970100-F,11/28/2023 12:27:39 PM,100
0970100-F,11/21/2023 11:44:34 AM,100
0970100-F,11/21/2023 11:53:33 AM,100
0970100-F,11/21/2023 11:57:38 AM,100
0970100-F,11/21/2023 12:02:28 PM,100
0970100-F,11/21/2023 12:07:27 PM,100
0970100-F,11/21/2023 12:10:06 PM,100
0970100-F,11/21/2023 12:16:49 PM,100
0970100-F,11/21/2023 12:31:26 PM,100
0970100-F,11/21/2023 12:48:36 PM,100
0970100-F,11/21/2023 2:26:07 PM,100
0970100-F,11/21/2023 3:46:15 PM,100
0970100-F,11/21/2023 4:20:47 PM,100
0970100-F,11/22/2023 7:32:15 AM,100
0970100-F,11/22/2023 7:35:03 AM,100
0970100-F,11/22/2023 7:44:35 AM,100
0970100-F,11/22/2023 8:02:51 AM,100
0970100-F,11/22/2023 8:11:38 AM,100
0970100-F,11/22/2023 10:40:20 AM,100
0970100-F,11/22/2023 4:18:03 PM,100
0970100-F,11/22/2023 4:18:06 PM,100
0970100-F,11/13/2023 11:03:08 AM,100
0970100-F,11/14/2023 9:26:51 AM,100
0970100-F,11/14/2023 11:04:59 AM,100
0970100-F,11/14/2023 3:21:10 PM,100
0970100-F,11/14/2023 4:19:53 PM,100
0970100-F,11/15/2023 10:50:18 AM,100
0970100-F,11/15/2023 10:55:21 AM,100
0970100-F,11/15/2023 1:54:35 PM,100
0970100-F,11/16/2023 8:33:47 AM,100
0970100-F,11/16/2023 1:54:15 PM,100
0970100-F,11/16/2023 2:06:14 PM,100
0970100-F,11/1/2023 9:41:14 AM,100
0970100-F,11/1/2023 10:25:59 AM,100
0970100-F,11/1/2023 10:28:24 AM,100
0970100-F,11/1/2023 10:41:34 AM,100
0970100-F,11/1/2023 11:13:09 AM,100
0970100-F,11/1/2023 11:17:19 AM,100
0970100-F,11/1/2023 11:18:56 AM,100
0970100-F,11/1/2023 12:42:20 PM,100
0970100-F,11/1/2023 12:49:46 PM,100
0970100-F,11/1/2023 1:25:20 PM,100
0970100-F,11/1/2023 2:40:06 PM,100
0970100-F,11/2/2023 2:53:27 PM,100
0970100-F,11/6/2023 11:39:18 AM,100
0970100-F,11/6/2023 11:55:55 AM,100
0970100-F,11/6/2023 12:03:46 PM,100
0970100-F,11/6/2023 12:53:35 PM,100
0970100-F,11/7/2023 12:30:56 PM,100
0970100-F,11/8/2023 11:24:47 AM,100
0970100-F,11/8/2023 11:26:00 AM,100
0970100-F,11/8/2023 12:05:58 PM,100
0970100-F,11/8/2023 12:22:44 PM,100
0970100-F,11/8/2023 12:28:15 PM,100
0970100-F,11/8/2023 12:38:26 PM,100
0970100-F,11/8/2023 12:52:15 PM,100
0970100-F,11/8/2023 2:01:16 PM,100
0970100-F,11/8/2023 2:24:15 PM,100
0970100-F,11/8/2023 3:26:59 PM,100
0970100-F,11/9/2023 8:40:29 AM,100
0970100-F,11/9/2023 9:38:12 AM,100
0970100-F,11/9/2023 10:55:13 AM,100
0970100-F,11/9/2023 11:05:06 AM,100
0970100-F,11/9/2023 11:14:47 AM,100
0970100-F,11/9/2023 11:56:07 AM,100
0970100-F,11/9/2023 12:43:27 PM,100
0970100-F,11/10/2023 12:40:22 PM,100
0970100-F,11/10/2023 2:30:24 PM,100
0970100-F,10/27/2023 9:39:54 AM,100
0970100-F,10/27/2023 9:41:15 AM,100
0970100-F,10/27/2023 9:43:49 AM,100
0970100-F,10/27/2023 9:48:12 AM,100
0970100-F,10/27/2023 9:50:38 AM,100
0970100-F,10/27/2023 10:01:00 AM,100
0970100-F,10/27/2023 10:16:51 AM,100
0970100-F,10/27/2023 10:29:07 AM,100
0970100-F,10/27/2023 10:49:11 AM,100
0970100-F,10/27/2023 10:58:29 AM,100
0970100-F,10/27/2023 11:27:38 AM,100
0970100-F,10/27/2023 11:35:31 AM,100
0970100-F,10/27/2023 11:36:43 AM,100
0970100-F,10/27/2023 12:21:23 PM,100
0970100-F,10/27/2023 12:54:41 PM,100
0970100-F,10/27/2023 1:12:45 PM,100
0970100-F,10/27/2023 2:39:10 PM,100
0970100-F,10/27/2023 3:03:50 PM,100
0970100-F,10/30/2023 8:48:26 AM,100
0970100-F,10/30/2023 8:48:31 AM,100
0970100-F,10/30/2023 8:58:23 AM,100
0970100-F,10/30/2023 9:01:24 AM,100
0970100-F,10/30/2023 9:31:13 AM,100
0970100-F,10/30/2023 9:35:20 AM,100
0970100-F,10/30/2023 9:37:17 AM,100
0970100-F,10/30/2023 9:50:13 AM,100
0970100-F,10/30/2023 9:57:43 AM,100
0970100-F,10/30/2023 10:05:20 AM,100
0970100-F,10/30/2023 10:40:21 AM,100
0970100-F,10/30/2023 11:04:44 AM,100
0970100-F,10/30/2023 11:05:22 AM,100
0970100-F,10/30/2023 11:06:36 AM,100
0970100-F,10/30/2023 11:09:58 AM,100
0970100-F,10/30/2023 11:11:04 AM,100
0970100-F,10/30/2023 11:13:20 AM,100
0970100-F,10/30/2023 11:33:39 AM,100
0970100-F,10/30/2023 12:01:33 PM,100
0970100-F,10/30/2023 12:46:04 PM,100
0970100-F,10/30/2023 12:48:42 PM,100
0970100-F,10/30/2023 12:48:46 PM,100
0970100-F,10/30/2023 1:11:43 PM,100
0970100-F,10/30/2023 1:12:06 PM,100
0970100-F,10/30/2023 1:14:15 PM,100
0970100-F,10/30/2023 1:14:46 PM,100
0970100-F,10/30/2023 1:18:38 PM,100
0970100-F,10/30/2023 1:20:07 PM,100
0970100-F,10/30/2023 1:20:44 PM,100
0970100-F,10/30/2023 1:25:35 PM,100
0970100-F,10/30/2023 1:52:31 PM,100
0970100-F,10/30/2023 1:56:02 PM,100
0970100-F,10/30/2023 2:02:16 PM,100
0970100-F,10/30/2023 2:06:43 PM,100
0970100-F,10/30/2023 2:15:53 PM,100
0970100-F,10/30/2023 2:16:15 PM,100
0970100-F,10/30/2023 2:45:52 PM,100
0970100-F,10/31/2023 7:17:23 AM,100
0970100-F,10/31/2023 8:02:07 AM,100
0970100-F,10/31/2023 8:06:39 AM,100
0970100-F,10/31/2023 11:10:40 AM,100
0970100-F,10/31/2023 11:14:42 AM,100
0970100-F,10/31/2023 11:17:21 AM,100
0970100-F,10/31/2023 12:44:36 PM,100
0970100-F,10/31/2023 12:49:37 PM,100
0970100-F,10/31/2023 12:56:14 PM,100
0970100-F,10/31/2023 1:55:39 PM,100
0970100-F,10/31/2023 2:10:39 PM,100
0970100-F,10/31/2023 2:43:01 PM,100
0970100-F,10/23/2023 2:12:41 PM,100
0970100-F,10/23/2023 2:27:03 PM,100
0970100-F,10/23/2023 2:35:09 PM,100
0970100-F,10/23/2023 3:11:54 PM,100
0970100-F,10/24/2023 8:05:26 AM,100
0970100-F,10/24/2023 10:04:14 AM,100
0970100-F,10/24/2023 10:04:20 AM,100
0970100-F,10/24/2023 10:05:23 AM,100
0970100-F,10/24/2023 10:05:32 AM,100
0970100-F,10/24/2023 10:14:04 AM,100
0970100-F,10/24/2023 10:24:50 AM,100
0970100-F,10/24/2023 10:25:08 AM,100
0970100-F,10/24/2023 10:25:10 AM,100
0970100-F,10/24/2023 10:25:15 AM,100
0970100-F,10/24/2023 10:40:44 AM,100
0970100-F,10/24/2023 11:06:09 AM,100
0970100-F,10/24/2023 11:14:30 AM,100
0970100-F,10/24/2023 11:55:03 AM,100
0970100-F,10/24/2023 12:03:47 PM,100
0970100-F,10/24/2023 12:43:58 PM,100
0970100-F,10/24/2023 12:56:04 PM,100
0970100-F,10/24/2023 12:57:00 PM,100
