Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Exponential Smoothing w/ Trend & Seasonality,2.838496291773013,1.6847837522284612,0.5045575677699414,-0.04884227300579358,0040909-S,,
Moving Average,2.813492063492064,1.6773467332343852,0.4672619047619047,-0.03960305303536171,0040909-S,,
Linear Regression,2.9072883162640033,1.7050772170972208,0.442055897471096,-0.07426135970353642,0040909-S,,
Least Squares Regression,2.9072883162640024,1.7050772170972206,0.4420558974710958,-0.07426135970353642,0040909-S,,
Weighted Moving Average,2.7734979666797845,1.6653822284027726,0.5135281385281385,-0.024824982150088992,0040909-S,,
Linear Smoothing,2.810422649026584,1.676431522319532,0.47046604127138714,-0.038468885041518464,0040909-S,,
Second Degree Approximation,3.0204091453757953,1.7379324340652014,0.5359253029284576,-0.11606021914675324,0040909-S,,
Exponential Smoothing w/ Trend & Seasonality,3.1091205385147958,1.7632698427962736,1.5319149113496247,-6.234684330005583,0026817-S,,
Moving Average,2.3099747474747474,1.5198601078634664,1.3863636363636362,-4.375133547008548,0026817-S,,
Linear Regression,5.109099830233753,2.2603317964922214,2.154032014497131,-10.888482297274697,0026817-S,,
Least Squares Regression,5.109099830233744,2.260331796492219,2.1540320144971283,-10.888482297274674,0026817-S,,
Weighted Moving Average,0.7109733700642795,0.843192368362214,0.6983471074380169,-0.6543803418803429,0026817-S,,
Linear Smoothing,1.8114950970716466,1.3459179384612001,1.2262156239335291,-3.215209745109025,0026817-S,,
Second Degree Approximation,5.735835871287339,2.394960515600902,2.290495097642005,-12.346848854341696,0026817-S,,
Exponential Smoothing w/ Trend & Seasonality,8.52226073224246,2.9192911352317124,2.284848081633121,-0.7571671612871049,0077323-S,,
Moving Average,5.294444444444444,2.3009659807229754,2.1333333333333333,-0.09163802978235958,0077323-S,,
Linear Regression,5.526130834976989,2.3507723911465757,2.14025641025641,-0.1394084195828844,0077323-S,,
Least Squares Regression,5.526130834976988,2.3507723911465757,2.14025641025641,-0.1394084195828842,0077323-S,,
Weighted Moving Average,4.901652892561983,2.2139676810111713,2.1,-0.010650080940615148,0077323-S,,
Linear Smoothing,4.9527285223804896,2.2254726514564247,2.1000000000000005,-0.021181138635152585,0077323-S,,
Second Degree Approximation,8.530919263279745,2.920773743938367,2.238689001038167,-0.7589524254185043,0077323-S,,
Exponential Smoothing w/ Trend & Seasonality,42.59674866286412,6.526618470759887,5.401582090665688,-1.4157878292596542,0232709-F,,
Moving Average,19.285714285714285,4.391550328268399,3.857142857142857,-0.09374999999999978,0232709-F,,
Linear Regression,23.69383271911552,4.867631119868834,4.758227848101266,-0.34374745744983803,0232709-F,,
Least Squares Regression,23.693832719115534,4.867631119868835,4.758227848101266,-0.3437474574498389,0232709-F,,
Weighted Moving Average,20.661157024793386,4.545454545454545,4.1818181818181825,-0.17175543311906893,0232709-F,,
Linear Smoothing,50.997041879457974,7.14122131567549,7.064626617096037,-1.8921933473303705,0232709-F,,
Second Degree Approximation,22.331328438243183,4.725603499897466,4.578070921108895,-0.266475802631847,0232709-F,,
Exponential Smoothing w/ Trend & Seasonality,0.14853646156934333,0.385404283278408,0.3703087401352614,0.0,0058794-A,,
Moving Average,0.0,0.0,0.0,1.0,0058794-A,,
Linear Regression,0.02789378533815423,0.1670143267452054,0.16280788177339883,0.0,0058794-A,,
Least Squares Regression,0.02789378533815426,0.16701432674520547,0.16280788177339894,0.0,0058794-A,,
Weighted Moving Average,0.0,0.0,0.0,1.0,0058794-A,,
Linear Smoothing,0.019024967162643402,0.13793102320596118,0.13793102320596118,0.0,0058794-A,,
Second Degree Approximation,0.008663473057832546,0.09307777961378616,0.09176333492240067,0.0,0058794-A,,
Exponential Smoothing w/ Trend & Seasonality,749.2925722810704,27.37320902417308,21.578915300560595,-0.5208065158012869,0232822-F,,
Moving Average,885.4545454545455,29.75658826973525,28.0,-0.7971685453569513,0232822-F,,
Linear Regression,550.8117331036112,23.469378626278353,19.327059191694207,-0.11795859677833076,0232822-F,,
Least Squares Regression,550.8117331036115,23.46937862627836,19.32705919169421,-0.1179585967783312,0232822-F,,
Weighted Moving Average,1673.5537190082634,40.9090909090909,39.71900826446279,-2.396739130434781,0232822-F,,
Linear Smoothing,492.81785923972524,22.1995013286273,14.703104027988775,-0.00025095558250742833,0232822-F,,
Second Degree Approximation,912.1758040857127,30.202248328323385,28.350694609023847,-0.8514035207724646,0232822-F,,
Exponential Smoothing w/ Trend & Seasonality,115.65817023495107,10.754448857796064,7.2748823569116245,-11.109509276736327,0111152-F,,
Moving Average,9.571428571428571,3.093772546815388,1.7142857142857142,-0.002136752136751907,0111152-F,,
Linear Regression,53.82809213859627,7.336763055912074,7.302069739361637,-4.635847253827386,0111152-F,,
Least Squares Regression,53.828092138596254,7.336763055912073,7.302069739361637,-4.635847253827384,0111152-F,,
Weighted Moving Average,9.648170011806371,3.1061503524147653,1.3246753246753258,-0.01017164653528213,0111152-F,,
Linear Smoothing,31.465677779495838,5.609427580377149,5.604387619024986,-2.2944833572549053,0111152-F,,
Second Degree Approximation,9.290419990490404,3.0480190272520287,2.263734637541517,0.027285086465748565,0111152-F,,
Exponential Smoothing w/ Trend & Seasonality,58.62046460674822,7.656400238150316,6.582399007637282,0.0,0110152-F,,
Moving Average,0.0,0.0,0.0,1.0,0110152-F,,
Linear Regression,15.135735231556408,3.8904672253543544,3.8310708898944243,0.0,0110152-F,,
Least Squares Regression,15.13573523155687,3.8904672253544135,3.8310708898944843,0.0,0110152-F,,
Weighted Moving Average,0.0,0.0,0.0,1.0,0110152-F,,
Linear Smoothing,3.890552814831837,1.9724484314759252,1.9724484314759252,0.0,0110152-F,,
Second Degree Approximation,18.949927073636175,4.3531513956714365,4.039711675671698,0.0,0110152-F,,
Exponential Smoothing w/ Trend & Seasonality,2.804716978349257,1.6747289268264454,1.4061478866980837,-0.6484175756413781,0026784-S,,
Moving Average,1.7209302325581395,1.3118423047600423,0.9302325581395349,-0.011443102352193257,0026784-S,,
Linear Regression,2.10092663722591,1.4494573595749238,1.264648410623366,-0.23477856078534876,0026784-S,,
Least Squares Regression,2.1009266372259074,1.449457359574923,1.2646484106233649,-0.2347785607853472,0026784-S,,
Weighted Moving Average,1.712046468917505,1.3084519360364388,0.9133192389006343,-0.006221843937846971,0026784-S,,
Linear Smoothing,1.8430026947933618,1.3575723534284874,1.089858262315207,-0.08318880568115894,0026784-S,,
Second Degree Approximation,2.1553699907316837,1.4681178395250443,1.2932431053577929,-0.26677657751522,0026784-S,,
Exponential Smoothing w/ Trend & Seasonality,0.19577622165708924,0.44246606836806057,0.3757568185855961,-1.175291351745436,0067571-S,,
Moving Average,0.09444444444444444,0.3073181485764296,0.2333333333333334,-0.04938271604938271,0067571-S,,
Linear Regression,0.11533143789349842,0.3396048260750993,0.14729419703103916,-0.2814604210388716,0067571-S,,
