Sku,Created,Quantity
0023305-F,2023-11-21 13:41:31,3
0023305-F,2023-11-22 07:36:49,2
0023305-F,2023-11-13 15:42:13,2
0023305-F,2023-11-14 08:38:19,1
0023305-F,2023-11-14 08:41:35,2
0023305-F,2023-11-14 09:47:46,3
0023305-F,2023-11-14 10:07:31,1
0023305-F,2023-11-15 15:46:10,1
0023305-F,2023-11-09 11:42:44,1
0023305-F,2023-10-27 11:27:40,2
0023305-F,2023-10-27 12:48:04,3
0023305-F,2023-10-27 14:29:22,2
0023305-F,2023-10-30 11:15:36,1
0023305-F,2023-10-30 14:08:42,1
0023305-F,2023-10-31 13:01:32,6
0023305-F,2023-10-31 14:29:16,6
0023305-F,2023-10-19 08:44:32,3
0023305-F,2023-10-21 09:40:35,3
0023305-F,2023-10-17 13:51:35,1
