Sku,Created,Quantity
0028487-S,2024-04-03 14:23:58,1
0028487-S,2024-04-02 14:43:43,1
0028487-S,2024-04-02 14:43:48,3
0028487-S,2024-04-02 14:47:08,1
0028487-S,2024-04-02 14:49:30,1
0028487-S,2024-04-03 08:11:48,1
0028487-S,2024-04-03 08:16:30,1
0028487-S,2024-04-03 08:17:33,5
0028487-S,2024-04-03 08:17:43,1
0028487-S,2024-04-03 08:19:42,1
0028487-S,2024-04-03 08:20:51,1
0028487-S,2024-04-03 08:43:20,1
0028487-S,2024-04-03 08:45:17,6
0028487-S,2024-04-03 08:46:21,1
0028487-S,2024-04-03 08:46:26,1
0028487-S,2024-04-03 08:46:26,1
0028487-S,2024-04-03 09:03:02,1
0028487-S,2024-04-03 09:07:47,3
0028487-S,2024-04-03 09:39:39,1
0028487-S,2024-04-03 09:39:42,2
0028487-S,2024-04-03 09:40:12,3
