Sku,Created,Quantity
0038107-X,2024-01-10 08:27:55,1
0038107-X,2024-01-10 08:47:54,1
0038107-X,2024-01-10 09:13:07,1
0038107-X,2024-01-10 09:28:53,1
0038107-X,2024-01-11 14:13:18,1
0038107-X,2024-01-11 14:27:57,1
0038107-X,2024-01-12 10:37:28,1
0038107-X,2024-01-12 11:16:48,1
0038107-X,2024-01-12 11:21:27,1
0038107-X,2023-12-26 10:49:51,1
0038107-X,2023-12-26 12:02:14,1
0038107-X,2023-12-26 13:43:16,1
0038107-X,2023-12-26 13:58:31,1
0038107-X,2023-12-26 14:05:14,1
0038107-X,2023-12-26 15:10:07,1
0038107-X,2023-12-27 12:29:43,1
0038107-X,2023-12-20 12:28:33,1
0038107-X,2023-12-18 13:51:53,1
0038107-X,2023-12-18 14:52:00,1
