Sku,Created,Quantity
0059329-A,2023-12-22 09:13:54,1
0059329-A,2023-12-14 10:01:54,1
0059329-A,2023-12-14 11:16:24,1
0059329-A,2023-12-15 09:21:31,1
0059329-A,2023-12-15 09:25:56,1
0059329-A,2023-12-12 09:13:45,1
0059329-A,2023-12-13 07:49:36,1
0059329-A,2023-12-08 10:11:40,1
0059329-A,2023-12-08 10:45:55,1
0059329-A,2023-12-02 09:31:11,1
0059329-A,2023-12-04 07:20:38,1
0059329-A,2023-11-24 08:17:01,1
0059329-A,2023-11-24 15:52:41,1
0059329-A,2023-11-18 11:38:59,1
0059329-A,2023-11-15 16:20:42,2
