Sku,Created,Quantity
85788BU-X,2024-01-04 15:39:51,1
85788BU-X,2024-01-05 09:36:54,10
85788BU-X,2023-12-20 13:49:58,1
85788BU-X,2023-12-19 10:31:27,3
85788BU-X,2023-12-19 10:34:55,3
85788BU-X,2023-12-19 11:51:36,3
85788BU-X,2023-12-15 14:21:50,3
85788BU-X,2023-12-15 14:41:46,3
85788BU-X,2023-12-15 15:27:43,1
85788BU-X,2023-12-16 09:37:48,1
85788BU-X,2023-12-13 14:39:51,3
85788BU-X,2023-12-13 14:55:01,3
85788BU-X,2023-12-13 15:44:25,3
85788BU-X,2023-12-14 07:36:45,1
85788BU-X,2023-12-14 07:41:50,2
85788BU-X,2023-12-14 09:26:28,1
85788BU-X,2023-12-14 09:45:13,1
85788BU-X,2023-12-14 11:34:53,3
85788BU-X,2023-12-14 14:13:44,3
85788BU-X,2023-12-14 14:19:13,3
85788BU-X,2023-12-14 14:23:26,3
85788BU-X,2023-12-14 14:32:11,3
85788BU-X,2023-12-14 14:43:03,3
85788BU-X,2023-12-14 14:47:05,1
85788BU-X,2023-12-14 14:54:52,3
85788BU-X,2023-12-14 15:25:50,3
85788BU-X,2023-12-14 15:32:57,3
85788BU-X,2023-12-14 15:46:14,3
85788BU-X,2023-12-15 08:03:51,3
85788BU-X,2023-12-15 08:15:22,3
85788BU-X,2023-12-15 08:22:28,3
85788BU-X,2023-12-15 08:35:27,3
85788BU-X,2023-12-15 08:44:29,3
85788BU-X,2023-12-15 08:56:58,3
85788BU-X,2023-12-15 09:09:27,3
85788BU-X,2023-12-15 09:24:24,3
85788BU-X,2023-12-15 09:29:50,6
85788BU-X,2023-12-15 09:42:25,3
85788BU-X,2023-12-15 09:44:19,3
85788BU-X,2023-12-15 09:51:50,3
85788BU-X,2023-12-15 09:52:40,3
85788BU-X,2023-12-15 10:32:51,3
85788BU-X,2023-12-15 10:33:02,3
85788BU-X,2023-12-15 10:33:07,3
85788BU-X,2023-12-15 10:33:08,3
85788BU-X,2023-12-15 10:33:12,3
85788BU-X,2023-12-15 11:06:30,1
85788BU-X,2023-12-15 11:10:23,3
85788BU-X,2023-12-15 11:16:19,3
85788BU-X,2023-12-15 11:27:19,3
85788BU-X,2023-12-15 11:44:07,1
85788BU-X,2023-12-15 13:11:56,1
85788BU-X,2023-12-15 13:47:51,1
85788BU-X,2023-12-15 14:00:07,1
85788BU-X,2023-12-15 14:11:20,3
85788BU-X,2023-12-15 14:15:24,3
85788BU-X,2023-12-11 14:12:35,1
85788BU-X,2023-12-11 14:34:51,3
85788BU-X,2023-12-11 15:46:49,1
85788BU-X,2023-12-11 15:55:35,3
85788BU-X,2023-12-11 16:00:46,1
85788BU-X,2023-12-11 16:04:01,3
85788BU-X,2023-12-12 07:13:50,3
85788BU-X,2023-12-12 07:15:06,3
85788BU-X,2023-12-12 07:29:55,3
85788BU-X,2023-12-12 08:29:59,1
85788BU-X,2023-12-12 08:51:03,1
85788BU-X,2023-12-12 09:13:27,1
85788BU-X,2023-12-12 09:58:49,3
85788BU-X,2023-12-12 13:03:32,3
85788BU-X,2023-12-12 13:20:27,3
85788BU-X,2023-12-13 07:44:18,1
85788BU-X,2023-12-13 11:12:42,1
85788BU-X,2023-12-08 11:17:37,3
85788BU-X,2023-12-08 11:58:24,1
85788BU-X,2023-12-08 12:22:27,1
85788BU-X,2023-12-08 13:55:34,1
85788BU-X,2023-12-08 13:59:56,1
85788BU-X,2023-12-08 14:05:56,1
85788BU-X,2023-12-09 09:58:44,3
85788BU-X,2023-12-09 12:26:36,3
85788BU-X,2023-12-09 14:25:45,3
85788BU-X,2023-12-09 14:34:55,3
85788BU-X,2023-12-11 09:15:41,3
85788BU-X,2023-12-11 09:25:06,2
85788BU-X,2023-12-11 09:29:53,3
85788BU-X,2023-12-11 09:40:49,1
85788BU-X,2023-12-11 13:38:22,1
85788BU-X,2023-12-11 13:42:35,1
85788BU-X,2023-12-11 13:55:15,1
85788BU-X,2023-12-05 07:55:18,1
85788BU-X,2023-12-05 15:43:17,3
85788BU-X,2023-12-06 15:45:22,1
85788BU-X,2023-12-07 11:34:47,3
85788BU-X,2023-12-08 08:24:35,2
85788BU-X,2023-12-01 15:14:56,3
85788BU-X,2023-12-01 16:00:08,1
85788BU-X,2023-12-02 08:10:13,3
85788BU-X,2023-12-02 10:48:43,3
