Sku,Created,Quantity
85805NP-X,2024-01-16 11:39:36,1
85805NP-X,2024-01-18 10:37:41,1
85805NP-X,2024-01-18 10:50:07,1
85805NP-X,2024-01-18 11:15:48,2
85805NP-X,2024-01-18 11:56:38,1
85805NP-X,2024-01-22 11:14:42,1
85805NP-X,2024-01-25 14:50:16,2
85805NP-X,2024-01-25 15:34:51,1
85805NP-X,2024-01-26 08:12:06,1
85805NP-X,2024-01-26 08:31:08,1
85805NP-X,2024-01-26 09:05:24,1
85805NP-X,2024-01-26 09:34:03,1
85805NP-X,2024-01-26 09:43:21,1
85805NP-X,2024-01-26 09:52:42,1
85805NP-X,2024-01-26 10:27:36,1
85805NP-X,2024-01-26 10:36:48,1
85805NP-X,2024-01-26 14:19:05,1
85805NP-X,2024-01-29 15:38:17,1
85805NP-X,2024-01-29 15:50:33,1
85805NP-X,2024-01-29 15:59:14,1
85805NP-X,2024-01-29 16:02:28,1
85805NP-X,2024-01-29 16:04:19,1
85805NP-X,2024-01-30 08:25:45,2
85805NP-X,2024-01-30 09:47:40,1
85805NP-X,2024-01-31 08:31:00,1
85805NP-X,2024-01-31 09:49:49,1
85805NP-X,2024-01-31 10:37:31,2
85805NP-X,2024-01-31 11:17:13,1
85805NP-X,2024-01-31 11:17:33,1
85805NP-X,2024-01-31 12:09:30,1
85805NP-X,2024-01-31 15:16:35,1
85805NP-X,2024-01-31 16:00:58,1
85805NP-X,2024-02-01 12:59:01,1
85805NP-X,2024-02-01 13:01:44,1
85805NP-X,2024-02-01 13:45:13,1
85805NP-X,2024-02-01 13:48:21,1
85805NP-X,2024-02-05 10:34:26,1
85805NP-X,2024-02-06 10:58:47,1
85805NP-X,2024-02-06 11:11:53,1
85805NP-X,2024-02-06 15:06:59,2
85805NP-X,2024-02-06 15:23:02,1
85805NP-X,2024-02-06 15:30:02,1
85805NP-X,2024-02-07 14:59:15,1
85805NP-X,2024-02-07 15:10:01,1
85805NP-X,2024-02-08 09:01:35,2
85805NP-X,2024-02-08 14:14:34,2
85805NP-X,2024-02-08 15:44:44,1
85805NP-X,2024-02-08 15:54:37,1
85805NP-X,2024-02-09 12:49:21,1
85805NP-X,2024-02-09 14:23:34,1
85805NP-X,2024-02-09 14:26:15,1
85805NP-X,2024-02-12 13:40:37,2
85805NP-X,2024-02-12 14:35:26,2
85805NP-X,2024-02-14 12:00:04,1
85805NP-X,2024-02-14 16:02:36,1
85805NP-X,2024-02-15 09:15:33,1
85805NP-X,2024-02-15 13:42:02,1
85805NP-X,2024-02-15 15:24:17,2
85805NP-X,2024-02-16 09:36:50,2
85805NP-X,2024-02-19 09:28:52,2
85805NP-X,2024-02-23 09:07:06,1
85805NP-X,2024-01-05 08:03:02,1
85805NP-X,2024-01-05 14:38:55,1
85805NP-X,2024-01-09 12:34:01,1
85805NP-X,2024-01-10 10:51:11,2
85805NP-X,2024-01-11 10:41:32,1
85805NP-X,2024-01-11 12:29:52,1
85805NP-X,2024-01-11 13:45:11,1
85805NP-X,2024-01-11 13:45:12,1
85805NP-X,2024-01-12 08:58:30,1
85805NP-X,2024-01-12 09:04:33,2
85805NP-X,2024-01-12 10:34:09,1
85805NP-X,2023-12-22 09:43:54,1
85805NP-X,2023-12-22 10:50:14,1
85805NP-X,2023-12-22 11:10:55,1
85805NP-X,2023-12-22 11:27:18,1
85805NP-X,2023-12-22 11:42:41,1
85805NP-X,2023-12-22 11:45:16,1
85805NP-X,2023-12-22 11:47:55,1
85805NP-X,2023-12-22 11:49:28,2
85805NP-X,2023-12-22 11:51:13,2
85805NP-X,2023-12-22 12:24:09,1
85805NP-X,2023-12-22 12:45:01,1
85805NP-X,2023-12-22 12:46:25,1
85805NP-X,2023-12-22 12:49:50,1
85805NP-X,2023-12-22 12:59:27,1
85805NP-X,2023-12-22 13:00:22,1
85805NP-X,2023-12-22 13:08:26,2
85805NP-X,2023-12-22 13:49:57,1
85805NP-X,2023-12-22 13:51:48,1
85805NP-X,2023-12-22 14:30:33,2
85805NP-X,2023-12-22 14:38:55,1
