Sku,Created,Quantity
C358991-A,2024-02-26 14:34:42,1
C358991-A,2024-02-26 14:36:38,1
C358991-A,2024-02-26 14:38:07,1
C358991-A,2024-02-26 14:39:39,1
C358991-A,2024-02-26 14:41:14,1
C358991-A,2024-02-26 14:43:57,1
C358991-A,2024-02-26 14:49:20,1
C358991-A,2024-02-26 14:53:05,1
C358991-A,2024-02-26 14:57:05,1
C358991-A,2024-02-26 15:00:52,1
C358991-A,2024-02-26 15:01:11,1
C358991-A,2024-02-26 15:01:16,1
C358991-A,2024-02-26 15:01:51,1
C358991-A,2024-02-26 15:02:06,1
C358991-A,2024-02-26 15:02:59,1
C358991-A,2024-02-26 15:05:55,1
C358991-A,2024-02-26 15:06:32,1
C358991-A,2024-02-26 15:06:48,1
C358991-A,2024-02-26 15:06:57,1
C358991-A,2024-02-26 15:07:08,1
C358991-A,2024-02-26 15:08:27,1
C358991-A,2024-02-26 15:10:50,1
C358991-A,2024-02-26 15:11:08,1
C358991-A,2024-02-26 15:12:44,1
C358991-A,2024-02-26 15:14:16,1
C358991-A,2024-02-26 15:14:21,1
C358991-A,2024-02-26 15:17:23,1
C358991-A,2024-02-26 15:19:01,1
C358991-A,2024-02-26 15:21:29,1
C358991-A,2024-02-26 15:21:31,1
C358991-A,2024-02-26 15:25:54,1
C358991-A,2024-02-26 15:25:56,1
C358991-A,2024-02-26 15:28:19,1
C358991-A,2024-02-26 15:29:13,1
C358991-A,2024-02-26 15:32:19,1
C358991-A,2024-02-26 15:33:36,1
C358991-A,2024-02-26 15:37:40,1
C358991-A,2024-02-26 15:44:00,1
C358991-A,2024-02-26 15:45:45,1
C358991-A,2024-02-26 15:46:03,1
C358991-A,2024-02-26 15:46:15,1
C358991-A,2024-02-26 15:46:19,1
C358991-A,2024-02-26 15:46:26,1
C358991-A,2024-02-26 15:47:07,1
C358991-A,2024-02-26 15:48:08,1
C358991-A,2024-02-26 15:49:39,1
C358991-A,2024-02-26 15:50:45,1
C358991-A,2024-02-26 15:50:56,1
C358991-A,2024-02-26 15:58:44,1
C358991-A,2024-02-26 16:01:00,1
C358991-A,2024-02-26 16:01:57,1
C358991-A,2024-02-26 16:02:38,1
C358991-A,2024-02-26 16:02:43,1
C358991-A,2024-02-26 16:04:38,1
C358991-A,2024-02-26 16:06:34,1
C358991-A,2024-02-26 16:06:45,1
C358991-A,2024-02-26 16:06:58,1
C358991-A,2024-02-26 16:09:52,1
C358991-A,2024-02-26 16:10:49,1
C358991-A,2024-02-26 16:12:29,1
C358991-A,2024-02-26 16:14:15,1
C358991-A,2024-02-26 16:14:54,1
C358991-A,2024-02-27 08:08:37,1
C358991-A,2024-02-27 08:30:53,1
C358991-A,2024-02-27 08:37:16,1
C358991-A,2024-02-27 08:40:35,1
C358991-A,2024-02-27 08:42:42,1
C358991-A,2024-02-27 08:44:30,1
C358991-A,2024-02-27 08:46:20,1
C358991-A,2024-02-27 08:47:55,1
C358991-A,2024-02-27 08:52:57,1
C358991-A,2024-02-27 09:07:47,1
C358991-A,2024-02-27 09:12:37,1
C358991-A,2024-02-27 09:16:23,1
C358991-A,2024-02-27 09:22:26,1
C358991-A,2024-02-27 09:23:30,1
C358991-A,2024-02-27 09:23:32,1
C358991-A,2024-02-27 09:26:54,1
C358991-A,2024-02-27 09:30:54,1
C358991-A,2024-02-27 09:36:53,1
C358991-A,2024-02-27 09:40:53,1
C358991-A,2024-02-27 09:41:02,1
C358991-A,2024-02-27 09:45:29,1
C358991-A,2024-02-27 09:46:39,1
C358991-A,2024-02-27 09:46:47,1
C358991-A,2024-02-27 09:47:02,1
C358991-A,2024-02-27 09:47:10,1
C358991-A,2024-02-27 09:47:19,1
C358991-A,2024-02-27 09:47:31,1
C358991-A,2024-02-27 09:47:36,1
C358991-A,2024-02-27 09:47:46,1
C358991-A,2024-02-27 09:47:56,1
C358991-A,2024-02-27 09:50:11,1
C358991-A,2024-02-27 10:26:41,1
C358991-A,2024-02-27 10:27:07,1
C358991-A,2024-02-27 10:30:28,1
C358991-A,2024-02-27 10:31:43,1
C358991-A,2024-02-27 10:33:26,1
C358991-A,2024-02-27 10:34:29,1
C358991-A,2024-02-27 10:36:16,1
C358991-A,2024-02-27 10:37:32,1
C358991-A,2024-02-27 10:39:28,1
C358991-A,2024-02-27 10:41:02,1
C358991-A,2024-02-27 10:43:25,1
C358991-A,2024-02-27 10:44:03,1
C358991-A,2024-02-27 10:46:24,1
C358991-A,2024-02-27 10:46:59,1
C358991-A,2024-02-27 10:49:30,1
C358991-A,2024-02-27 10:50:35,1
C358991-A,2024-02-27 10:51:45,1
C358991-A,2024-02-27 10:51:47,1
C358991-A,2024-02-27 10:52:20,1
C358991-A,2024-02-27 10:55:23,1
C358991-A,2024-02-27 10:55:40,1
C358991-A,2024-02-27 10:57:53,1
C358991-A,2024-02-27 11:01:12,1
C358991-A,2024-02-27 11:02:03,1
C358991-A,2024-02-27 11:05:31,1
C358991-A,2024-02-27 11:05:54,2
C358991-A,2024-02-27 11:06:40,1
C358991-A,2024-02-27 11:08:12,1
C358991-A,2024-02-27 11:10:15,1
C358991-A,2024-02-27 11:11:02,1
C358991-A,2024-02-27 11:11:03,1
C358991-A,2024-02-27 11:13:14,1
C358991-A,2024-02-27 11:17:02,1
C358991-A,2024-02-27 11:17:12,1
C358991-A,2024-02-27 11:20:35,1
C358991-A,2024-02-27 11:24:11,1
C358991-A,2024-02-27 11:27:52,1
C358991-A,2024-02-27 11:30:31,1
C358991-A,2024-02-27 11:30:38,1
C358991-A,2024-02-27 11:30:50,1
C358991-A,2024-02-27 11:31:03,1
C358991-A,2024-02-27 11:31:22,1
C358991-A,2024-02-27 11:31:36,1
C358991-A,2024-02-27 11:31:56,1
C358991-A,2024-02-27 11:32:06,1
C358991-A,2024-02-27 11:35:39,1
C358991-A,2024-02-27 11:38:29,1
C358991-A,2024-02-27 11:41:56,1
C358991-A,2024-02-27 11:46:59,1
C358991-A,2024-02-27 11:51:23,1
C358991-A,2024-02-27 11:57:22,1
C358991-A,2024-02-27 12:01:08,1
C358991-A,2024-02-27 12:04:49,1
C358991-A,2024-02-27 12:05:17,1
C358991-A,2024-02-27 12:06:51,1
C358991-A,2024-02-27 12:07:39,1
C358991-A,2024-02-27 12:07:54,1
C358991-A,2024-02-27 12:08:05,1
C358991-A,2024-02-27 12:08:05,1
C358991-A,2024-02-27 12:08:15,1
C358991-A,2024-02-27 12:08:28,1
C358991-A,2024-02-27 12:08:46,1
C358991-A,2024-02-27 12:09:07,1
C358991-A,2024-02-27 12:09:19,1
C358991-A,2024-02-27 12:10:59,1
C358991-A,2024-02-27 12:11:02,1
C358991-A,2024-02-27 12:13:39,1
C358991-A,2024-02-27 12:15:36,1
C358991-A,2024-02-27 12:16:05,1
C358991-A,2024-02-27 12:18:42,1
C358991-A,2024-02-27 12:19:01,1
C358991-A,2024-02-27 12:21:41,1
C358991-A,2024-02-27 12:22:44,1
C358991-A,2024-02-27 12:24:04,1
C358991-A,2024-02-27 12:26:40,1
C358991-A,2024-02-27 12:29:23,1
C358991-A,2024-02-27 12:37:51,1
C358991-A,2024-02-27 12:40:59,1
C358991-A,2024-02-27 12:51:23,1
C358991-A,2024-02-27 12:53:04,1
C358991-A,2024-02-27 12:57:15,1
C358991-A,2024-02-27 13:00:26,1
C358991-A,2024-02-27 13:00:37,1
C358991-A,2024-02-27 13:06:41,1
C358991-A,2024-02-27 13:07:11,1
C358991-A,2024-02-27 13:07:24,1
C358991-A,2024-02-27 13:07:42,1
C358991-A,2024-02-27 13:07:57,1
C358991-A,2024-02-27 13:13:33,1
C358991-A,2024-02-27 13:15:33,1
C358991-A,2024-02-28 12:00:56,1
C358991-A,2024-02-28 14:28:28,1
C358991-A,2024-02-28 15:24:49,1
C358991-A,2024-04-03 13:05:37,1
C358991-A,2024-03-28 13:43:33,1
C358991-A,2024-03-28 14:16:36,1
C358991-A,2024-03-29 12:48:59,1
C358991-A,2024-03-26 13:26:30,1
C358991-A,2024-03-26 13:30:44,1
C358991-A,2024-03-26 13:35:29,1
C358991-A,2024-03-26 13:40:46,1
C358991-A,2024-03-27 07:40:39,1
C358991-A,2024-03-27 08:06:52,1
C358991-A,2024-03-19 10:25:05,1
C358991-A,2024-03-19 10:31:44,1
C358991-A,2024-03-22 14:35:46,1
C358991-A,2024-03-22 14:37:12,1
C358991-A,2024-03-22 14:42:04,1
C358991-A,2024-03-13 11:26:06,1
C358991-A,2024-03-13 11:27:00,1
C358991-A,2024-03-14 10:00:21,1
C358991-A,2024-03-14 14:05:37,1
