Sku,Created,Quantity
L058141-A,2024-05-10 10:20:23,1
L058141-A,2024-05-10 11:26:44,1
L058141-A,2024-05-10 14:57:24,1
L058141-A,2024-05-10 14:57:28,1
L058141-A,2024-05-13 10:25:35,1
L058141-A,2024-05-13 10:30:18,1
L058141-A,2024-05-13 10:30:33,1
L058141-A,2024-05-13 10:31:39,1
L058141-A,2024-05-13 14:17:14,1
L058141-A,2024-05-13 14:51:14,1
L058141-A,2024-05-13 15:02:14,1
L058141-A,2024-05-13 15:06:32,1
L058141-A,2024-05-08 09:20:01,1
L058141-A,2024-05-08 09:23:17,1
L058141-A,2024-05-08 09:25:51,1
L058141-A,2024-05-08 10:03:20,1
L058141-A,2024-05-08 10:05:49,1
L058141-A,2024-05-08 14:30:46,1
L058141-A,2024-05-08 14:33:54,1
L058141-A,2024-05-08 14:35:08,1
L058141-A,2024-05-08 14:37:34,1
L058141-A,2024-05-08 14:40:00,1
L058141-A,2024-05-08 14:48:15,1
L058141-A,2024-05-08 14:49:28,1
L058141-A,2024-05-09 10:41:19,1
L058141-A,2024-05-09 10:46:44,1
L058141-A,2024-05-09 10:48:14,1
L058141-A,2024-05-09 10:51:31,1
L058141-A,2024-05-09 11:02:18,1
L058141-A,2024-05-09 11:09:50,1
L058141-A,2024-05-09 11:09:57,1
L058141-A,2024-05-09 11:10:08,1
L058141-A,2024-05-09 11:15:19,1
L058141-A,2024-05-09 11:21:09,1
L058141-A,2024-05-09 11:22:55,1
L058141-A,2024-05-09 11:27:10,1
L058141-A,2024-05-09 11:30:52,1
L058141-A,2024-05-09 11:39:13,1
L058141-A,2024-05-09 11:43:54,1
L058141-A,2024-05-09 11:51:44,1
L058141-A,2024-05-09 11:55:10,1
L058141-A,2024-05-09 11:59:07,1
L058141-A,2024-05-09 12:02:28,1
L058141-A,2024-05-09 12:09:51,1
L058141-A,2024-05-09 12:43:52,1
L058141-A,2024-05-09 12:51:16,1
L058141-A,2024-05-09 12:57:58,1
L058141-A,2024-05-09 13:03:25,1
L058141-A,2024-05-09 13:08:04,1
L058141-A,2024-05-06 06:52:08,1
L058141-A,2024-05-06 06:52:08,1
L058141-A,2024-05-06 06:52:19,1
L058141-A,2024-05-06 06:55:43,1
L058141-A,2024-05-06 06:57:39,1
L058141-A,2024-05-06 14:17:00,1
L058141-A,2024-05-06 14:25:53,1
L058141-A,2024-05-06 14:39:43,1
L058141-A,2024-05-06 14:46:58,1
L058141-A,2024-05-02 06:59:47,1
L058141-A,2024-05-02 07:18:25,1
L058141-A,2024-05-02 07:24:19,1
L058141-A,2024-05-02 07:28:07,1
L058141-A,2024-05-02 07:31:44,1
L058141-A,2024-05-02 07:35:27,1
L058141-A,2024-05-02 07:38:02,1
L058141-A,2024-05-02 07:40:39,1
L058141-A,2024-05-02 07:51:31,1
L058141-A,2024-05-02 07:55:34,1
L058141-A,2024-05-02 07:55:35,1
L058141-A,2024-05-02 08:07:31,1
L058141-A,2024-05-02 08:11:54,1
L058141-A,2024-05-02 08:14:02,1
L058141-A,2024-05-02 08:30:54,1
L058141-A,2024-05-02 08:47:19,1
L058141-A,2024-05-02 08:56:10,1
L058141-A,2024-05-02 08:58:26,1
L058141-A,2024-05-02 08:58:27,1
L058141-A,2024-05-02 08:58:30,1
L058141-A,2024-05-02 08:58:33,1
L058141-A,2024-05-02 08:58:34,1
L058141-A,2024-05-02 09:10:55,1
L058141-A,2024-05-02 09:14:02,1
L058141-A,2024-05-02 09:46:38,1
