iter	RMSE
0	37.70517235
1	37.67162784
2	37.6391064
3	37.61607127
4	37.60169264
5	37.59454204
6	37.58634993
7	37.57534445
8	37.55742073
9	37.53477225
10	37.52848347
11	37.51735996
12	37.49568427
13	37.48678982
14	37.47299882
15	37.45442924
16	37.44466498
17	37.42625534
18	37.42069342
19	37.40951247
20	37.39442577
21	37.38802766
22	37.38502237
23	37.37906688
24	37.3753467
25	37.36164527
26	37.35739522
27	37.35113522
28	37.33800227
29	37.32437061
30	37.31038326
31	37.30853232
32	37.30522414
33	37.29223246
34	37.27736471
35	37.27117564
36	37.26943548
37	37.26623909
38	37.26209813
39	37.26101273
40	37.25946213
41	37.25783016
42	37.24841835
43	37.24455319
44	37.23796382
45	37.23690583
46	37.22841251
47	37.2269292
48	37.21896202
49	37.21711991
50	37.21340785
51	37.21279111
52	37.20775843
53	37.20469548
54	37.20414572
55	37.20208177
56	37.19477327
57	37.18770021
58	37.17817204
59	37.17754645
60	37.17667298
61	37.16957637
62	37.16609511
63	37.16382881
64	37.15617681
65	37.1536607
66	37.15183837
67	37.15164055
68	37.15001987
69	37.14480358
70	37.13971218
71	37.1396809
72	37.13264471
73	37.12808121
74	37.12586098
75	37.12537099
76	37.12506692
77	37.12479747
78	37.11982589
79	37.11797575
80	37.11328321
81	37.11011139
82	37.10413976
83	37.10008594
84	37.09400487
85	37.0934194
86	37.09164345
87	37.08854622
88	37.08826923
89	37.08708862
90	37.08687998
91	37.08446281
92	37.08033715
93	37.08018547
94	37.07625174
95	37.07264858
96	37.06813902
97	37.06076832
98	37.06057518
99	37.05580658
100	37.05470797
101	37.05448587
102	37.05384298
103	37.05363609
104	37.05147465
105	37.05119893
106	37.04526422
107	37.03994065
108	37.0397809
109	37.03686198
110	37.03305109
111	37.03215015
112	37.02836353
113	37.02745589
114	37.02696335
115	37.02694505
116	37.02519304
117	37.02515987
118	37.02497542
119	37.02060995
120	37.01958969
121	37.01621299
122	37.01523011
123	37.01517051
124	37.01244066
125	37.01238744
126	37.00912458
127	37.00530237
128	37.00523926
129	37.00187965
130	37.00160225
131	36.99919291
132	36.99879558
133	36.99746406
134	36.99442344
135	36.99393991
136	36.99301225
137	36.9929395
138	36.99270655
139	36.9917765
140	36.99105143
141	36.99078336
142	36.99055221
143	36.98854988
144	36.98562045
145	36.98476418
146	36.98075877
147	36.97803978
148	36.97518067
149	36.97499486
150	36.97272624
151	36.97151174
152	36.96725295
153	36.96586992
154	36.96418013
155	36.96370763
156	36.9632188
157	36.95970006
158	36.95502634
159	36.95498668
160	36.95099652
161	36.9481049
162	36.94747
163	36.94496609
164	36.94488436
165	36.94416573
166	36.94053391
167	36.93955281
168	36.93734225
169	36.93410723
170	36.93232989
171	36.93068152
172	36.93068022
173	36.92978003
174	36.92918248
175	36.92532903
176	36.92310743
177	36.92141051
178	36.92080261
179	36.92066607
180	36.91933792
181	36.91714299
182	36.91694045
183	36.91665501
184	36.91521047
185	36.91295643
186	36.91227008
187	36.91226782
188	36.91224675
189	36.91071673
190	36.90990545
191	36.90785877
192	36.90577178
193	36.90440924
194	36.9031164
195	36.90191044
196	36.90012051
197	36.89898885
198	36.89689522
199	36.89425169
200	36.89304279
201	36.89033919
202	36.88811542
203	36.88610474
204	36.88447101
205	36.88275025
206	36.88245435
207	36.88156066
208	36.87978745
209	36.87948603
210	36.87634901
211	36.87527185
212	36.87366002
213	36.87242741
214	36.87052758
215	36.86778456
216	36.86617065
217	36.86611167
218	36.86379685
219	36.86158979
220	36.86045669
221	36.85837089
222	36.85607981
223	36.85498118
224	36.85203708
225	36.84960464
226	36.8480504
227	36.84643926
228	36.84496446
229	36.8436348
230	36.84176462
231	36.84141883
232	36.83936144
233	36.83751543
234	36.8374647
235	36.83568721
236	36.83359899
237	36.83242189
238	36.82964055
239	36.82845807
240	36.82648868
241	36.82554577
242	36.82376369
243	36.82168144
244	36.82075648
245	36.82048743
246	36.81873102
247	36.81641162
248	36.8150977
249	36.8137905
250	36.81356735
251	36.81238841
252	36.81187865
253	36.81082986
254	36.80951602
255	36.80815053
256	36.80709368
257	36.8053762
258	36.80424338
259	36.80298536
260	36.80195105
261	36.80099794
262	36.7997094
263	36.79821331
264	36.79705513
265	36.79533327
266	36.79426615
267	36.79347139
268	36.79271818
269	36.79158495
270	36.79067638
271	36.78995062
272	36.78909776
273	36.78823792
274	36.78723329
275	36.78620407
276	36.78552331
277	36.78438834
278	36.78420133
279	36.78263804
280	36.78179591
281	36.78096101
282	36.78020688
283	36.77953849
284	36.77842302
285	36.77765035
286	36.77650766
287	36.77583517
288	36.77520048
289	36.7743585
290	36.77378775
291	36.7730548
292	36.7724701
293	36.77177402
294	36.77106012
295	36.77012277
296	36.76940445
297	36.76860528
298	36.76798178
299	36.76724294
300	36.76675025
301	36.76583079
302	36.7650688
303	36.76460797
304	36.76396376
305	36.76360754
306	36.76308944
307	36.76285273
308	36.76253807
309	36.7617238
310	36.76116851
311	36.76068347
312	36.75984706
313	36.75932394
314	36.75902375
315	36.75853211
316	36.75803188
317	36.75774771
318	36.75699552
319	36.75656598
320	36.75640958
321	36.75594364
322	36.75554873
323	36.75525429
324	36.75497255
325	36.75469866
326	36.75424574
327	36.75378014
328	36.75356924
329	36.75312716
330	36.75287749
331	36.75246921
332	36.75228045
333	36.75187801
334	36.75169933
335	36.75130438
336	36.75095746
337	36.75063129
338	36.75025099
339	36.74987654
340	36.74948379
341	36.74914943
342	36.74884397
343	36.74850082
344	36.74817688
345	36.74796695
346	36.74768065
347	36.74741198
348	36.74710738
349	36.74680411
350	36.74652614
351	36.74626152
352	36.74598682
353	36.74563142
354	36.74538976
355	36.74516089
356	36.74500937
357	36.74478788
358	36.74460376
359	36.74425415
360	36.74404824
361	36.74387354
362	36.74367374
363	36.74342984
364	36.74324127
365	36.74293885
366	36.74276393
367	36.74259094
368	36.74242662
369	36.74225073
370	36.74202769
371	36.74181789
372	36.74165692
373	36.74150334
374	36.74138031
375	36.74112761
376	36.74088927
377	36.740659
378	36.74047675
379	36.7403265
380	36.74015507
381	36.74002217
382	36.73981354
383	36.73968133
384	36.7395544
385	36.73943937
386	36.73932881
387	36.73917224
388	36.73903563
389	36.73892458
390	36.7387771
391	36.73866268
392	36.73855304
393	36.73845389
394	36.73835089
395	36.73822226
396	36.73810402
397	36.73801156
398	36.73792264
399	36.73783701
400	36.737699
401	36.73756881
402	36.73748031
403	36.73736864
404	36.73726323
405	36.73718289
406	36.73710577
407	36.73703141
408	36.73695319
409	36.7368536
410	36.73673076
411	36.73665351
412	36.73658437
413	36.73646912
414	36.73636052
415	36.73626684
416	36.7361971
417	36.7360948
418	36.73602813
419	36.73595842
420	36.7358951
421	36.73583531
422	36.73577764
423	36.73569233
424	36.73559621
425	36.73551582
426	36.73545835
427	36.73536764
428	36.73530777
429	36.73525251
430	36.73520081
431	36.7351275
432	36.73507784
433	36.73502974
434	36.73496065
435	36.7348754
436	36.73482902
437	36.73478321
438	36.73469745
439	36.73463418
440	36.73459257
441	36.73455244
442	36.73450295
443	36.73442489
444	36.73435124
445	36.73431253
446	36.73425301
447	36.73421567
448	36.73414636
449	36.73410166
450	36.73406564
451	36.73403091
452	36.73396549
453	36.73391145
454	36.73387795
455	36.73382682
456	36.73379451
457	36.73376334
458	36.73370182
459	36.73366331
460	36.73363325
461	36.73357529
462	36.73352064
463	36.73347433
464	36.73343969
465	36.7334107
466	36.73338273
467	36.73333997
468	36.73328845
469	36.7332487
470	36.73320018
471	36.73316202
472	36.73311612
473	36.73308914
474	36.73306073
475	36.7330347
476	36.73300058
477	36.73295739
478	36.73291663
479	36.73288355
480	36.73285844
481	36.73283394
482	36.73279553
483	36.73277132
484	36.73274796
485	36.73272543
486	36.73268926
487	36.73266752
488	36.73264656
489	36.7326164
490	36.73259418
491	36.73256013
492	36.73253991
493	36.7325204
494	36.73249293
495	36.73246075
496	36.73244193
497	36.73242184
498	36.73239686
499	36.73237871
500	36.73235518
501	36.73232487
502	36.73230735
503	36.73227866
504	36.73225167
505	36.7322343
506	36.7322129
507	36.73219256
508	36.73216701
509	36.7321501
510	36.73213095
511	36.73210688
512	36.73209241
513	36.7320761
514	36.73205342
515	36.73203769
516	36.73202252
517	36.73200509
518	36.73199045
519	36.7319691
520	36.73195498
521	36.73194135
522	36.73192493
523	36.7319047
524	36.73188562
525	36.73187247
526	36.73185979
527	36.73184179
528	36.73182954
529	36.73181702
530	36.73180521
531	36.73179027
532	36.7317733
533	36.73176195
534	36.73175056
535	36.73173956
536	36.73172597
537	36.73170986
538	36.73169959
