iter	Passed	Remaining
0	0	54
1	0	105
2	0	99
3	0	107
4	0	108
5	0	100
6	0	87
7	0	83
8	0	82
9	0	76
10	0	73
11	0	68
12	0	65
13	0	62
14	0	64
15	1	62
16	1	59
17	1	59
18	1	57
19	1	56
20	1	53
21	1	52
22	1	51
23	1	50
24	1	55
25	1	53
26	1	52
27	1	51
28	1	50
29	1	49
30	1	50
31	1	49
32	1	48
33	1	49
34	1	48
35	1	48
36	1	47
37	1	47
38	1	48
39	1	47
40	2	47
41	2	46
42	2	60
43	2	59
44	2	58
45	2	57
46	2	56
47	2	55
48	2	54
49	2	54
50	2	55
51	2	54
52	3	53
53	3	53
54	3	52
55	3	52
56	3	52
57	3	51
58	3	50
59	3	50
60	3	50
61	3	51
62	3	50
63	3	50
64	3	50
65	3	49
66	3	49
67	3	49
68	3	48
69	3	48
70	3	48
71	3	47
72	3	47
73	3	46
74	3	46
75	3	46
76	3	45
77	3	45
78	3	45
79	3	45
80	4	45
81	4	44
82	4	44
83	4	44
84	4	43
85	4	43
86	4	43
87	4	42
88	4	42
89	4	42
90	4	42
91	4	41
92	4	41
93	4	41
94	4	41
95	4	41
96	4	41
97	4	41
98	4	40
99	4	40
100	4	40
101	4	40
102	4	40
103	4	40
104	4	40
105	4	40
106	4	39
107	4	40
108	4	40
109	4	40
110	5	40
111	5	40
112	5	40
113	5	40
114	5	39
115	5	39
116	5	39
117	5	39
118	5	39
119	5	38
120	5	38
121	5	38
122	5	38
123	5	39
124	5	38
125	5	38
126	5	38
127	5	38
128	5	38
129	5	37
130	5	37
131	5	37
132	5	37
133	5	37
134	5	37
135	5	36
136	5	36
137	5	36
138	5	36
139	5	36
140	5	35
141	5	35
142	5	35
143	5	35
144	6	35
145	6	35
146	6	35
147	6	34
148	6	34
149	6	34
150	6	34
151	6	34
152	6	34
153	6	34
154	6	34
155	6	34
156	6	34
157	6	34
158	6	34
159	6	34
160	6	34
161	6	34
162	6	34
163	6	34
164	6	33
165	6	33
166	6	33
167	6	33
168	6	33
169	6	33
170	6	33
171	6	33
172	6	32
173	6	32
174	6	32
175	6	32
176	7	32
177	7	32
178	7	32
179	7	32
180	7	32
181	7	32
182	7	32
183	7	31
184	7	31
185	7	31
186	7	31
187	7	31
188	7	31
189	7	31
190	7	31
191	7	31
192	7	31
193	7	31
194	7	31
195	7	31
196	7	31
197	7	31
198	7	31
199	7	30
200	7	30
201	7	31
202	7	30
203	7	31
204	8	31
205	8	31
206	8	30
207	8	30
208	8	31
209	8	30
210	8	30
211	8	30
212	8	30
213	8	30
214	8	30
215	8	30
216	8	30
217	8	30
218	8	30
219	8	30
220	8	30
221	8	30
222	8	30
223	8	30
224	8	30
225	8	30
226	8	30
227	8	30
228	8	30
229	9	30
230	9	30
231	9	29
232	9	29
233	9	29
234	9	29
235	9	29
236	9	29
237	9	29
238	9	29
239	9	29
240	9	30
241	9	30
242	9	30
243	9	30
244	9	30
245	9	29
246	9	29
247	9	29
248	9	29
249	9	29
250	9	29
251	9	29
252	9	29
253	10	29
254	10	29
255	10	29
256	10	29
257	10	29
258	10	29
259	10	29
260	10	29
261	10	29
262	10	29
263	10	29
264	10	29
265	10	29
266	10	29
267	10	28
268	10	28
269	10	28
270	10	28
271	10	28
272	10	28
273	10	28
274	10	28
275	10	28
276	11	28
277	11	28
278	11	28
279	11	28
280	11	28
281	11	29
282	11	29
283	11	29
284	11	29
285	11	29
286	11	29
287	11	29
288	11	29
289	11	29
290	12	29
291	12	29
292	12	29
293	12	29
294	12	29
295	12	29
296	12	29
297	12	29
298	12	29
299	12	29
300	12	28
301	12	28
302	12	29
303	12	28
304	12	28
305	12	28
306	12	28
307	12	28
308	12	28
309	12	28
310	12	28
311	12	28
312	12	28
313	13	28
314	13	28
315	13	28
316	13	28
317	13	28
318	13	28
319	13	28
320	13	28
321	13	28
322	13	28
323	13	28
324	13	28
325	13	28
326	13	28
327	13	28
328	13	28
329	13	28
330	13	28
331	13	28
332	14	28
333	14	28
334	14	28
335	14	28
336	14	28
337	14	27
338	14	27
339	14	27
340	14	27
341	14	27
342	14	27
343	14	27
344	14	27
345	14	28
346	14	27
347	14	27
348	14	27
349	15	28
350	15	27
351	15	27
352	15	28
353	15	27
354	15	27
355	15	27
356	15	27
357	15	27
358	15	27
359	15	27
360	15	27
361	15	27
362	15	27
363	15	27
364	15	27
365	15	27
366	15	27
367	15	27
368	16	27
369	16	27
370	16	27
371	16	27
