Sku,Created,Quantity
0043121-X,1/4/2024 8:07:23 AM,12
0043121-X,1/4/2024 10:29:35 AM,12
0043121-X,1/4/2024 2:26:31 PM,24
0043121-X,1/4/2024 2:39:40 PM,12
0043121-X,1/4/2024 3:11:07 PM,12
0043121-X,1/4/2024 3:23:57 PM,24
0043121-X,1/4/2024 7:07:47 PM,12
0043121-X,1/4/2024 7:42:33 PM,12
0043121-X,1/4/2024 7:54:25 PM,12
0043121-X,1/5/2024 8:12:02 AM,144
0043121-X,1/5/2024 8:18:05 AM,12
0043121-X,1/5/2024 8:18:54 AM,72
0043121-X,1/5/2024 8:25:35 AM,12
0043121-X,1/5/2024 8:27:17 AM,12
0043121-X,1/5/2024 8:44:34 AM,24
0043121-X,1/5/2024 8:46:54 AM,24
0043121-X,1/5/2024 8:54:41 AM,24
0043121-X,1/5/2024 8:55:29 AM,12
0043121-X,1/5/2024 9:13:10 AM,12
0043121-X,1/5/2024 9:15:16 AM,24
0043121-X,1/5/2024 9:18:04 AM,12
0043121-X,1/5/2024 9:19:12 AM,12
0043121-X,1/5/2024 9:26:17 AM,48
0043121-X,1/5/2024 9:27:17 AM,24
0043121-X,1/9/2024 11:31:14 AM,12
0043121-X,1/9/2024 12:17:05 PM,24
0043121-X,1/9/2024 12:30:20 PM,24
0043121-X,1/9/2024 12:46:46 PM,12
0043121-X,1/9/2024 12:53:19 PM,24
0043121-X,1/9/2024 12:58:53 PM,12
0043121-X,1/9/2024 1:39:42 PM,24
0043121-X,1/9/2024 1:39:44 PM,24
0043121-X,1/9/2024 1:40:16 PM,24
0043121-X,1/9/2024 1:40:39 PM,24
0043121-X,1/9/2024 1:40:40 PM,24
0043121-X,1/9/2024 1:43:15 PM,12
0043121-X,1/9/2024 1:46:07 PM,12
0043121-X,1/9/2024 1:50:01 PM,12
0043121-X,1/9/2024 1:54:20 PM,12
0043121-X,1/9/2024 2:05:17 PM,12
0043121-X,1/9/2024 2:06:42 PM,12
0043121-X,1/9/2024 2:11:56 PM,12
0043121-X,1/9/2024 2:24:04 PM,12
0043121-X,1/9/2024 2:24:53 PM,12
0043121-X,1/9/2024 2:30:07 PM,12
0043121-X,1/9/2024 2:31:54 PM,12
0043121-X,1/9/2024 2:32:19 PM,12
0043121-X,1/9/2024 2:36:07 PM,12
0043121-X,1/9/2024 2:38:53 PM,24
0043121-X,1/9/2024 2:47:18 PM,12
0043121-X,1/9/2024 2:53:39 PM,12
0043121-X,1/9/2024 2:56:11 PM,24
0043121-X,1/9/2024 2:58:13 PM,12
0043121-X,1/9/2024 3:00:09 PM,12
0043121-X,1/9/2024 3:02:26 PM,12
0043121-X,1/9/2024 3:13:33 PM,12
0043121-X,1/9/2024 3:16:33 PM,12
0043121-X,1/9/2024 3:28:18 PM,12
0043121-X,1/9/2024 3:29:34 PM,12
0043121-X,1/9/2024 3:37:06 PM,12
0043121-X,1/9/2024 3:45:10 PM,12
0043121-X,1/9/2024 4:02:06 PM,12
0043121-X,1/9/2024 4:07:08 PM,36
0043121-X,1/10/2024 8:27:32 AM,12
0043121-X,1/10/2024 8:33:40 AM,12
0043121-X,1/10/2024 9:45:45 AM,24
0043121-X,1/10/2024 9:49:42 AM,12
0043121-X,1/10/2024 9:49:55 AM,24
0043121-X,1/10/2024 9:51:35 AM,12
0043121-X,1/10/2024 9:52:31 AM,24
0043121-X,1/10/2024 10:34:35 AM,12
0043121-X,1/10/2024 10:42:34 AM,12
0043121-X,1/10/2024 10:53:55 AM,12
0043121-X,1/10/2024 11:12:53 AM,12
0043121-X,12/22/2023 9:49:48 AM,12
0043121-X,12/22/2023 9:54:45 AM,12
0043121-X,12/22/2023 10:05:14 AM,12
0043121-X,12/22/2023 10:40:27 AM,12
0043121-X,12/22/2023 10:55:27 AM,12
0043121-X,12/22/2023 11:10:08 AM,12
0043121-X,12/22/2023 11:12:19 AM,12
0043121-X,12/22/2023 11:12:43 AM,12
0043121-X,12/22/2023 11:21:15 AM,12
0043121-X,12/22/2023 11:28:37 AM,12
0043121-X,12/22/2023 11:31:42 AM,12
