Sku,Created,Quantity
0984310-F,12/8/2023 11:50:13 AM,100
0984310-F,12/9/2023 9:20:01 AM,100
0984310-F,12/5/2023 10:57:52 AM,100
0984310-F,12/6/2023 8:40:36 AM,100
0984310-F,12/6/2023 8:50:39 AM,100
0984310-F,12/6/2023 9:33:08 AM,100
0984310-F,12/6/2023 9:43:44 AM,100
0984310-F,12/2/2023 11:14:40 AM,100
0984310-F,12/2/2023 11:15:47 AM,100
0984310-F,12/4/2023 3:18:22 PM,100
0984310-F,12/4/2023 3:39:51 PM,100
0984310-F,12/4/2023 3:39:53 PM,100
0984310-F,12/4/2023 3:39:54 PM,100
0984310-F,12/4/2023 3:39:59 PM,100
0984310-F,12/5/2023 7:18:13 AM,100
0984310-F,12/5/2023 7:22:52 AM,100
0984310-F,11/29/2023 9:16:26 AM,100
0984310-F,11/29/2023 9:17:07 AM,100
0984310-F,11/30/2023 8:53:11 AM,100
0984310-F,11/30/2023 9:11:12 AM,100
0984310-F,11/30/2023 9:13:07 AM,100
0984310-F,11/30/2023 11:46:56 AM,100
0984310-F,12/1/2023 2:05:10 PM,100
0984310-F,12/1/2023 2:39:19 PM,100
0984310-F,11/24/2023 8:48:05 AM,100
0984310-F,11/24/2023 10:54:33 AM,100
0984310-F,11/24/2023 11:01:15 AM,100
0984310-F,11/24/2023 11:14:43 AM,100
0984310-F,11/24/2023 11:16:46 AM,100
0984310-F,11/24/2023 11:40:51 AM,100
0984310-F,11/24/2023 11:46:24 AM,100
0984310-F,11/24/2023 12:16:35 PM,100
0984310-F,11/24/2023 12:37:33 PM,100
0984310-F,11/24/2023 2:03:06 PM,100
0984310-F,11/24/2023 2:36:21 PM,100
0984310-F,11/27/2023 9:31:52 AM,100
0984310-F,11/27/2023 12:54:20 PM,100
0984310-F,11/28/2023 11:32:40 AM,100
0984310-F,11/28/2023 12:20:26 PM,100
0984310-F,11/28/2023 12:47:27 PM,100
0984310-F,11/20/2023 2:24:52 PM,100
0984310-F,11/20/2023 2:29:16 PM,100
0984310-F,11/20/2023 2:29:44 PM,100
0984310-F,11/20/2023 2:54:56 PM,100
0984310-F,11/20/2023 4:11:50 PM,100
0984310-F,11/21/2023 11:37:26 AM,100
0984310-F,11/21/2023 12:01:09 PM,100
0984310-F,11/21/2023 12:07:32 PM,100
0984310-F,11/21/2023 12:15:08 PM,100
0984310-F,11/21/2023 12:43:29 PM,100
0984310-F,11/21/2023 1:15:38 PM,100
0984310-F,11/21/2023 1:15:49 PM,100
0984310-F,11/21/2023 1:17:27 PM,100
0984310-F,11/21/2023 2:02:42 PM,100
0984310-F,11/21/2023 2:18:03 PM,100
0984310-F,11/21/2023 2:50:42 PM,100
0984310-F,11/21/2023 2:50:55 PM,100
0984310-F,11/21/2023 2:54:34 PM,100
0984310-F,11/21/2023 3:00:13 PM,100
0984310-F,11/21/2023 3:28:25 PM,100
0984310-F,11/22/2023 7:23:34 AM,100
0984310-F,11/22/2023 7:44:45 AM,100
0984310-F,11/22/2023 8:05:08 AM,100
0984310-F,11/22/2023 8:10:40 AM,100
0984310-F,11/22/2023 8:16:08 AM,100
0984310-F,11/22/2023 8:18:44 AM,100
0984310-F,11/22/2023 10:59:58 AM,100
0984310-F,11/22/2023 11:00:42 AM,100
0984310-F,11/22/2023 4:04:22 PM,100
0984310-F,11/13/2023 1:46:16 PM,100
0984310-F,11/14/2023 9:32:26 AM,100
0984310-F,11/14/2023 9:38:29 AM,100
0984310-F,11/14/2023 12:20:38 PM,100
0984310-F,11/14/2023 3:20:47 PM,100
0984310-F,11/15/2023 9:13:44 AM,100
0984310-F,11/15/2023 11:04:59 AM,100
0984310-F,11/15/2023 11:30:30 AM,100
0984310-F,11/15/2023 11:46:58 AM,100
0984310-F,11/15/2023 12:02:42 PM,100
0984310-F,11/15/2023 12:14:42 PM,100
0984310-F,11/15/2023 12:31:12 PM,100
0984310-F,11/15/2023 1:48:37 PM,100
0984310-F,11/15/2023 1:55:21 PM,100
0984310-F,11/15/2023 3:13:38 PM,100
0984310-F,11/16/2023 8:22:40 AM,100
0984310-F,11/16/2023 9:00:41 AM,100
0984310-F,11/16/2023 1:42:24 PM,100
0984310-F,11/16/2023 1:50:12 PM,100
0984310-F,11/16/2023 2:06:18 PM,100
0984310-F,11/1/2023 8:55:40 AM,100
0984310-F,11/1/2023 9:04:18 AM,100
0984310-F,11/1/2023 9:34:11 AM,100
0984310-F,11/1/2023 9:40:24 AM,100
0984310-F,11/1/2023 9:40:36 AM,100
0984310-F,11/1/2023 10:00:18 AM,100
0984310-F,11/1/2023 10:29:10 AM,100
0984310-F,11/1/2023 11:24:23 AM,100
0984310-F,11/1/2023 11:49:07 AM,100
0984310-F,11/1/2023 12:33:23 PM,100
