,Sku,Created,Quantity
0,0043121-X,10/16/2023 1:59:07 PM,24
1,0043121-X,10/18/2023 2:09:15 PM,12
2,0043121-X,10/19/2023 11:25:47 AM,12
3,0043121-X,10/19/2023 11:30:16 AM,12
4,0043121-X,10/19/2023 11:48:47 AM,24
5,0043121-X,10/19/2023 12:24:48 PM,24
6,0043121-X,10/19/2023 12:30:22 PM,24
7,0043121-X,10/19/2023 12:50:49 PM,24
8,0043121-X,10/19/2023 4:53:03 PM,24
9,0043121-X,10/19/2023 4:55:13 PM,12
10,0043121-X,10/19/2023 5:10:00 PM,24
11,0043121-X,10/19/2023 5:14:07 PM,24
12,0043121-X,10/19/2023 5:18:16 PM,12
13,0043121-X,10/19/2023 5:22:23 PM,24
14,0043121-X,10/19/2023 5:43:02 PM,24
15,0043121-X,10/19/2023 5:47:52 PM,12
16,0043121-X,10/20/2023 9:59:56 AM,24
17,0043121-X,10/20/2023 10:01:14 AM,24
18,0043121-X,10/20/2023 10:02:37 AM,12
19,0043121-X,10/20/2023 10:04:06 AM,24
20,0043121-X,10/20/2023 10:15:20 AM,12
21,0043121-X,10/20/2023 10:56:07 AM,12
22,0043121-X,10/20/2023 11:12:12 AM,12
23,0043121-X,10/20/2023 11:30:10 AM,12
24,0043121-X,10/21/2023 10:46:09 AM,24
25,0043121-X,10/21/2023 10:52:30 AM,12
26,0043121-X,10/21/2023 10:58:47 AM,12
27,0043121-X,10/21/2023 11:18:40 AM,12
28,0043121-X,10/21/2023 11:22:22 AM,24
29,0043121-X,10/21/2023 11:29:19 AM,12
30,0043121-X,10/21/2023 11:39:07 AM,24
31,0043121-X,10/21/2023 11:45:02 AM,12
32,0043121-X,10/21/2023 11:47:22 AM,24
33,0043121-X,10/23/2023 1:40:55 PM,24
34,0043121-X,10/23/2023 2:30:50 PM,24
35,0043121-X,10/23/2023 2:33:44 PM,12
36,0043121-X,10/23/2023 2:41:23 PM,24
37,0043121-X,10/23/2023 2:47:52 PM,12
38,0043121-X,10/23/2023 2:51:29 PM,12
39,0043121-X,10/23/2023 2:54:57 PM,24
40,0043121-X,10/23/2023 3:46:58 PM,12
41,0043121-X,10/23/2023 3:47:44 PM,12
42,0043121-X,10/23/2023 3:52:19 PM,24
43,0043121-X,10/23/2023 5:00:55 PM,24
44,0043121-X,10/23/2023 5:10:57 PM,12
45,0043121-X,10/23/2023 5:16:14 PM,12
46,0043121-X,10/23/2023 5:43:45 PM,12
47,0043121-X,10/23/2023 5:46:00 PM,12
48,0043121-X,10/23/2023 6:30:42 PM,12
49,0043121-X,10/23/2023 6:33:10 PM,24
50,0043121-X,10/23/2023 6:48:06 PM,12
51,0043121-X,10/23/2023 7:03:54 PM,12
52,0043121-X,10/24/2023 11:17:21 AM,12
53,0043121-X,10/24/2023 11:18:49 AM,12
54,0043121-X,10/24/2023 11:23:41 AM,24
55,0043121-X,10/24/2023 11:31:23 AM,60
56,0043121-X,10/24/2023 11:45:16 AM,12
57,0043121-X,10/24/2023 12:05:23 PM,24
58,0043121-X,10/24/2023 12:17:03 PM,12
59,0043121-X,10/24/2023 5:58:02 PM,24
60,0043121-X,10/25/2023 2:49:08 PM,24
61,0043121-X,10/25/2023 3:30:34 PM,24
62,0043121-X,10/25/2023 4:53:33 PM,24
63,0043121-X,10/25/2023 5:12:35 PM,24
64,0043121-X,10/25/2023 5:18:40 PM,24
65,0043121-X,10/25/2023 5:22:50 PM,36
66,0043121-X,10/25/2023 5:29:33 PM,24
67,0043121-X,10/25/2023 5:30:58 PM,24
68,0043121-X,10/25/2023 5:34:06 PM,48
69,0043121-X,10/25/2023 5:37:39 PM,24
70,0043121-X,10/25/2023 5:41:36 PM,24
71,0043121-X,10/25/2023 5:50:24 PM,24
72,0043121-X,10/25/2023 6:00:24 PM,24
73,0043121-X,10/25/2023 6:03:10 PM,24
74,0043121-X,10/25/2023 6:04:47 PM,24
75,0043121-X,10/25/2023 6:05:12 PM,24
76,0043121-X,10/25/2023 6:09:27 PM,24
77,0043121-X,10/25/2023 6:09:41 PM,24
78,0043121-X,10/25/2023 6:10:52 PM,24
79,0043121-X,10/25/2023 6:14:10 PM,24
80,0043121-X,10/25/2023 6:31:15 PM,24
81,0043121-X,10/25/2023 6:31:24 PM,24
82,0043121-X,10/25/2023 6:31:27 PM,24
83,0043121-X,10/25/2023 6:39:31 PM,24
84,0043121-X,10/25/2023 6:39:32 PM,24
85,0043121-X,10/25/2023 6:39:34 PM,24
86,0043121-X,10/25/2023 6:39:44 PM,24
87,0043121-X,10/25/2023 6:40:02 PM,24
88,0043121-X,10/25/2023 6:40:07 PM,24
89,0043121-X,10/25/2023 6:46:18 PM,48
90,0043121-X,10/25/2023 6:46:35 PM,24
91,0043121-X,10/25/2023 6:47:41 PM,24
92,0043121-X,10/25/2023 6:51:14 PM,48
93,0043121-X,10/25/2023 6:52:17 PM,36
94,0043121-X,10/25/2023 6:52:22 PM,24
95,0043121-X,10/25/2023 6:52:36 PM,24
96,0043121-X,10/25/2023 6:52:47 PM,24
97,0043121-X,10/25/2023 6:56:09 PM,36
98,0043121-X,10/25/2023 6:58:38 PM,24
99,0043121-X,10/25/2023 7:01:27 PM,24
100,0043121-X,10/25/2023 7:01:33 PM,24
101,0043121-X,10/25/2023 7:04:09 PM,24
102,0043121-X,10/25/2023 7:06:03 PM,24
103,0043121-X,10/25/2023 7:06:51 PM,12
104,0043121-X,10/25/2023 7:08:29 PM,24
105,0043121-X,10/25/2023 7:09:38 PM,24
106,0043121-X,10/25/2023 7:11:51 PM,24
107,0043121-X,10/25/2023 7:11:52 PM,36
108,0043121-X,10/25/2023 7:13:52 PM,24
109,0043121-X,10/25/2023 7:14:14 PM,24
110,0043121-X,10/25/2023 7:14:17 PM,48
111,0043121-X,10/26/2023 11:08:36 AM,24
112,0043121-X,10/26/2023 11:09:56 AM,24
113,0043121-X,10/26/2023 11:12:38 AM,24
114,0043121-X,10/26/2023 11:13:37 AM,24
115,0043121-X,10/26/2023 11:15:26 AM,24
116,0043121-X,10/26/2023 11:15:34 AM,24
117,0043121-X,10/26/2023 11:23:30 AM,24
118,0043121-X,10/26/2023 11:23:31 AM,24
119,0043121-X,10/26/2023 12:45:10 PM,12
120,0043121-X,10/26/2023 2:52:18 PM,12
121,0043121-X,10/26/2023 3:19:06 PM,12
122,0043121-X,10/26/2023 4:02:44 PM,12
123,0043121-X,10/27/2023 12:38:14 PM,24
124,0043121-X,10/27/2023 2:16:26 PM,36
125,0043121-X,10/27/2023 2:29:10 PM,24
126,0043121-X,10/27/2023 2:33:57 PM,24
127,0043121-X,10/27/2023 2:34:01 PM,36
128,0043121-X,10/27/2023 2:35:46 PM,36
129,0043121-X,10/30/2023 12:17:14 PM,24
130,0043121-X,10/30/2023 1:31:48 PM,12
131,0043121-X,10/30/2023 1:32:27 PM,12
132,0043121-X,10/30/2023 1:32:34 PM,24
133,0043121-X,10/30/2023 1:35:24 PM,24
134,0043121-X,10/30/2023 1:40:15 PM,60
135,0043121-X,10/30/2023 1:51:30 PM,24
136,0043121-X,10/30/2023 1:57:28 PM,12
137,0043121-X,10/30/2023 1:57:59 PM,12
138,0043121-X,10/30/2023 2:10:17 PM,24
139,0043121-X,10/30/2023 2:10:58 PM,12
140,0043121-X,10/30/2023 2:18:46 PM,60
141,0043121-X,10/30/2023 2:26:55 PM,24
142,0043121-X,10/30/2023 2:28:06 PM,60
143,0043121-X,10/30/2023 2:28:10 PM,24
144,0043121-X,10/30/2023 2:40:19 PM,36
145,0043121-X,10/30/2023 2:40:28 PM,12
146,0043121-X,10/30/2023 2:40:49 PM,48
147,0043121-X,10/30/2023 2:40:53 PM,24
148,0043121-X,10/30/2023 2:40:54 PM,24
149,0043121-X,10/30/2023 2:44:36 PM,24
150,0043121-X,10/30/2023 2:47:00 PM,24
151,0043121-X,10/30/2023 2:49:09 PM,48
152,0043121-X,10/30/2023 2:50:24 PM,24
153,0043121-X,10/30/2023 2:59:25 PM,12
154,0043121-X,10/30/2023 2:59:30 PM,24
155,0043121-X,10/30/2023 2:59:43 PM,24
156,0043121-X,10/30/2023 2:59:49 PM,24
157,0043121-X,10/30/2023 3:04:37 PM,24
158,0043121-X,10/30/2023 3:04:38 PM,24
159,0043121-X,10/30/2023 3:06:03 PM,24
160,0043121-X,10/30/2023 3:06:05 PM,48
161,0043121-X,10/30/2023 3:06:20 PM,12
162,0043121-X,10/30/2023 3:09:24 PM,12
163,0043121-X,10/30/2023 3:10:25 PM,24
164,0043121-X,10/30/2023 3:11:34 PM,12
165,0043121-X,10/30/2023 3:13:05 PM,12
166,0043121-X,10/30/2023 3:14:28 PM,24
167,0043121-X,10/30/2023 3:14:48 PM,24
168,0043121-X,10/30/2023 3:15:34 PM,24
169,0043121-X,10/30/2023 3:20:22 PM,24
170,0043121-X,10/30/2023 3:33:19 PM,60
171,0043121-X,10/30/2023 3:41:04 PM,12
172,0043121-X,10/30/2023 3:41:41 PM,12
173,0043121-X,10/30/2023 3:47:05 PM,12
174,0043121-X,10/30/2023 5:26:32 PM,24
175,0043121-X,10/31/2023 11:54:25 AM,12
176,0043121-X,10/31/2023 12:14:43 PM,12
177,0043121-X,10/31/2023 12:47:45 PM,24
178,0043121-X,10/31/2023 12:49:11 PM,24
179,0043121-X,10/31/2023 12:52:53 PM,144
180,0043121-X,10/31/2023 12:53:08 PM,108
181,0043121-X,10/31/2023 12:57:36 PM,24
182,0043121-X,10/31/2023 1:40:38 PM,12
183,0043121-X,10/31/2023 1:40:41 PM,12
184,0043121-X,10/31/2023 1:40:54 PM,36
185,0043121-X,10/31/2023 1:40:56 PM,24
186,0043121-X,10/31/2023 1:41:00 PM,24
187,0043121-X,10/31/2023 1:46:33 PM,120
188,0043121-X,10/31/2023 1:48:45 PM,24
189,0043121-X,10/31/2023 1:59:22 PM,24
190,0043121-X,10/31/2023 1:59:28 PM,24
191,0043121-X,10/31/2023 2:14:16 PM,24
192,0043121-X,10/31/2023 2:19:08 PM,12
193,0043121-X,10/31/2023 2:19:45 PM,24
194,0043121-X,10/31/2023 2:34:05 PM,24
195,0043121-X,10/31/2023 2:34:20 PM,12
196,0043121-X,10/31/2023 2:34:24 PM,24
197,0043121-X,10/31/2023 2:46:26 PM,24
198,0043121-X,10/31/2023 2:49:29 PM,24
199,0043121-X,10/31/2023 2:49:33 PM,12
200,0043121-X,10/31/2023 2:57:35 PM,24
201,0043121-X,10/31/2023 2:59:05 PM,12
202,0043121-X,10/31/2023 2:59:11 PM,12
203,0043121-X,10/31/2023 3:01:11 PM,12
