Sku,Created,Quantity
0058990-A,1/16/2024 11:10:16 AM,2
0058990-A,1/23/2024 10:49:07 AM,2
0058990-A,1/4/2024 9:32:36 AM,3
0058990-A,1/4/2024 10:29:35 AM,4
0058990-A,1/4/2024 3:01:50 PM,2
0058990-A,1/4/2024 7:03:24 PM,3
0058990-A,1/4/2024 7:22:32 PM,2
0058990-A,1/4/2024 7:54:25 PM,4
0058990-A,1/5/2024 8:16:05 AM,4
0058990-A,1/5/2024 8:18:05 AM,4
0058990-A,1/5/2024 8:33:07 AM,4
0058990-A,1/5/2024 8:44:34 AM,4
0058990-A,1/5/2024 8:46:54 AM,4
0058990-A,1/5/2024 8:54:41 AM,4
0058990-A,1/5/2024 8:55:29 AM,4
0058990-A,1/5/2024 9:13:10 AM,2
0058990-A,1/5/2024 9:18:04 AM,4
0058990-A,1/9/2024 12:30:24 PM,3
0058990-A,1/9/2024 12:46:46 PM,4
0058990-A,1/9/2024 1:56:48 PM,3
0058990-A,1/9/2024 3:13:33 PM,4
0058990-A,1/11/2024 11:33:25 AM,8
0058990-A,1/11/2024 2:07:14 PM,3
0058990-A,1/12/2024 8:51:03 AM,3
0058990-A,12/22/2023 9:30:42 AM,2
0058990-A,12/22/2023 9:43:11 AM,3
0058990-A,12/22/2023 9:45:29 AM,4
0058990-A,12/22/2023 9:50:04 AM,3
0058990-A,12/22/2023 10:02:34 AM,4
0058990-A,12/22/2023 10:03:33 AM,2
0058990-A,12/22/2023 10:40:23 AM,2
0058990-A,12/22/2023 10:40:39 AM,2
0058990-A,12/22/2023 10:40:50 AM,2
0058990-A,12/22/2023 10:55:03 AM,4
0058990-A,12/22/2023 11:15:17 AM,4
0058990-A,12/22/2023 11:21:15 AM,4
0058990-A,12/22/2023 11:31:42 AM,4
0058990-A,12/22/2023 11:35:31 AM,4
0058990-A,12/22/2023 11:38:37 AM,4
0058990-A,12/22/2023 11:39:11 AM,4
0058990-A,12/22/2023 11:39:18 AM,2
0058990-A,12/22/2023 11:39:21 AM,2
0058990-A,12/22/2023 12:05:27 PM,4
0058990-A,12/22/2023 12:12:07 PM,4
0058990-A,12/22/2023 12:34:15 PM,4
0058990-A,12/22/2023 12:34:34 PM,4
0058990-A,12/22/2023 12:37:37 PM,2
0058990-A,12/22/2023 12:37:38 PM,4
0058990-A,12/22/2023 12:37:43 PM,7
0058990-A,12/22/2023 12:40:08 PM,4
0058990-A,12/22/2023 12:40:30 PM,5
0058990-A,12/22/2023 12:43:02 PM,4
0058990-A,12/22/2023 12:45:50 PM,2
0058990-A,12/22/2023 12:51:12 PM,4
0058990-A,12/22/2023 12:59:52 PM,2
0058990-A,12/22/2023 1:03:42 PM,4
0058990-A,12/22/2023 1:14:12 PM,2
0058990-A,12/22/2023 1:47:33 PM,2
0058990-A,12/22/2023 2:11:35 PM,7
0058990-A,12/22/2023 2:19:41 PM,2
0058990-A,12/22/2023 2:30:58 PM,4
0058990-A,12/22/2023 2:54:35 PM,3
0058990-A,12/22/2023 3:29:55 PM,4
0058990-A,12/26/2023 9:34:16 AM,4
0058990-A,12/26/2023 9:34:18 AM,4
0058990-A,12/26/2023 9:39:24 AM,4
0058990-A,12/26/2023 9:48:37 AM,4
0058990-A,12/26/2023 9:49:44 AM,4
0058990-A,12/26/2023 9:58:49 AM,4
0058990-A,12/26/2023 10:06:45 AM,4
0058990-A,12/26/2023 10:38:25 AM,4
0058990-A,12/26/2023 10:41:01 AM,4
0058990-A,12/26/2023 10:43:45 AM,4
0058990-A,12/26/2023 10:52:08 AM,4
0058990-A,12/26/2023 11:15:27 AM,4
0058990-A,12/26/2023 11:25:34 AM,4
0058990-A,12/26/2023 11:25:38 AM,4
0058990-A,12/26/2023 11:25:41 AM,4
0058990-A,12/26/2023 11:28:56 AM,4
0058990-A,12/26/2023 11:56:58 AM,4
0058990-A,12/26/2023 1:52:42 PM,4
0058990-A,12/26/2023 2:04:37 PM,4
