Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Exponential Smoothing w/ Trend & Seasonality,0.4248248993832624,0.6517859306423102,0.4134588141370038,0.37021571933533914,0003714-S,,
Second Degree Approximation,0.22440579446795497,0.4737148873193189,0.2712469886499405,0.05801753717521241,0003715-S,,
Second Degree Approximation,0.3398110218533913,0.5829331195372169,0.47069806577095785,9.630351186007413e-05,0004155-S,,
Exponential Smoothing w/ Trend & Seasonality,0.6121696720418662,0.7824127248721523,0.38541129226438525,0.12513554012038752,0004665-S,,
Exponential Smoothing w/ Trend & Seasonality,2.042512328784205,1.4291649060847404,0.7040273521163113,0.03290309068977859,0004670-S,,
Second Degree Approximation,2.449810908644676,1.565187180066549,1.1271978263356814,0.03266812252114415,0004797-S,,
Least Squares Regression,0.06747125131644433,0.25975228837576064,0.1774589706374902,0.04977987729340938,0004813-S,,
Exponential Smoothing w/ Trend & Seasonality,0.26177812724462696,0.5116425776307392,0.3557842548960638,0.05207575882569959,0004827-S,,
Least Squares Regression,0.2384825546081291,0.4883467565246329,0.3655584174719384,0.004606987301082444,0004833-S,,
Exponential Smoothing w/ Trend & Seasonality,0.08369305860934574,0.2892975261030515,0.22132228203958204,0.43739666157050916,0004863-S,,
Second Degree Approximation,1.0065667737441024,1.0032780141835573,0.5501157240450782,0.0014991529278718385,0004867-S,,
Exponential Smoothing w/ Trend & Seasonality,0.4618037589676552,0.6795614460574225,0.47222482157207196,0.32828544150159245,0004868-S,,
Least Squares Regression,0.6274808267393789,0.7921368737405038,0.4533534308457347,0.0013489373141377659,0004869-S,,
Second Degree Approximation,0.20439178941658967,0.45209710175645856,0.3236903497932273,0.013079645388467176,0004870-S,,
Least Squares Regression,0.0655215554680187,0.25597178646878,0.09725965858041326,0.012136548328333219,0004873-S,,
Exponential Smoothing w/ Trend & Seasonality,1.1229176425120606,1.0596780843784874,0.47903902390966946,0.030867987177764844,0004878-S,,
Exponential Smoothing w/ Trend & Seasonality,0.3800466160165313,0.6164792097196233,0.4020889736155956,0.1270405749553164,0004926-S,,
Exponential Smoothing w/ Trend & Seasonality,0.388780016270996,0.6235222660587159,0.31144576782423006,0.05892286293362903,0004929-S,,
Second Degree Approximation,3.2409020290043102,1.8002505461752567,0.9295516746530184,0.009150972024159931,0004971-S,,
Least Squares Regression,1.027036028571669,1.0134278605661426,0.5373878890138729,0.0002995311241548171,0004978-S,,
Exponential Smoothing w/ Trend & Seasonality,0.54528472954248,0.7384339710105975,0.3525859341544208,0.004156570009685945,0005104-S,,
Second Degree Approximation,0.5745875167839154,0.758015512231719,0.673039086492292,0.04500375174847282,0010054-A,,
Second Degree Approximation,1.7681733665071504,1.3297268014547765,1.0484652601697115,0.015249981524483314,0020344-S,,
Exponential Smoothing w/ Trend & Seasonality,10.141492846578293,3.1845710616311096,2.345355245901372,0.03990587619097519,0020970-F,,
Second Degree Approximation,4.551433378739051,2.1334088634715687,1.543165343697848,0.005453100852164883,0021444-S,,
Least Squares Regression,2.294118496604529,1.5146347733379586,1.0214844623295325,0.011576605186346622,0022930-S,,
Least Squares Regression,6.3459310534844615,2.5191131482099927,1.9460892630607771,0.005166704731577099,0022942-S,,
Second Degree Approximation,8.073378393476856,2.841369105462516,2.0312868877563957,0.037256312297938465,0023130-S,,
Linear Regression,0.6331945683665612,0.7957352376051731,0.7204726994200678,0.025854510205290504,0023970-F,,
Exponential Smoothing w/ Trend & Seasonality,4.3405453324372365,2.083397545462036,1.644496188787482,0.4551805132521727,0023980-F,,
Second Degree Approximation,10.355854518103195,3.218051354174323,2.2951975987710536,0.00865633173220981,0023981-S,,
Linear Regression,0.694724390079238,0.833501283789796,0.7158334102871916,0.021596483971739633,0023985-S,,
Exponential Smoothing w/ Trend & Seasonality,6.715137090594321,2.5913581555999396,1.6075986112377394,0.15023475274733256,0024134-S,,
Exponential Smoothing w/ Trend & Seasonality,1.1984560028594482,1.0947401531228533,0.6429572050387232,0.1187823508386413,0024328-S,,
Exponential Smoothing w/ Trend & Seasonality,1.4137047955823485,1.188993185675321,0.6756911035351084,0.010016116905731232,0024656-S,,
Exponential Smoothing w/ Trend & Seasonality,1.5845602457340822,1.2587931703556714,0.8319033313238791,0.061001335861284645,0024902-S,,
Exponential Smoothing w/ Trend & Seasonality,0.3038348934121345,0.5512122036132133,0.36406006595007995,0.080283565887593,0026522-S,,
Linear Regression,0.978117414946246,0.9889981875343584,0.6600306146825704,0.0007881118596803072,0026549-S,,
Least Squares Regression,0.48865299597449885,0.6990371921253539,0.496969310366919,0.002075738178660136,0026592-S,,
Second Degree Approximation,2.684565691315407,1.638464430897237,1.1740637236326892,0.0010918357896160247,0026610-F,,
Exponential Smoothing w/ Trend & Seasonality,0.25928603775343,0.5092013724975906,0.3030986135890548,0.19237200833098278,0026610-S,,
Second Degree Approximation,0.08202643456188698,0.2864025742934008,0.217257852302782,0.08859517153458907,0026614-S,,
Second Degree Approximation,2.0687551593940245,1.4383167799181182,1.1296804737778308,0.009975517135325185,0026817-F,,
Second Degree Approximation,4.674283819059733,2.1620092088286147,1.7230422173790771,0.01594024861900356,0027464-S,,
Exponential Smoothing w/ Trend & Seasonality,8.441208238505636,2.9053757482476574,2.3479580089355596,0.052584578063280096,0027466-S,,
Second Degree Approximation,2.517324027331295,1.5866077105987146,1.3238738201002358,0.021040656037829786,0027470-S,,
Linear Regression,0.1620501967168635,0.4025545884931179,0.38881562881562903,0.20595403608736906,0027480-S,,
Second Degree Approximation,0.41395207327403283,0.6433910733558812,0.46047181654413233,0.03676536795850094,0027531-S,,
Exponential Smoothing w/ Trend & Seasonality,3.5694626846779505,1.8893021687062,1.4583321132756866,0.20402225846902844,0027640-S,,
Exponential Smoothing w/ Trend & Seasonality,5.744968271765823,2.3968663441597706,1.296040383017862,0.038402471919218084,0027734-S,,
Linear Regression,1.6336538918469548,1.2781447069275664,0.7539932289164012,0.0017634160525837883,0027735-S,,
Second Degree Approximation,16.592087061265257,4.073338564527291,3.11782735904842,0.032927488240319436,0027885-S,,
Least Squares Regression,0.8936493193983993,0.9453302700106452,0.7634770889487872,0.026915185543964992,0028419-F,,
Exponential Smoothing w/ Trend & Seasonality,5.60161277182471,2.36677264895146,1.4763566905840309,0.0003021454413127955,0028419-S,,
Linear Regression,4.016260433200456,2.0040609853995104,1.3542160105266905,0.002094800339764058,0028455-F,,
Second Degree Approximation,7.8728961643349376,2.8058681658864404,1.884982408185523,0.019157454609435076,0028495-S,,
Second Degree Approximation,2.2951052537200995,1.5149604792601354,1.0365600211338744,0.03796396408730229,0028506-F,,
Exponential Smoothing w/ Trend & Seasonality,4.070199902397113,2.0174736435445975,1.4413726694500006,0.03768494466847494,0028661-S,,
Exponential Smoothing w/ Trend & Seasonality,1.9709628422360954,1.4039098412063702,1.1571482237186945,0.2349901636603834,0029042-S,,
Second Degree Approximation,5.555119636623512,2.3569301297712477,1.2072782608572081,0.015049709818526047,0029050-S,,
Second Degree Approximation,10.497723333468844,3.24001903288682,2.8252550992601875,0.06535981411814673,0029089-S,,
Linear Regression,1.1277668875844284,1.061963694099016,0.7418465531673077,0.009467396326447886,0029331-S,,
Least Squares Regression,4.065615025321986,2.0163370316794724,1.7212628641200065,0.07770770258899407,0029445-F,,
Exponential Smoothing w/ Trend & Seasonality,8.323304401984169,2.8850137611429463,2.095096567644644,0.10555534784647747,0029559-S,,
Exponential Smoothing w/ Trend & Seasonality,6.72555757154615,2.5933679977099566,1.846175547862229,0.007817097743291201,0029653-S,,
Exponential Smoothing w/ Trend & Seasonality,41.67749534550324,6.455810975044362,2.941057691828092,0.022521348843049793,0029700-S,,
Least Squares Regression,0.8458854352548997,0.919720302730618,0.8695472873900292,0.015696948067025818,0029851-S,,
Exponential Smoothing w/ Trend & Seasonality,2.658790062655677,1.6305796707476998,1.2858049506197358,0.39684855060125845,0029860-S,,
Exponential Smoothing w/ Trend & Seasonality,4.228023400680729,2.0562157962336367,1.9027935215832625,0.23416934629179254,0030014-F,,
Exponential Smoothing w/ Trend & Seasonality,6.367074780954325,2.5233063192871223,2.0203603362168985,0.0488211455281653,0030015-S,,
Linear Regression,2.4076572384227117,1.5516627334645605,1.1414319248826292,0.006266311784765999,0030139-S,,
Linear Regression,1.5828083437719334,1.2580971122182634,0.925037445240478,0.014055034252746346,0030744-S,,
Exponential Smoothing w/ Trend & Seasonality,2.222692333703054,1.4908696568456459,1.0916317081324092,0.1481897643293686,0030775-F,,
Second Degree Approximation,0.9833879025665538,0.9916591665318049,0.8358317832002051,0.026348611320243687,0030829-S,,
Second Degree Approximation,2.369161295901222,1.5392080093025835,1.1415278755180247,0.17079354643457234,0031152-S,,
Second Degree Approximation,1.7032943301916086,1.305103187564726,0.8972800094381697,0.0648580147967639,0031359-S,,
Least Squares Regression,0.8191182414712926,0.9050515131589432,0.39276419489042463,0.00031335899765982944,0031369-S,,
Linear Regression,0.2984247230232366,0.5462826402360198,0.48641688080190765,0.0015529712977212506,0031471-S,,
Second Degree Approximation,7.409278591931076,2.721999006599943,1.6802220931527443,0.0018269173448365317,0032447-S,,
Exponential Smoothing w/ Trend & Seasonality,3.3821390128717566,1.8390592738875375,1.5000461741783724,0.24579478458608917,0032453-S,,
Second Degree Approximation,1.36936766128989,1.170199838185722,0.7388421372249176,0.21438668037552133,0032525-F,,
Exponential Smoothing w/ Trend & Seasonality,1.9437206546918857,1.3941738251351177,1.1498508050587501,0.06389373151962674,0032535-S,,
