SKU,Model,MSE,RMSE,MAE,R2,Percent Change,Difference
0003705-S,SVR,0.5526625225581359,0.7434127538306938,0.4402705333813846,0.3420684255260287,,
0003710-S,Ridge,20.921577895315107,4.574011138521102,3.8401533036052578,0.3343881345166835,,
0003711-S,Ridge,2.486477974423614,1.5768569923818754,1.1884841363102234,0.3585837072346727,,
0003714-S,Exponential Smoothing w/ Trend & Seasonality,0.4248248993832624,0.6517859306423102,0.4134588141370038,0.3702157193353391,,
0003715-S,Second Degree Approximation,0.2244057944679549,0.4737148873193189,0.2712469886499405,0.0580175371752124,,
0003716-S,CatBoost,0.0933877108225038,0.3055940294287567,0.2468244769154681,0.0544494279221486,,
0003718-S,Linear Regression,0.3741466253048882,0.6116752613150938,0.3775468203334022,0.087447255353931,,
0004155-S,Second Degree Approximation,0.3398110218533913,0.5829331195372169,0.4706980657709578,9.630351186007412e-05,,
0004369-S,Gradient Boosting,414.7496051919736,20.36540216131205,10.896522733668938,0.0495907352211046,,
0004370-S,SVR,336.071131375917,18.3322429444931,10.992043358932026,0.0122431095212177,,
0004597-S,Random Forest,8.760150297471418,2.959755107685671,2.2677227182539688,0.632842423681617,,
0004609-S,Ridge,1.5628362107573266,1.2501344770692977,0.9997127562344952,0.1987991577763073,,
0004610-S,SVR,2.188710964096628,1.4794292697174232,1.2599582855900928,0.2850210850617681,,
0004631-S,Lasso,3.4737496344246717,1.863799783888997,1.2917158453821187,0.0075001044500938,,
0004634-S,Ridge,1.7917302307801737,1.338555277446611,1.024387911247131,0.1041348846099132,,
0004657-X,SVR,5.116438886069528,2.2619546604805163,1.2714013553112666,0.0926512320270789,,
0004658-X,SVR,5.078409264299396,2.2535326188674074,1.2740239775838214,0.0993954014050332,,
0004660-X,SVR,5.078409264299396,2.2535326188674074,1.2740239775838214,0.0993954014050332,,
0004662-S,Elastic Net,17.3646898369766,4.167096091641828,2.082108692216995,0.058540912453076,,
0004665-S,Exponential Smoothing w/ Trend & Seasonality,0.6121696720418662,0.7824127248721523,0.3854112922643852,0.1251355401203875,,
0004670-S,Exponential Smoothing w/ Trend & Seasonality,2.042512328784205,1.4291649060847404,0.7040273521163113,0.0329030906897785,,
0004671-S,Gradient Boosting,13.735321484157671,3.706119464366694,1.9250222550612053,0.3361807635938117,,
0004676-S,SVR,21.954501133510888,4.685563054053471,3.4097641279682103,0.3160328493021607,,
0004678-S,SVR,37.8293285684731,6.150555143112945,4.300331938770797,0.1472078096575277,,
0004679-S,SVR,8.93325990509162,2.9888559525496743,2.5443882889243676,0.1579843388426159,,
0004715-S,Elastic Net,10.529677009316996,3.244946380037272,1.864216522918487,0.1117319921841549,,
0004721-S,SVR,16.36466719712627,4.045326587202357,2.97291807827061,0.0534575528654475,,
0004725-S,Random Forest,0.1876277448855129,0.4331601838644833,0.2571506624688442,0.054043452868872,,
0004726-S,Random Forest,0.194840149686176,0.4414070113695251,0.2665114784205693,0.0176809119988622,,
0004735-S,Linear Regression,0.4301125980425473,0.6558297020130662,0.5400159767196371,0.3766484086339896,,
0004772-S,SVR,195.70078981735455,13.989309840637404,10.893282798748462,0.0376539597373896,,
0004780-S,Decision Tree,1.8,1.3416407864998738,0.6,0.7580645161290323,,
0004785-S,XGBoost,20.68606106812135,4.54819316521642,4.015058612823486,0.5561883486779371,,
0004792-S,Elastic Net,8.064652073864803,2.8398331066921525,2.191388264475622,0.1243591667899238,,
0004797-S,Second Degree Approximation,2.449810908644676,1.565187180066549,1.1271978263356814,0.0326681225211441,,
0004813-S,Least Squares Regression,0.0674712513164443,0.2597522883757606,0.1774589706374902,0.0497798772934093,,
0004817-S,Elastic Net,3.4570847182091553,1.859323726038356,1.4152236260754982,0.0502514510414408,,
0004824-S,CatBoost,10.226445481437514,3.1978814051552185,2.387468900024725,0.5071592539066259,,
0004825-S,Linear Regression,79.87263918600527,8.937149388144146,4.930776255707762,0.1756264304196704,,
0004826-S,Linear Regression,2.3308023530114363,1.5266965490926598,1.3508196721311472,0.2000212262969223,,
0004827-S,Exponential Smoothing w/ Trend & Seasonality,0.2617781272446269,0.5116425776307392,0.3557842548960638,0.0520757588256995,,
0004828-S,Linear Regression,19.942725631242055,4.465727894894857,3.924079147640791,0.5462469729970205,,
0004833-S,Least Squares Regression,0.2384825546081291,0.4883467565246329,0.3655584174719384,0.0046069873010824,,
0004845-S,Elastic Net,6.5648020080928315,2.5621869580678207,1.807220120777756,0.2755463724039245,,
0004859-S,Elastic Net,87.47891553654438,9.353016387056336,8.475678545358019,0.0797672521480398,,
0004860-S,XGBoost,7.944467637414413,2.8185932018321505,1.9413102929134365,0.424416924301818,,
0004863-S,Exponential Smoothing w/ Trend & Seasonality,0.0836930586093457,0.2892975261030515,0.221322282039582,0.4373966615705091,,
0004864-S,SVR,27.686546434226663,5.261800683627865,3.4506371033706245,0.2714066727835088,,
0004867-S,Second Degree Approximation,1.0065667737441024,1.003278014183557,0.5501157240450782,0.0014991529278718,,
0004868-S,Exponential Smoothing w/ Trend & Seasonality,0.4618037589676552,0.6795614460574225,0.4722248215720719,0.3282854415015924,,
0004869-S,Least Squares Regression,0.6274808267393789,0.7921368737405038,0.4533534308457347,0.0013489373141377,,
