Sku,Created,Quantity
0030813-F,2023-11-13 09:52:38,7
0030813-F,2023-11-09 13:54:26,1
0030813-F,2023-10-27 12:00:11,1
0030813-F,2023-10-27 12:20:00,1
0030813-F,2023-10-30 12:42:44,1
0030813-F,2023-10-30 12:52:32,6
0030813-F,2023-10-23 13:59:55,3
0030813-F,2023-10-23 14:05:56,3
0030813-F,2023-10-23 14:09:03,1
0030813-F,2023-10-25 09:43:45,6
0030813-F,2023-10-18 13:42:23,1
0030813-F,2023-10-20 10:45:16,3
0030813-F,2023-10-12 13:10:41,3
0030813-F,2023-10-12 14:22:41,2
0030813-F,2023-10-07 14:43:08,3
