Sku,Created,Quantity
0032179-S,2024-05-10 10:05:45,1
0032179-S,2024-05-13 11:12:11,4
0032179-S,2024-05-13 15:16:39,1
0032179-S,2024-05-14 06:49:23,3
0032179-S,2024-05-14 07:52:04,1
0032179-S,2024-05-14 09:41:15,1
0032179-S,2024-05-14 12:49:59,1
0032179-S,2024-05-08 08:33:33,3
0032179-S,2024-05-08 09:53:39,3
0032179-S,2024-05-08 10:01:12,1
0032179-S,2024-05-08 15:04:18,1
0032179-S,2024-05-09 06:44:09,1
0032179-S,2024-05-09 13:56:58,2
0032179-S,2024-05-06 07:25:20,1
0032179-S,2024-05-06 08:35:59,1
0032179-S,2024-05-06 09:50:34,2
0032179-S,2024-05-06 11:08:16,3
0032179-S,2024-05-06 11:27:48,1
0032179-S,2024-05-06 13:18:12,1
0032179-S,2024-05-06 15:12:41,1
0032179-S,2024-05-07 08:38:51,1
0032179-S,2024-05-07 08:45:03,1
0032179-S,2024-05-07 10:18:43,3
0032179-S,2024-05-07 10:41:02,1
0032179-S,2024-05-07 11:07:02,6
0032179-S,2024-05-07 11:33:11,2
0032179-S,2024-05-07 12:03:29,1
0032179-S,2024-05-04 08:47:44,2
0032179-S,2024-04-30 08:54:18,1
0032179-S,2024-04-30 13:13:25,1
0032179-S,2024-05-01 07:34:34,1
0032179-S,2024-05-01 08:34:28,1
0032179-S,2024-05-01 12:00:31,6
0032179-S,2024-05-01 15:12:07,2
0032179-S,2024-04-26 11:09:41,1
0032179-S,2024-04-29 08:23:16,1
0032179-S,2024-04-29 13:27:25,1
0032179-S,2024-04-24 06:52:38,1
0032179-S,2024-04-25 10:09:01,1
0032179-S,2024-04-25 10:45:22,1
0032179-S,2024-04-25 10:53:15,1
0032179-S,2024-04-25 13:24:22,12
0032179-S,2024-04-19 12:39:00,1
0032179-S,2024-04-19 12:40:19,1
0032179-S,2024-04-19 13:03:56,1
0032179-S,2024-04-19 14:24:24,1
0032179-S,2024-04-19 14:40:22,1
0032179-S,2024-04-22 08:47:08,1
0032179-S,2024-04-22 09:18:22,3
0032179-S,2024-04-22 10:03:40,2
0032179-S,2024-04-22 10:08:29,1
0032179-S,2024-04-23 07:37:00,1
0032179-S,2024-04-17 15:07:00,1
0032179-S,2024-04-18 06:13:07,1
0032179-S,2024-04-18 06:31:37,1
0032179-S,2024-04-18 11:01:04,3
0032179-S,2024-04-18 11:14:13,1
0032179-S,2024-04-19 06:21:09,2
0032179-S,2024-04-19 07:43:20,2
0032179-S,2024-04-19 09:55:35,1
0032179-S,2024-04-19 10:43:45,12
0032179-S,2024-04-15 10:32:32,2
0032179-S,2024-04-15 10:35:36,1
0032179-S,2024-04-15 12:46:59,15
0032179-S,2024-04-15 12:47:02,3
0032179-S,2024-04-15 12:52:46,15
0032179-S,2024-04-15 12:54:19,2
0032179-S,2024-04-15 13:07:03,1
0032179-S,2024-04-12 11:10:01,1
0032179-S,2024-04-12 11:23:14,6
0032179-S,2024-04-12 14:18:54,2
0032179-S,2024-04-13 08:41:30,1
0032179-S,2024-04-13 11:08:38,1
0032179-S,2024-04-15 06:45:14,3
0032179-S,2024-04-15 06:56:46,1
0032179-S,2024-04-15 08:00:21,1
0032179-S,2024-04-15 08:21:06,6
0032179-S,2024-04-15 08:31:05,1
0032179-S,2024-04-15 08:38:30,1
0032179-S,2024-04-09 10:28:16,6
0032179-S,2024-04-10 06:30:47,1
