Sku,Created,Quantity
0040010-X,2023-11-14 11:04:08,2
0040010-X,2023-11-01 11:31:16,1
0040010-X,2023-11-01 14:39:49,1
0040010-X,2023-11-01 14:41:52,3
0040010-X,2023-11-02 13:48:08,1
0040010-X,2023-11-03 11:34:20,1
0040010-X,2023-11-06 12:44:13,2
0040010-X,2023-10-27 08:04:10,1
0040010-X,2023-10-27 08:12:00,4
0040010-X,2023-10-27 08:25:25,1
0040010-X,2023-10-30 08:23:53,2
0040010-X,2023-10-30 08:24:22,1
0040010-X,2023-10-30 09:32:31,1
0040010-X,2023-10-30 10:40:46,3
0040010-X,2023-10-30 10:49:14,4
0040010-X,2023-10-30 10:59:27,1
0040010-X,2023-10-30 11:04:26,1
0040010-X,2023-10-30 11:04:30,1
0040010-X,2023-10-30 11:04:34,1
0040010-X,2023-10-30 11:06:20,1
0040010-X,2023-10-30 11:14:08,1
0040010-X,2023-10-30 11:20:17,2
0040010-X,2023-10-30 14:05:21,3
0040010-X,2023-10-30 14:21:37,1
0040010-X,2023-10-30 14:30:27,3
0040010-X,2023-10-30 14:34:37,2
0040010-X,2023-10-30 14:39:23,1
0040010-X,2023-10-30 14:39:55,1
0040010-X,2023-10-30 14:44:27,1
0040010-X,2023-10-30 14:44:33,3
0040010-X,2023-10-30 14:46:29,1
0040010-X,2023-10-30 14:47:56,7
0040010-X,2023-10-30 14:51:30,2
0040010-X,2023-10-30 14:55:31,1
0040010-X,2023-10-30 14:56:19,1
0040010-X,2023-10-30 14:57:51,1
0040010-X,2023-10-30 15:04:21,1
0040010-X,2023-10-30 15:04:38,1
0040010-X,2023-10-30 15:05:35,1
0040010-X,2023-10-31 07:13:06,1
0040010-X,2023-10-31 07:13:24,2
0040010-X,2023-10-31 07:13:51,1
0040010-X,2023-10-31 07:17:45,4
0040010-X,2023-10-31 07:29:09,2
0040010-X,2023-10-31 07:35:11,1
0040010-X,2023-10-31 09:50:38,1
0040010-X,2023-10-31 09:51:15,5
0040010-X,2023-10-31 09:52:15,3
0040010-X,2023-10-31 10:07:44,1
0040010-X,2023-10-31 10:09:54,1
0040010-X,2023-10-31 10:10:30,1
0040010-X,2023-10-31 10:15:47,1
0040010-X,2023-10-31 10:16:04,1
0040010-X,2023-10-31 10:41:25,2
0040010-X,2023-10-31 10:54:47,1
0040010-X,2023-10-31 11:01:52,2
0040010-X,2023-10-31 13:09:03,1
0040010-X,2023-10-31 14:40:38,1
0040010-X,2023-10-23 15:03:59,1
0040010-X,2023-10-24 07:17:37,1
0040010-X,2023-10-25 13:52:20,1
0040010-X,2023-10-25 13:57:37,2
0040010-X,2023-10-25 14:09:46,1
0040010-X,2023-10-25 14:31:12,1
0040010-X,2023-10-25 14:49:41,1
0040010-X,2023-10-26 10:53:14,1
0040010-X,2023-10-23 09:39:38,1
0040010-X,2023-10-12 10:57:45,1
0040010-X,2023-10-12 13:17:53,3
0040010-X,2023-10-13 05:25:54,1
0040010-X,2023-10-13 05:25:55,1
0040010-X,2023-10-13 05:25:55,1
0040010-X,2023-10-09 07:56:59,1
0040010-X,2023-10-09 07:57:16,1
0040010-X,2023-10-09 08:09:47,5
0040010-X,2023-10-09 08:29:04,2
0040010-X,2023-10-09 08:35:54,1
0040010-X,2023-10-09 08:37:12,1
0040010-X,2023-10-09 08:38:41,1
0040010-X,2023-10-09 09:28:30,2
0040010-X,2023-10-09 11:17:00,1
0040010-X,2023-10-09 11:20:00,1
0040010-X,2023-10-09 13:07:16,1
0040010-X,2023-10-09 13:08:37,1
0040010-X,2023-10-09 13:14:58,1
0040010-X,2023-10-09 13:18:11,1
0040010-X,2023-10-09 13:21:04,1
0040010-X,2023-10-09 13:32:27,1
0040010-X,2023-10-09 13:34:43,1
0040010-X,2023-10-09 13:37:51,1
0040010-X,2023-10-09 13:40:00,2
0040010-X,2023-10-09 14:01:21,3
0040010-X,2023-10-10 14:51:15,1
0040010-X,2023-10-10 14:53:56,1
0040010-X,2023-10-11 06:54:39,1
0040010-X,2023-10-11 07:06:17,1
