Sku,Created,Quantity
0051128-A,2024-01-23 10:49:07,1
0051128-A,2024-01-04 16:10:14,1
0051128-A,2024-01-04 19:22:32,1
0051128-A,2024-01-09 13:39:51,1
0051128-A,2023-12-22 10:40:50,1
0051128-A,2023-12-22 12:45:50,1
0051128-A,2023-12-22 14:10:46,1
0051128-A,2023-12-22 14:19:41,1
0051128-A,2023-12-26 10:33:39,1
0051128-A,2023-12-27 08:31:40,1
0051128-A,2023-12-27 08:39:20,1
0051128-A,2023-12-27 09:20:45,1
0051128-A,2023-12-27 14:30:02,1
0051128-A,2023-12-27 14:39:22,1
0051128-A,2023-12-27 14:48:46,1
0051128-A,2023-12-27 15:12:27,1
0051128-A,2023-12-27 15:24:38,1
0051128-A,2023-12-27 15:32:07,1
0051128-A,2023-12-27 15:54:00,1
0051128-A,2023-12-21 11:53:51,1
0051128-A,2023-12-21 12:01:47,1
0051128-A,2023-12-21 13:48:57,1
0051128-A,2023-12-21 14:27:58,1
0051128-A,2023-12-21 15:57:43,1
0051128-A,2023-12-21 16:07:56,1
0051128-A,2023-12-22 07:48:14,1
0051128-A,2023-12-22 07:53:19,1
0051128-A,2023-12-19 07:48:07,1
0051128-A,2023-12-19 12:39:51,1
0051128-A,2023-12-19 12:48:10,1
0051128-A,2023-12-19 13:01:08,1
0051128-A,2023-12-19 13:09:55,1
0051128-A,2023-12-19 13:48:21,1
0051128-A,2023-12-19 13:53:11,1
0051128-A,2023-12-19 13:57:38,1
0051128-A,2023-12-19 14:12:06,1
0051128-A,2023-12-19 14:32:31,1
0051128-A,2023-12-19 14:37:32,1
0051128-A,2023-12-19 14:47:31,1
0051128-A,2023-12-19 14:58:03,1
0051128-A,2023-12-19 15:14:35,1
0051128-A,2023-12-19 15:33:08,1
0051128-A,2023-12-19 15:47:29,1
0051128-A,2023-12-19 16:00:33,1
0051128-A,2023-12-19 16:04:37,1
0051128-A,2023-12-19 16:09:46,1
0051128-A,2023-12-20 07:12:56,1
0051128-A,2023-12-20 10:38:10,1
0051128-A,2023-12-15 14:22:26,1
0051128-A,2023-12-15 14:36:22,1
0051128-A,2023-12-16 07:53:24,1
0051128-A,2023-12-13 14:19:17,1
0051128-A,2023-12-15 07:44:22,1
0051128-A,2023-12-15 08:03:48,1
0051128-A,2023-12-15 08:29:58,1
0051128-A,2023-12-15 09:09:33,1
0051128-A,2023-12-15 09:27:48,1
0051128-A,2023-12-15 09:29:42,1
0051128-A,2023-12-15 09:37:43,1
0051128-A,2023-12-15 09:56:44,1
0051128-A,2023-12-11 14:57:05,1
0051128-A,2023-12-11 15:21:59,1
0051128-A,2023-12-11 15:54:38,1
0051128-A,2023-12-11 16:05:38,1
0051128-A,2023-12-12 07:31:07,1
0051128-A,2023-12-12 09:39:35,1
0051128-A,2023-12-12 10:37:00,1
0051128-A,2023-12-12 10:52:14,1
0051128-A,2023-12-12 11:25:34,1
0051128-A,2023-12-12 11:47:18,1
0051128-A,2023-12-12 11:56:12,1
0051128-A,2023-12-12 12:09:16,1
0051128-A,2023-12-12 16:05:10,1
0051128-A,2023-12-13 08:43:14,1
0051128-A,2023-12-13 10:17:16,1
0051128-A,2023-12-13 10:28:07,1
0051128-A,2023-12-11 08:39:42,1
0051128-A,2023-12-11 11:26:15,1
0051128-A,2023-12-11 12:51:39,1
0051128-A,2023-12-02 07:30:39,1
0051128-A,2023-11-29 10:30:36,1
0051128-A,2023-11-29 10:42:06,1
0051128-A,2023-11-29 10:44:12,1
0051128-A,2023-11-29 13:49:28,1
0051128-A,2023-11-29 16:15:01,1
0051128-A,2023-11-30 08:31:33,1
0051128-A,2023-11-27 10:45:38,1
0051128-A,2023-11-27 10:45:46,1
0051128-A,2023-11-27 12:36:07,1
0051128-A,2023-11-20 12:53:40,1
0051128-A,2023-11-21 10:44:51,1
0051128-A,2023-11-22 07:35:58,1
0051128-A,2023-11-15 10:34:52,1
0051128-A,2023-11-16 07:56:28,1
0051128-A,2023-11-16 09:17:38,1
0051128-A,2023-11-17 14:39:46,1
0051128-A,2023-11-03 14:21:25,1
0051128-A,2023-11-07 09:54:57,1
0051128-A,2023-11-07 10:01:52,1
0051128-A,2023-11-07 10:42:14,1
0051128-A,2023-11-07 10:55:18,1
0051128-A,2023-11-07 11:16:19,1
0051128-A,2023-11-07 11:22:46,1
0051128-A,2023-11-08 12:41:35,1
0051128-A,2023-11-08 13:47:24,1
0051128-A,2023-11-08 14:45:19,1
0051128-A,2023-11-08 15:42:22,1
0051128-A,2023-11-09 08:36:17,1
0051128-A,2023-11-09 09:26:02,1
0051128-A,2023-11-09 10:48:48,1
0051128-A,2023-11-09 12:11:35,1
0051128-A,2023-11-09 12:28:33,1
0051128-A,2023-11-10 10:30:25,1
0051128-A,2023-11-10 10:48:18,1
0051128-A,2023-10-24 06:59:48,1
