Sku,Created,Quantity
85813EA-X,2023-12-22 09:39:35,1
85813EA-X,2023-12-26 12:15:47,1
85813EA-X,2023-12-27 09:32:09,1
85813EA-X,2023-12-27 09:33:50,1
85813EA-X,2023-12-27 10:01:59,1
85813EA-X,2023-12-27 10:36:33,1
85813EA-X,2023-12-27 10:36:35,1
85813EA-X,2023-12-27 10:36:35,1
85813EA-X,2023-12-27 10:36:37,1
85813EA-X,2023-12-27 10:36:39,1
85813EA-X,2023-12-27 10:36:41,1
85813EA-X,2023-12-27 10:36:43,1
85813EA-X,2023-12-27 10:36:44,1
85813EA-X,2023-12-27 10:36:44,1
85813EA-X,2023-12-28 10:48:51,1
85813EA-X,2023-12-28 10:50:09,1
85813EA-X,2023-12-28 10:50:09,1
85813EA-X,2023-12-28 10:50:10,1
85813EA-X,2023-12-28 10:50:12,1
85813EA-X,2023-12-21 12:17:10,1
85813EA-X,2023-12-21 12:21:36,1
85813EA-X,2023-12-21 12:35:00,1
85813EA-X,2023-12-21 12:45:15,1
85813EA-X,2023-12-21 12:47:37,1
85813EA-X,2023-12-21 12:47:46,1
85813EA-X,2023-12-21 12:56:50,1
85813EA-X,2023-12-21 13:57:55,1
85813EA-X,2023-12-21 15:58:03,1
85813EA-X,2023-12-21 16:01:31,1
85813EA-X,2023-12-21 16:01:55,1
85813EA-X,2023-12-21 16:04:46,1
85813EA-X,2023-12-21 16:06:47,1
85813EA-X,2023-12-21 16:09:29,1
85813EA-X,2023-12-21 16:11:30,1
85813EA-X,2023-12-21 16:14:08,1
85813EA-X,2023-12-22 07:12:12,1
85813EA-X,2023-12-22 07:12:14,1
85813EA-X,2023-12-22 07:12:15,1
85813EA-X,2023-12-22 07:15:49,1
85813EA-X,2023-12-22 07:17:56,1
85813EA-X,2023-12-22 07:18:11,1
85813EA-X,2023-12-22 07:20:02,1
85813EA-X,2023-12-22 07:23:52,2
85813EA-X,2023-12-22 07:33:13,1
85813EA-X,2023-12-22 09:02:22,1
85813EA-X,2023-12-19 12:00:20,1
85813EA-X,2023-12-19 12:01:59,1
85813EA-X,2023-12-19 12:04:33,1
85813EA-X,2023-12-19 12:06:30,1
85813EA-X,2023-12-19 12:10:51,1
85813EA-X,2023-12-19 12:14:11,1
85813EA-X,2023-12-19 12:20:04,1
85813EA-X,2023-12-19 12:22:00,1
85813EA-X,2023-12-19 12:22:36,1
85813EA-X,2023-12-19 12:27:37,1
85813EA-X,2023-12-19 15:00:14,1
85813EA-X,2023-12-20 07:40:29,1
85813EA-X,2023-12-20 07:40:33,1
85813EA-X,2023-12-20 07:40:33,1
85813EA-X,2023-12-20 07:40:35,1
85813EA-X,2023-12-20 07:44:08,1
85813EA-X,2023-12-20 07:49:32,1
85813EA-X,2023-12-20 07:49:34,1
85813EA-X,2023-12-20 07:49:34,1
85813EA-X,2023-12-20 07:49:36,1
85813EA-X,2023-12-20 08:00:15,1
85813EA-X,2023-12-20 08:00:59,1
85813EA-X,2023-12-20 08:03:36,1
85813EA-X,2023-12-20 08:03:36,1
85813EA-X,2023-12-20 08:05:55,1
85813EA-X,2023-12-20 08:05:55,1
85813EA-X,2023-12-15 14:52:32,1
85813EA-X,2023-12-15 14:54:34,1
85813EA-X,2023-12-15 14:57:16,1
85813EA-X,2023-12-16 07:33:40,1
85813EA-X,2023-12-16 07:34:58,1
85813EA-X,2023-12-16 07:37:04,1
85813EA-X,2023-12-16 07:38:39,1
85813EA-X,2023-12-16 07:39:10,1
85813EA-X,2023-12-18 15:47:11,1
85813EA-X,2023-12-14 08:48:08,1
85813EA-X,2023-12-15 10:59:09,1
85813EA-X,2023-12-11 14:11:24,1
85813EA-X,2023-12-11 14:12:34,1
85813EA-X,2023-12-11 15:47:34,1
85813EA-X,2023-12-11 15:59:32,1
85813EA-X,2023-12-11 16:05:21,1
85813EA-X,2023-12-11 16:05:27,1
85813EA-X,2023-12-11 16:12:07,1
85813EA-X,2023-12-13 13:19:36,1
85813EA-X,2023-12-13 13:21:18,1
85813EA-X,2023-12-09 10:53:56,1
85813EA-X,2023-12-09 11:00:43,1
85813EA-X,2023-12-09 11:01:30,1
85813EA-X,2023-12-09 11:03:18,1
85813EA-X,2023-12-09 11:05:20,1
85813EA-X,2023-12-09 11:06:45,1
85813EA-X,2023-12-09 11:10:52,1
85813EA-X,2023-12-09 11:11:59,1
85813EA-X,2023-12-09 12:22:28,1
85813EA-X,2023-12-09 12:22:31,1
