Sku,Created,Quantity
86755NP-X,2024-01-16 11:03:14,1
86755NP-X,2024-01-04 15:53:50,2
86755NP-X,2024-01-04 19:09:01,2
86755NP-X,2024-01-05 07:57:25,3
86755NP-X,2024-01-05 07:59:53,2
86755NP-X,2024-01-05 08:57:03,1
86755NP-X,2024-01-11 09:34:03,1
86755NP-X,2024-01-12 09:52:52,1
86755NP-X,2023-12-22 09:30:38,1
86755NP-X,2023-12-22 10:48:27,1
86755NP-X,2023-12-22 10:56:18,2
86755NP-X,2023-12-22 11:13:29,2
86755NP-X,2023-12-22 11:44:27,2
86755NP-X,2023-12-22 11:54:46,2
86755NP-X,2023-12-22 12:01:47,2
86755NP-X,2023-12-22 12:17:05,1
86755NP-X,2023-12-22 12:19:40,2
86755NP-X,2023-12-22 12:20:13,2
86755NP-X,2023-12-22 12:33:15,2
86755NP-X,2023-12-22 12:52:00,1
86755NP-X,2023-12-22 12:58:44,1
86755NP-X,2023-12-22 13:19:51,2
86755NP-X,2023-12-22 13:20:21,2
86755NP-X,2023-12-22 13:56:22,1
86755NP-X,2023-12-22 14:26:10,1
86755NP-X,2023-12-22 14:39:31,1
86755NP-X,2023-12-22 14:40:07,1
86755NP-X,2023-12-22 14:42:55,1
86755NP-X,2023-12-20 12:13:38,1
86755NP-X,2023-12-20 12:16:22,1
86755NP-X,2023-12-20 12:20:40,1
86755NP-X,2023-12-20 12:52:54,1
86755NP-X,2023-12-20 14:03:56,1
86755NP-X,2023-12-20 14:06:11,1
86755NP-X,2023-12-20 14:07:37,1
86755NP-X,2023-12-20 14:08:51,1
86755NP-X,2023-12-20 14:12:11,1
86755NP-X,2023-12-20 14:23:25,1
86755NP-X,2023-12-20 14:27:17,1
86755NP-X,2023-12-20 14:29:40,1
86755NP-X,2023-12-20 14:32:34,1
86755NP-X,2023-12-20 14:33:48,1
86755NP-X,2023-12-20 14:36:28,1
86755NP-X,2023-12-20 14:45:27,1
86755NP-X,2023-12-20 14:52:44,1
86755NP-X,2023-12-20 15:36:30,2
86755NP-X,2023-12-20 15:43:30,1
86755NP-X,2023-12-20 15:53:24,1
86755NP-X,2023-12-21 09:02:24,2
86755NP-X,2023-12-21 09:07:26,2
