Sku,Created,Quantity
C057852-A,2024-02-05 14:08:14,1
C057852-A,2024-02-05 14:10:24,1
C057852-A,2024-02-05 14:11:57,1
C057852-A,2024-02-05 14:12:48,1
C057852-A,2024-02-05 14:13:48,1
C057852-A,2024-02-05 14:14:03,1
C057852-A,2024-02-05 14:14:44,1
C057852-A,2024-02-05 14:16:53,1
C057852-A,2024-02-05 14:17:50,1
C057852-A,2024-02-05 14:18:26,1
C057852-A,2024-02-05 14:19:54,1
C057852-A,2024-02-05 14:21:27,1
C057852-A,2024-02-05 14:21:44,1
C057852-A,2024-02-05 14:22:36,1
C057852-A,2024-02-05 14:23:12,1
C057852-A,2024-02-05 14:23:29,1
C057852-A,2024-02-05 14:25:48,1
C057852-A,2024-02-05 14:27:41,1
C057852-A,2024-02-05 14:27:45,1
C057852-A,2024-02-05 14:29:40,1
C057852-A,2024-02-05 14:30:03,1
C057852-A,2024-02-05 14:30:42,1
C057852-A,2024-02-05 14:33:51,1
C057852-A,2024-02-05 14:34:39,1
C057852-A,2024-02-05 14:36:12,1
C057852-A,2024-02-05 14:36:17,1
C057852-A,2024-02-05 14:37:26,1
C057852-A,2024-02-05 14:38:23,1
C057852-A,2024-02-05 14:38:39,1
C057852-A,2024-02-05 14:40:16,1
C057852-A,2024-02-05 14:40:43,1
C057852-A,2024-02-05 14:41:38,1
C057852-A,2024-02-05 14:43:50,1
C057852-A,2024-02-05 14:43:55,1
C057852-A,2024-02-05 14:45:20,1
C057852-A,2024-02-05 14:45:29,1
C057852-A,2024-02-05 14:46:50,1
C057852-A,2024-02-05 14:47:49,1
C057852-A,2024-02-05 14:48:14,1
C057852-A,2024-02-05 14:48:19,1
C057852-A,2024-02-05 14:49:52,1
C057852-A,2024-02-05 14:50:09,1
C057852-A,2024-02-05 14:52:13,1
C057852-A,2024-02-05 14:53:19,1
C057852-A,2024-02-05 14:53:23,1
C057852-A,2024-02-05 14:55:24,1
C057852-A,2024-02-05 14:58:24,1
C057852-A,2024-02-05 14:58:47,1
C057852-A,2024-02-05 14:59:12,1
C057852-A,2024-02-05 15:00:31,1
C057852-A,2024-02-05 15:01:28,1
C057852-A,2024-02-05 15:02:01,1
C057852-A,2024-02-05 15:02:32,1
C057852-A,2024-02-05 15:03:54,1
C057852-A,2024-02-05 15:04:25,1
C057852-A,2024-02-05 15:04:44,1
C057852-A,2024-02-05 15:05:34,1
C057852-A,2024-02-05 15:06:16,1
C057852-A,2024-02-05 15:08:23,1
C057852-A,2024-02-05 15:08:24,1
C057852-A,2024-02-05 15:08:48,1
C057852-A,2024-02-05 15:11:24,1
C057852-A,2024-02-05 15:12:55,1
C057852-A,2024-02-05 15:13:02,1
C057852-A,2024-02-05 15:13:37,1
C057852-A,2024-02-05 15:16:20,1
C057852-A,2024-02-05 15:16:58,1
C057852-A,2024-02-05 15:17:49,1
C057852-A,2024-02-05 15:18:53,1
C057852-A,2024-02-05 15:19:27,1
C057852-A,2024-02-05 15:21:10,1
C057852-A,2024-02-05 15:21:12,1
C057852-A,2024-02-05 15:21:38,1
C057852-A,2024-02-05 15:23:22,1
C057852-A,2024-02-05 15:23:31,1
C057852-A,2024-02-05 15:24:18,1
C057852-A,2024-02-05 15:25:34,1
C057852-A,2024-02-05 15:25:57,1
C057852-A,2024-02-05 15:26:42,1
C057852-A,2024-02-05 15:28:10,1
C057852-A,2024-02-05 15:28:22,1
C057852-A,2024-02-05 15:28:30,1
C057852-A,2024-02-05 15:29:21,1
C057852-A,2024-02-05 15:29:23,1
C057852-A,2024-02-05 15:30:20,1
C057852-A,2024-02-05 15:31:12,1
C057852-A,2024-02-05 15:31:38,1
C057852-A,2024-02-05 15:32:29,1
C057852-A,2024-02-05 15:34:23,1
C057852-A,2024-02-05 15:34:31,1
C057852-A,2024-02-05 15:34:36,1
C057852-A,2024-02-05 15:34:39,1
C057852-A,2024-02-05 15:36:31,1
C057852-A,2024-02-05 15:37:23,1
C057852-A,2024-02-05 15:38:26,1
C057852-A,2024-02-05 15:38:28,1
C057852-A,2024-02-05 15:39:04,1
C057852-A,2024-02-05 15:39:12,1
C057852-A,2024-02-05 15:42:19,1
C057852-A,2024-02-05 15:42:35,1
C057852-A,2024-02-05 15:44:01,1
C057852-A,2024-02-05 15:47:04,1
C057852-A,2024-02-05 15:48:46,1
C057852-A,2024-02-05 15:48:51,1
C057852-A,2024-02-05 15:50:40,1
C057852-A,2024-02-05 15:52:31,1
C057852-A,2024-02-05 15:53:34,1
C057852-A,2024-02-05 15:54:15,1
C057852-A,2024-02-05 15:56:10,1
C057852-A,2024-02-05 15:56:09,1
C057852-A,2024-02-05 15:58:00,1
C057852-A,2024-02-05 15:59:51,1
C057852-A,2024-02-05 15:59:55,1
C057852-A,2024-02-05 16:01:16,1
C057852-A,2024-02-05 16:01:38,1
C057852-A,2024-02-05 16:01:43,1
C057852-A,2024-02-05 16:03:01,1
C057852-A,2024-02-05 16:04:06,1
C057852-A,2024-02-05 16:05:31,1
C057852-A,2024-02-05 16:05:52,1
C057852-A,2024-02-05 16:07:33,1
C057852-A,2024-02-05 16:07:46,1
C057852-A,2024-02-05 16:08:36,1
C057852-A,2024-02-05 16:09:27,1
C057852-A,2024-02-05 16:09:44,1
C057852-A,2024-02-05 16:11:29,1
C057852-A,2024-02-05 16:12:09,1
C057852-A,2024-02-06 07:54:25,1
C057852-A,2024-02-06 07:59:09,1
C057852-A,2024-02-06 07:59:59,1
C057852-A,2024-02-06 08:02:27,1
C057852-A,2024-02-06 08:02:56,1
C057852-A,2024-02-06 08:04:04,1
C057852-A,2024-02-06 08:05:47,1
C057852-A,2024-02-06 08:06:17,1
C057852-A,2024-02-06 08:07:52,1
C057852-A,2024-02-06 08:07:54,1
C057852-A,2024-02-06 08:14:44,1
C057852-A,2024-02-06 08:15:51,1
C057852-A,2024-02-06 08:16:32,1
C057852-A,2024-02-06 08:17:55,1
C057852-A,2024-02-06 08:18:48,1
C057852-A,2024-02-06 08:19:04,1
C057852-A,2024-02-06 08:20:25,1
C057852-A,2024-02-06 08:22:14,1
C057852-A,2024-02-06 08:25:31,1
C057852-A,2024-02-06 08:26:16,1
C057852-A,2024-02-06 08:27:10,1
C057852-A,2024-02-06 08:27:32,1
C057852-A,2024-02-06 08:29:53,1
C057852-A,2024-02-06 08:30:38,1
C057852-A,2024-02-06 08:31:43,1
C057852-A,2024-02-06 08:32:25,1
C057852-A,2024-02-06 08:33:22,1
C057852-A,2024-02-06 08:35:22,1
C057852-A,2024-02-06 08:35:43,1
C057852-A,2024-02-06 08:35:46,1
C057852-A,2024-02-06 08:37:59,1
C057852-A,2024-02-06 08:39:57,1
C057852-A,2024-02-06 08:40:36,1
C057852-A,2024-02-06 08:41:44,1
C057852-A,2024-02-06 08:44:46,1
C057852-A,2024-02-06 08:45:07,1
C057852-A,2024-02-06 08:47:45,1
C057852-A,2024-02-06 08:49:47,1
C057852-A,2024-02-06 08:51:34,1
C057852-A,2024-02-06 08:53:13,1
C057852-A,2024-02-06 08:53:49,1
C057852-A,2024-02-06 08:55:23,1
C057852-A,2024-02-06 08:56:55,1
C057852-A,2024-02-06 08:57:11,1
C057852-A,2024-02-06 08:57:42,1
C057852-A,2024-02-06 08:59:32,1
C057852-A,2024-02-06 08:59:48,1
C057852-A,2024-02-06 08:59:54,1
C057852-A,2024-02-06 09:00:29,1
C057852-A,2024-02-06 09:01:11,1
C057852-A,2024-02-06 09:01:18,1
C057852-A,2024-02-06 09:01:30,1
