Sku,Created,Quantity
PT10156-A,2024-01-12 14:05:46,1
PT10156-A,2024-01-24 10:49:10,1
PT10156-A,2024-01-24 14:59:29,1
PT10156-A,2024-01-24 15:06:25,1
PT10156-A,2024-01-25 09:47:40,1
PT10156-A,2024-01-30 16:05:58,1
PT10156-A,2024-01-31 09:34:22,1
PT10156-A,2024-01-31 14:30:50,1
PT10156-A,2024-02-09 12:22:57,1
PT10156-A,2024-01-11 11:45:01,1
PT10156-A,2024-01-11 15:46:58,1
PT10156-A,2024-01-12 09:59:13,1
PT10156-A,2023-12-14 16:00:19,1
PT10156-A,2023-12-08 09:22:52,1
PT10156-A,2023-11-15 10:34:20,1
PT10156-A,2023-11-16 14:28:38,1
PT10156-A,2023-11-06 07:02:44,1
PT10156-A,2023-11-09 09:44:27,1
PT10156-A,2023-11-09 15:05:04,1
PT10156-A,2023-10-30 08:16:12,1
PT10156-A,2023-10-30 08:48:20,1
PT10156-A,2023-10-24 07:43:51,1
