iter	Passed	Remaining
0	0	72
1	1	66
2	2	65
3	2	68
4	3	64
5	4	64
6	4	65
7	5	64
8	6	62
9	6	60
10	7	60
11	7	58
12	8	57
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	51
19	12	50
20	13	50
21	13	48
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	59	1
97	59	1
98	60	0
99	60	0
