Sku,Date,ShippedQty
26,2013-01-01,211
26,2013-01-02,260
26,2013-01-03,296
26,2013-01-04,303
26,2013-01-05,298
26,2013-01-06,309
26,2013-01-07,214
26,2013-01-08,247
26,2013-01-09,237
26,2013-01-10,274
26,2013-01-11,288
26,2013-01-12,306
26,2013-01-13,306
26,2013-01-14,209
26,2013-01-15,256
26,2013-01-16,228
26,2013-01-17,249
26,2013-01-18,306
26,2013-01-19,288
26,2013-01-20,294
26,2013-01-21,217
26,2013-01-22,256
26,2013-01-23,225
26,2013-01-24,245
26,2013-01-25,274
26,2013-01-26,299
26,2013-01-27,361
26,2013-01-28,237
26,2013-01-29,279
26,2013-01-30,262
26,2013-01-31,267
26,2013-02-01,310
26,2013-02-02,302
26,2013-02-03,412
26,2013-02-04,226
26,2013-02-05,268
26,2013-02-06,255
26,2013-02-07,282
26,2013-02-08,299
26,2013-02-09,356
26,2013-02-10,317
26,2013-02-11,251
26,2013-02-12,259
26,2013-02-13,303
26,2013-02-14,328
26,2013-02-15,308
26,2013-02-16,317
26,2013-02-17,361
26,2013-02-18,230
26,2013-02-19,283
26,2013-02-20,299
26,2013-02-21,298
26,2013-02-22,319
26,2013-02-23,341
26,2013-02-24,359
26,2013-02-25,206
26,2013-02-26,286
26,2013-02-27,290
26,2013-02-28,276
26,2013-03-01,408
26,2013-03-02,387
26,2013-03-03,385
26,2013-03-04,310
26,2013-03-05,318
26,2013-03-06,350
26,2013-03-07,332
26,2013-03-08,410
26,2013-03-09,397
26,2013-03-10,427
26,2013-03-11,267
26,2013-03-12,350
26,2013-03-13,319
26,2013-03-14,350
26,2013-03-15,382
26,2013-03-16,371
26,2013-03-17,455
26,2013-03-18,265
26,2013-03-19,347
26,2013-03-20,342
26,2013-03-21,331
26,2013-03-22,415
26,2013-03-23,388
26,2013-03-24,425
26,2013-03-25,274
26,2013-03-26,328
26,2013-03-27,348
26,2013-03-28,362
26,2013-03-29,363
26,2013-03-30,383
26,2013-03-31,430
26,2013-04-01,348
26,2013-04-02,386
26,2013-04-03,388
26,2013-04-04,392
26,2013-04-05,439
26,2013-04-06,489
26,2013-04-07,475
26,2013-04-08,350
26,2013-04-09,372
26,2013-04-10,331
26,2013-04-11,398
26,2013-04-12,430
26,2013-04-13,450
26,2013-04-14,487
26,2013-04-15,342
26,2013-04-16,349
26,2013-04-17,351
26,2013-04-18,426
26,2013-04-19,450
26,2013-04-20,453
26,2013-04-21,506
26,2013-04-22,357
26,2013-04-23,414
26,2013-04-24,387
26,2013-04-25,394
26,2013-04-26,441
26,2013-04-27,442
26,2013-04-28,497
26,2013-04-29,334
26,2013-04-30,407
26,2013-05-01,430
26,2013-05-02,460
26,2013-05-03,439
26,2013-05-04,504
26,2013-05-05,529
26,2013-05-06,375
26,2013-05-07,420
26,2013-05-08,448
26,2013-05-09,422
26,2013-05-10,466
26,2013-05-11,479
26,2013-05-12,579
26,2013-05-13,380
26,2013-05-14,404
26,2013-05-15,390
26,2013-05-16,409
26,2013-05-17,446
26,2013-05-18,524
26,2013-05-19,524
26,2013-05-20,348
26,2013-05-21,413
26,2013-05-22,400
26,2013-05-23,422
26,2013-05-24,481
26,2013-05-25,523
26,2013-05-26,513
26,2013-05-27,345
26,2013-05-28,448
26,2013-05-29,427
26,2013-05-30,461
26,2013-05-31,505
26,2013-06-01,563
26,2013-06-02,559
26,2013-06-03,379
26,2013-06-04,419
26,2013-06-05,430
26,2013-06-06,477
26,2013-06-07,481
26,2013-06-08,536
26,2013-06-09,559
26,2013-06-10,361
26,2013-06-11,473
26,2013-06-12,434
26,2013-06-13,453
26,2013-06-14,520
26,2013-06-15,529
26,2013-06-16,595
26,2013-06-17,393
26,2013-06-18,427
26,2013-06-19,473
26,2013-06-20,468
26,2013-06-21,550
26,2013-06-22,514
26,2013-06-23,571
26,2013-06-24,387
26,2013-06-25,437
26,2013-06-26,417
26,2013-06-27,475
26,2013-06-28,512
26,2013-06-29,560
26,2013-06-30,572
26,2013-07-01,352
26,2013-07-02,506
26,2013-07-03,474
26,2013-07-04,495
26,2013-07-05,562
26,2013-07-06,519
26,2013-07-07,610
26,2013-07-08,382
26,2013-07-09,461
26,2013-07-10,497
26,2013-07-11,568
26,2013-07-12,497
26,2013-07-13,580
26,2013-07-14,626
26,2013-07-15,423
26,2013-07-16,484
26,2013-07-17,468
26,2013-07-18,476
26,2013-07-19,498
26,2013-07-20,569
26,2013-07-21,599
26,2013-07-22,426
26,2013-07-23,480
26,2013-07-24,435
26,2013-07-25,532
26,2013-07-26,571
26,2013-07-27,590
26,2013-07-28,669
26,2013-07-29,416
26,2013-07-30,445
26,2013-07-31,473
26,2013-08-01,442
26,2013-08-02,487
26,2013-08-03,526
26,2013-08-04,518
26,2013-08-05,370
26,2013-08-06,428
26,2013-08-07,404
26,2013-08-08,442
26,2013-08-09,463
26,2013-08-10,500
26,2013-08-11,498
26,2013-08-12,365
26,2013-08-13,437
26,2013-08-14,430
26,2013-08-15,477
26,2013-08-16,467
26,2013-08-17,526
26,2013-08-18,532
26,2013-08-19,364
26,2013-08-20,424
26,2013-08-21,403
26,2013-08-22,421
26,2013-08-23,457
26,2013-08-24,490
26,2013-08-25,500
26,2013-08-26,331
26,2013-08-27,427
26,2013-08-28,385
26,2013-08-29,447
26,2013-08-30,498
26,2013-08-31,482
26,2013-09-01,485
26,2013-09-02,347
26,2013-09-03,376
26,2013-09-04,421
26,2013-09-05,431
26,2013-09-06,430
26,2013-09-07,488
26,2013-09-08,517
26,2013-09-09,322
26,2013-09-10,364
26,2013-09-11,363
26,2013-09-12,409
26,2013-09-13,472
26,2013-09-14,449
26,2013-09-15,507
26,2013-09-16,343
26,2013-09-17,390
26,2013-09-18,382
26,2013-09-19,453
26,2013-09-20,431
26,2013-09-21,482
26,2013-09-22,494
26,2013-09-23,324
26,2013-09-24,364
26,2013-09-25,392
26,2013-09-26,420
26,2013-09-27,473
26,2013-09-28,479
26,2013-09-29,494
26,2013-09-30,346
26,2013-10-01,317
26,2013-10-02,332
26,2013-10-03,412
26,2013-10-04,390
26,2013-10-05,454
26,2013-10-06,457
26,2013-10-07,318
26,2013-10-08,366
26,2013-10-09,354
26,2013-10-10,348
26,2013-10-11,409
26,2013-10-12,480
26,2013-10-13,470
26,2013-10-14,296
26,2013-10-15,339
26,2013-10-16,382
26,2013-10-17,348
26,2013-10-18,396
26,2013-10-19,409
26,2013-10-20,455
26,2013-10-21,316
26,2013-10-22,401
26,2013-10-23,366
26,2013-10-24,366
26,2013-10-25,396
26,2013-10-26,420
26,2013-10-27,404
26,2013-10-28,275
26,2013-10-29,366
26,2013-10-30,366
26,2013-10-31,401
26,2013-11-01,465
26,2013-11-02,447
26,2013-11-03,496
26,2013-11-04,316
26,2013-11-05,384
26,2013-11-06,397
26,2013-11-07,406
26,2013-11-08,472
26,2013-11-09,445
26,2013-11-10,471
26,2013-11-11,362
26,2013-11-12,385
26,2013-11-13,394
26,2013-11-14,428
26,2013-11-15,418
26,2013-11-16,501
26,2013-11-17,509
26,2013-11-18,313
26,2013-11-19,392
26,2013-11-20,392
26,2013-11-21,416
26,2013-11-22,426
26,2013-11-23,468
26,2013-11-24,481
26,2013-11-25,334
26,2013-11-26,337
26,2013-11-27,375
26,2013-11-28,418
26,2013-11-29,464
26,2013-11-30,465
26,2013-12-01,362
26,2013-12-02,253
26,2013-12-03,292
26,2013-12-04,256
26,2013-12-05,320
26,2013-12-06,325
26,2013-12-07,340
26,2013-12-08,331
26,2013-12-09,226
26,2013-12-10,295
26,2013-12-11,292
26,2013-12-12,285
26,2013-12-13,274
26,2013-12-14,331
26,2013-12-15,355
26,2013-12-16,256
26,2013-12-17,271
26,2013-12-18,273
26,2013-12-19,296
26,2013-12-20,302
26,2013-12-21,349
26,2013-12-22,377
26,2013-12-23,269
26,2013-12-24,262
26,2013-12-25,284
26,2013-12-26,294
26,2013-12-27,300
26,2013-12-28,314
26,2013-12-29,345
26,2013-12-30,214
26,2013-12-31,246
26,2014-01-01,304
26,2014-01-02,333
26,2014-01-03,309
26,2014-01-04,366
26,2014-01-05,366
26,2014-01-06,257
26,2014-01-07,286
26,2014-01-08,246
26,2014-01-09,307
26,2014-01-10,331
26,2014-01-11,352
26,2014-01-12,364
26,2014-01-13,242
26,2014-01-14,294
26,2014-01-15,252
26,2014-01-16,305
26,2014-01-17,342
26,2014-01-18,359
26,2014-01-19,352
26,2014-01-20,251
26,2014-01-21,277
26,2014-01-22,272
26,2014-01-23,340
26,2014-01-24,345
26,2014-01-25,386
26,2014-01-26,367
26,2014-01-27,224
26,2014-01-28,272
26,2014-01-29,270
26,2014-01-30,301
26,2014-01-31,345
26,2014-02-01,397
26,2014-02-02,441
26,2014-02-03,278
26,2014-02-04,306
26,2014-02-05,326
26,2014-02-06,371
26,2014-02-07,395
26,2014-02-08,363
26,2014-02-09,407
26,2014-02-10,266
26,2014-02-11,325
26,2014-02-12,274
26,2014-02-13,332
26,2014-02-14,347
26,2014-02-15,384
26,2014-02-16,443
26,2014-02-17,268
26,2014-02-18,320
26,2014-02-19,343
26,2014-02-20,320
26,2014-02-21,366
26,2014-02-22,361
26,2014-02-23,426
26,2014-02-24,261
26,2014-02-25,353
26,2014-02-26,333
26,2014-02-27,362
26,2014-02-28,329
