Date,Sku,ShippedQty
1/11/2024 1:43:40 PM,AFO 46045 SS,1
1/12/2024 10:45:11 AM,AFO 46045 SS,1
1/12/2024 10:45:14 AM,AFO 46045 SS,1
1/12/2024 10:45:15 AM,AFO 46045 SS,1
1/2/2024 6:25:42 AM,AFO 46045 SS,1
1/2/2024 6:25:44 AM,AFO 46045 SS,1
1/2/2024 6:25:51 AM,AFO 46045 SS,1
1/2/2024 6:25:56 AM,AFO 46045 SS,1
1/2/2024 6:25:57 AM,AFO 46045 SS,1
1/2/2024 6:26:02 AM,AFO 46045 SS,1
1/2/2024 6:26:05 AM,AFO 46045 SS,1
1/2/2024 6:26:10 AM,AFO 46045 SS,1
1/2/2024 6:50:05 AM,AFO 46045 SS,1
1/2/2024 6:50:11 AM,AFO 46045 SS,1
1/2/2024 6:50:13 AM,AFO 46045 SS,1
1/2/2024 6:50:19 AM,AFO 46045 SS,1
1/2/2024 6:50:24 AM,AFO 46045 SS,1
1/2/2024 6:50:45 AM,AFO 46045 SS,1
1/2/2024 6:50:50 AM,AFO 46045 SS,1
1/2/2024 6:50:53 AM,AFO 46045 SS,1
1/2/2024 6:50:56 AM,AFO 46045 SS,1
1/2/2024 6:51:01 AM,AFO 46045 SS,1
1/2/2024 6:51:05 AM,AFO 46045 SS,1
1/2/2024 7:19:18 AM,AFO 46045 SS,1
1/2/2024 7:54:21 AM,AFO 46045 SS,1
1/2/2024 8:22:05 AM,AFO 46045 SS,1
1/2/2024 8:22:06 AM,AFO 46045 SS,1
1/2/2024 8:22:09 AM,AFO 46045 SS,1
1/2/2024 8:22:12 AM,AFO 46045 SS,1
1/2/2024 8:53:58 AM,AFO 46045 SS,1
1/2/2024 8:54:02 AM,AFO 46045 SS,1
1/2/2024 8:54:04 AM,AFO 46045 SS,1
1/2/2024 8:54:05 AM,AFO 46045 SS,1
1/2/2024 8:54:08 AM,AFO 46045 SS,1
1/2/2024 8:54:08 AM,AFO 46045 SS,1
1/2/2024 8:54:11 AM,AFO 46045 SS,1
1/2/2024 8:54:12 AM,AFO 46045 SS,1
1/2/2024 8:54:15 AM,AFO 46045 SS,1
1/3/2024 6:16:46 AM,AFO 46045 SS,1
1/3/2024 6:16:47 AM,AFO 46045 SS,1
1/3/2024 6:16:50 AM,AFO 46045 SS,1
1/3/2024 6:16:53 AM,AFO 46045 SS,1
1/3/2024 6:18:04 AM,AFO 46045 SS,1
1/3/2024 6:18:08 AM,AFO 46045 SS,1
1/4/2024 8:29:28 AM,AFO 46045 SS,1
1/4/2024 8:29:30 AM,AFO 46045 SS,1
1/4/2024 8:29:38 AM,AFO 46045 SS,1
1/4/2024 8:29:40 AM,AFO 46045 SS,1
1/4/2024 8:29:43 AM,AFO 46045 SS,1
1/4/2024 8:29:46 AM,AFO 46045 SS,1
1/4/2024 8:29:49 AM,AFO 46045 SS,1
1/4/2024 8:29:52 AM,AFO 46045 SS,1
1/4/2024 8:29:58 AM,AFO 46045 SS,1
1/4/2024 8:30:00 AM,AFO 46045 SS,1
1/4/2024 8:30:04 AM,AFO 46045 SS,1
1/4/2024 8:36:26 AM,AFO 46045 SS,1
1/4/2024 8:36:28 AM,AFO 46045 SS,1
1/4/2024 8:36:31 AM,AFO 46045 SS,1
1/4/2024 8:36:34 AM,AFO 46045 SS,1
1/4/2024 9:30:20 AM,AFO 46045 SS,1
1/5/2024 8:35:27 AM,AFO 46045 SS,1
1/5/2024 8:35:47 AM,AFO 46045 SS,1
1/5/2024 8:46:56 AM,AFO 46045 SS,1
10/10/2023 10:12:45 AM,AFO 46045 SS,1
10/10/2023 10:36:07 AM,AFO 46045 SS,1
10/10/2023 10:36:28 AM,AFO 46045 SS,1
10/10/2023 5:19:40 AM,AFO 46045 SS,1
10/10/2023 5:23:21 AM,AFO 46045 SS,1
10/10/2023 5:23:26 AM,AFO 46045 SS,1
10/10/2023 5:23:31 AM,AFO 46045 SS,1
10/10/2023 5:23:47 AM,AFO 46045 SS,1
10/10/2023 5:23:55 AM,AFO 46045 SS,1
10/11/2023 12:52:49 PM,AFO 46045 SS,1
10/11/2023 5:14:08 AM,AFO 46045 SS,1
10/11/2023 5:39:24 AM,AFO 46045 SS,1
10/11/2023 5:39:30 AM,AFO 46045 SS,1
10/11/2023 5:48:56 AM,AFO 46045 SS,1
10/11/2023 6:01:02 AM,AFO 46045 SS,1
10/11/2023 6:01:18 AM,AFO 46045 SS,1
10/11/2023 6:01:21 AM,AFO 46045 SS,1
10/12/2023 10:32:58 AM,AFO 46045 SS,1
10/12/2023 10:33:16 AM,AFO 46045 SS,1
10/12/2023 10:34:07 AM,AFO 46045 SS,1
10/12/2023 10:35:55 AM,AFO 46045 SS,1
10/12/2023 10:36:13 AM,AFO 46045 SS,1
10/12/2023 10:39:22 AM,AFO 46045 SS,1
10/12/2023 10:53:02 AM,AFO 46045 SS,1
10/12/2023 10:53:08 AM,AFO 46045 SS,1
10/12/2023 11:55:06 AM,AFO 46045 SS,1
10/12/2023 12:06:45 PM,AFO 46045 SS,1
10/12/2023 12:33:31 PM,AFO 46045 SS,1
10/12/2023 12:33:59 PM,AFO 46045 SS,1
10/12/2023 12:35:17 PM,AFO 46045 SS,1
10/12/2023 12:35:46 PM,AFO 46045 SS,1
10/12/2023 7:25:25 AM,AFO 46045 SS,1
10/13/2023 10:32:22 AM,AFO 46045 SS,1
10/13/2023 10:32:29 AM,AFO 46045 SS,1
10/13/2023 10:32:33 AM,AFO 46045 SS,1
10/13/2023 10:33:02 AM,AFO 46045 SS,1
10/13/2023 10:33:06 AM,AFO 46045 SS,1
10/13/2023 10:33:11 AM,AFO 46045 SS,1
10/13/2023 10:33:15 AM,AFO 46045 SS,1
10/13/2023 5:56:08 AM,AFO 46045 SS,1
10/13/2023 5:56:14 AM,AFO 46045 SS,1
10/13/2023 7:05:42 AM,AFO 46045 SS,1
10/13/2023 7:05:52 AM,AFO 46045 SS,1
10/13/2023 7:05:55 AM,AFO 46045 SS,1
10/13/2023 7:06:19 AM,AFO 46045 SS,1
10/13/2023 7:06:26 AM,AFO 46045 SS,1
10/13/2023 7:13:47 AM,AFO 46045 SS,1
10/13/2023 7:13:53 AM,AFO 46045 SS,1
10/13/2023 7:13:57 AM,AFO 46045 SS,1
10/13/2023 7:14:02 AM,AFO 46045 SS,1
10/13/2023 7:14:07 AM,AFO 46045 SS,1
10/13/2023 7:14:12 AM,AFO 46045 SS,1
10/13/2023 8:11:41 AM,AFO 46045 SS,1
10/13/2023 8:11:44 AM,AFO 46045 SS,1
10/13/2023 8:11:51 AM,AFO 46045 SS,1
10/13/2023 8:11:56 AM,AFO 46045 SS,1
10/13/2023 8:12:05 AM,AFO 46045 SS,1
10/13/2023 8:12:09 AM,AFO 46045 SS,1
10/13/2023 9:38:38 AM,AFO 46045 SS,1
10/13/2023 9:43:48 AM,AFO 46045 SS,1
10/13/2023 9:43:53 AM,AFO 46045 SS,1
10/13/2023 9:43:57 AM,AFO 46045 SS,1
10/13/2023 9:44:01 AM,AFO 46045 SS,1
10/13/2023 9:44:06 AM,AFO 46045 SS,1
10/13/2023 9:44:11 AM,AFO 46045 SS,1
10/16/2023 12:02:22 PM,AFO 46045 SS,1
10/16/2023 12:02:24 PM,AFO 46045 SS,1
10/16/2023 12:02:28 PM,AFO 46045 SS,1
10/16/2023 12:54:03 PM,AFO 46045 SS,1
10/16/2023 4:43:11 AM,AFO 46045 SS,1
10/16/2023 4:46:30 AM,AFO 46045 SS,1
10/16/2023 5:37:04 AM,AFO 46045 SS,1
10/16/2023 5:38:05 AM,AFO 46045 SS,1
10/16/2023 6:11:38 AM,AFO 46045 SS,1
10/16/2023 6:11:54 AM,AFO 46045 SS,1
10/16/2023 6:13:03 AM,AFO 46045 SS,1
10/16/2023 7:32:25 AM,AFO 46045 SS,1
10/16/2023 7:32:27 AM,AFO 46045 SS,1
10/16/2023 7:58:12 AM,AFO 46045 SS,1
10/16/2023 7:58:18 AM,AFO 46045 SS,1
10/16/2023 7:58:20 AM,AFO 46045 SS,1
10/16/2023 7:58:25 AM,AFO 46045 SS,1
10/16/2023 7:59:05 AM,AFO 46045 SS,1
10/16/2023 7:59:08 AM,AFO 46045 SS,1
10/16/2023 7:59:13 AM,AFO 46045 SS,1
10/16/2023 7:59:47 AM,AFO 46045 SS,1
10/16/2023 7:59:53 AM,AFO 46045 SS,1
10/16/2023 8:00:02 AM,AFO 46045 SS,1
10/16/2023 8:27:18 AM,AFO 46045 SS,1
10/17/2023 11:50:18 AM,AFO 46045 SS,1
10/17/2023 12:51:58 PM,AFO 46045 SS,1
10/17/2023 12:52:04 PM,AFO 46045 SS,1
10/17/2023 6:31:04 AM,AFO 46045 SS,1
10/17/2023 6:31:29 AM,AFO 46045 SS,1
10/17/2023 6:31:37 AM,AFO 46045 SS,1
10/17/2023 7:09:36 AM,AFO 46045 SS,1
10/17/2023 7:13:51 AM,AFO 46045 SS,1
10/17/2023 7:13:57 AM,AFO 46045 SS,1
10/17/2023 7:14:00 AM,AFO 46045 SS,1
10/18/2023 5:28:31 AM,AFO 46045 SS,1
10/18/2023 5:28:41 AM,AFO 46045 SS,1
10/18/2023 7:41:12 AM,AFO 46045 SS,1
10/18/2023 7:41:17 AM,AFO 46045 SS,1
10/18/2023 7:41:31 AM,AFO 46045 SS,1
10/18/2023 7:41:33 AM,AFO 46045 SS,1
10/18/2023 7:41:34 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
10/19/2023 10:39:03 AM,AFO 46045 SS,1
