Model,MSE,RMSE,MAE,R2,SKU,Percent Change,Difference
Linear Smoothing,1.5992299722960073,1.2646066472607231,0.7326448615676787,-0.08501602735775227,0003708-S,,
Weighted Moving Average,0.16304758818127793,0.4037915157371164,0.3021390374331549,-0.170701937500356,0003710-S,,
Linear Regression,0.08221417069243157,0.2867301356544714,0.21570048309178744,-0.0762582345191043,0003711-S,,
Exponential Smoothing w/ Trend & Seasonality,0.4248248993832624,0.6517859306423102,0.4134588141370038,0.37021571933533914,0003714-S,,
Moving Average,0.0,0.0,0.0,1.0,0004149-X,,
Second Degree Approximation,0.3398110218533913,0.5829331195372169,0.47069806577095785,9.630351186007413e-05,0004155-S,,
Weighted Moving Average,0.5199265381083563,0.7210593166365415,0.6404040404040406,-0.0261707988980715,0004162-S,,
Weighted Moving Average,0.0,0.0,0.0,1.0,0004369-S,,
Exponential Smoothing w/ Trend & Seasonality,0.0,0.0,0.0,1.0,0004370-S,,
Least Squares Regression,0.7891729093304007,0.8883540450351992,0.7118024435114866,-0.0025188664459685484,0004597-S,,
Linear Smoothing,0.24617346943436005,0.49615871395588734,0.49489795927688346,-0.005208333523637032,0004609-S,,
Linear Smoothing,0.6950876836129071,0.8337191875043461,0.7345399710565752,-0.030437004654221944,0004610-S,,
Linear Smoothing,0.39197634284453803,0.6260801409121184,0.558910926294008,-0.18572843710472764,0004613-S,,
Linear Smoothing,0.07230961501908481,0.2689044719209497,0.11145996350086601,-0.018360411518777653,0004631-S,,
Weighted Moving Average,0.05888429752066116,0.242660869364348,0.10227272727272724,-0.0049586776859504855,0004633-S,,
Moving Average,0.0,0.0,0.0,1.0,0004634-S,,
Linear Smoothing,0.13286130769151241,0.364501450877102,0.20449812379428814,-0.003144653356356164,0004646-S,,
Moving Average,0.0,0.0,0.0,1.0,0004646-X,,
Linear Smoothing,0.2296657078530043,0.4792345019434685,0.45672800749611603,-0.00032174975975252096,0004649-S,,
Moving Average,0.0,0.0,0.0,1.0,0004653-X,,
Moving Average,0.0,0.0,0.0,1.0,0004657-X,,
Moving Average,0.0,0.0,0.0,1.0,0004658-X,,
Moving Average,0.0,0.0,0.0,1.0,0004660-X,,
Linear Smoothing,14.07270408346429,3.7513602977405793,1.7321428567007384,-0.08251569872802222,0004662-S,,
Linear Smoothing,0.31737590524325016,0.5633612564272149,0.3153785921041943,-0.005768713799032321,0004663-S,,
Exponential Smoothing w/ Trend & Seasonality,0.6121696720418662,0.7824127248721523,0.38541129226438525,0.12513554012038752,0004665-S,,
Exponential Smoothing w/ Trend & Seasonality,2.042512328784205,1.4291649060847404,0.7040273521163113,0.03290309068977859,0004670-S,,
Linear Smoothing,5.718246479940613,2.391285528735666,1.141135972441795,-0.02676982803493888,0004671-S,,
Weighted Moving Average,0.019365735274826178,0.13916082521610088,0.07629870129870124,-0.10419901494281603,0004674-S,,
Moving Average,0.0,0.0,0.0,1.0,0004674-X,,
Linear Smoothing,1.0848512885601842,1.0415619465783992,0.4990057408718696,-0.06978694182831657,0004676-S,,
Linear Smoothing,0.4767633128275624,0.6904804941687799,0.31084518743713513,-0.04064884787287726,0004678-S,,
Moving Average,0.0,0.0,0.0,1.0,0004678-X,,
Least Squares Regression,0.10100160152765657,0.3178074913019776,0.14117802852963796,-0.0027646182438112454,0004679-S,,
Moving Average,0.0,0.0,0.0,1.0,0004679-X,,
Moving Average,0.0,0.0,0.0,1.0,0004686-X,,
Weighted Moving Average,5.737603305785125,2.3953294775009817,2.020661157024793,-0.009084302325581772,0004715-S,,
Linear Smoothing,0.1846791159301725,0.429743081305764,0.28961263646995744,-0.0007299594466221304,0004721-S,,
Weighted Moving Average,0.3314967860422406,0.5757575757575758,0.3057851239669422,-0.00277777777777799,0004737-S,,
Second Degree Approximation,1.3700687265930718,1.1704993492493159,0.8041148832710996,-0.006135845114068728,0004772-S,,
Linear Regression,0.06761020563755134,0.26001962548536856,0.13142324265226055,-0.2885709780333314,0004780-S,,
Linear Regression,1.1085971237117012,1.052899389168643,0.6871885485828515,-0.0011599259506478443,0004785-S,,
Least Squares Regression,0.10838454803271476,0.32921808582262724,0.24766687280972932,-0.02636882606737445,0004792-S,,
