iter	RMSE
0	3521.904876
1	3492.414526
2	3459.321897
3	3417.885048
4	3387.99959
5	3351.012446
6	3315.370604
7	3288.632719
8	3255.428232
9	3224.00509
10	3196.816844
11	3171.53431
12	3138.22352
13	3107.579846
14	3079.786707
15	3046.746985
16	3015.128176
17	2989.279633
18	2965.436398
19	2941.374143
20	2915.64483
21	2890.93766
22	2867.295993
23	2844.407227
24	2823.977241
25	2802.695987
26	2780.521242
27	2758.027029
28	2733.317576
29	2712.124191
30	2689.893949
31	2676.328213
32	2656.79729
33	2634.734189
34	2610.168407
35	2589.953877
36	2571.375462
37	2550.144881
38	2532.209127
39	2516.861783
40	2499.214798
41	2483.62872
42	2464.84235
43	2447.664056
44	2428.05469
45	2410.296191
46	2397.503507
47	2384.659165
48	2364.769964
49	2349.546866
50	2331.125631
51	2318.482327
52	2304.293879
53	2291.780504
54	2275.280915
55	2258.230311
56	2245.22502
57	2230.140147
58	2219.759768
59	2207.488561
60	2190.955555
61	2186.109605
62	2181.421963
63	2167.558002
64	2153.656018
65	2140.652621
66	2131.383252
67	2121.123828
68	2110.806537
69	2102.416785
70	2090.638955
71	2076.020423
72	2061.163037
73	2050.812013
74	2039.857355
75	2029.564218
76	2021.660884
77	2011.783784
78	1998.710326
79	1989.200626
80	1977.888991
81	1964.892958
82	1952.039597
83	1946.257561
84	1934.518368
85	1926.439504
86	1914.742729
87	1901.181384
88	1890.179502
89	1882.542061
90	1872.771307
91	1860.214604
92	1849.702926
93	1839.1005
94	1829.613938
95	1823.114354
96	1813.044324
97	1806.96225
98	1799.73675
99	1788.479471
100	1781.370292
101	1772.767575
102	1763.583959
103	1756.030631
104	1747.709972
105	1739.925387
106	1730.229307
107	1724.063077
108	1716.480036
109	1709.563919
110	1699.42676
111	1691.153936
112	1681.335532
113	1676.363151
114	1667.99793
115	1659.322528
116	1654.402409
117	1646.811301
118	1637.301825
119	1628.573211
120	1619.266364
121	1610.604058
122	1604.018078
123	1595.851696
124	1591.042771
125	1584.166981
126	1575.812321
127	1574.883573
128	1567.868234
129	1562.797196
130	1554.476418
131	1546.673039
132	1538.764081
133	1532.064329
134	1525.521546
135	1519.896789
136	1514.148628
137	1508.054773
138	1501.26525
139	1494.174358
140	1486.831122
141	1480.803279
142	1473.826087
143	1467.859206
144	1462.563425
145	1456.467976
146	1449.663175
147	1442.603232
148	1436.233194
149	1430.649978
150	1424.706292
151	1419.494838
152	1416.834777
153	1410.617081
154	1404.633531
155	1399.900074
156	1393.810605
157	1387.070268
158	1382.163668
159	1377.319303
160	1371.843053
161	1366.707347
162	1364.214613
163	1358.579181
164	1352.455076
165	1347.271148
166	1342.7711
167	1337.60272
168	1331.88906
169	1327.018667
170	1322.946357
171	1318.28225
172	1313.028546
173	1306.773578
174	1302.032143
175	1295.649812
176	1291.486636
177	1284.770132
178	1280.949709
179	1275.416757
180	1271.690504
181	1265.771959
182	1260.842141
183	1256.134055
184	1252.39201
185	1246.838388
186	1243.016009
187	1238.318783
188	1234.931999
189	1230.319676
190	1224.79482
191	1220.806977
192	1216.193151
193	1212.014629
194	1208.9033
195	1204.944676
196	1199.904305
197	1194.791316
198	1190.26457
199	1185.323884
200	1180.865108
201	1175.497092
202	1172.600652
203	1168.49508
204	1163.623677
205	1160.6105
206	1156.150845
207	1152.163187
208	1148.600028
209	1144.223363
210	1140.052207
211	1136.84932
212	1133.059156
213	1129.151554
214	1125.150713
215	1121.400531
216	1117.75301
217	1114.535982
218	1110.768022
219	1105.62108
220	1101.251942
221	1096.196381
222	1091.487468
223	1087.036162
224	1084.738316
225	1080.300373
226	1077.862804
227	1073.528033
228	1069.344743
229	1064.542143
230	1061.186569
231	1056.698059
232	1052.254356
233	1047.00088
234	1042.997623
235	1038.866206
236	1034.981539
237	1031.248994
238	1026.734448
239	1022.264145
240	1018.409766
241	1014.443852
242	1010.075059
243	1006.294943
244	1002.549018
