date,sales_diff
2013-02-01,229.0
2013-03-01,14521.0
2013-04-01,5696.0
2013-05-01,7749.0
2013-06-01,2259.0
2013-07-01,5996.0
2013-08-01,-7782.0
2013-09-01,-7337.0
2013-10-01,-3278.0
2013-11-01,3335.0
2013-12-01,-16436.0
2014-01-01,1759.0
2014-02-01,50.0
2014-03-01,15891.0
2014-04-01,7420.0
2014-05-01,8959.0
2014-06-01,2088.0
2014-07-01,7193.0
2014-08-01,-9595.0
2014-09-01,-8660.0
2014-10-01,-2394.0
2014-11-01,3766.0
2014-12-01,-20091.0
2015-01-01,-2573.0
2015-02-01,-312.0
2015-03-01,16526.0
2015-04-01,8645.0
2015-05-01,8822.0
2015-06-01,1222.0
2015-07-01,9224.0
2015-08-01,-10527.0
2015-09-01,-9053.0
2015-10-01,-1869.0
2015-11-01,1772.0
2015-12-01,-19591.0
2016-01-01,-142.0
2016-02-01,1163.0
2016-03-01,15843.0
2016-04-01,9992.0
2016-05-01,7945.0
2016-06-01,2729.0
2016-07-01,10796.0
2016-08-01,-14401.0
2016-09-01,-7182.0
2016-10-01,-3008.0
2016-11-01,2142.0
2016-12-01,-20332.0
2017-01-01,-4160.0
2017-02-01,12.0
2017-03-01,17939.0
2017-04-01,11301.0
2017-05-01,6910.0
2017-06-01,3940.0
2017-07-01,9999.0
2017-08-01,-13331.0
2017-09-01,-8097.0
2017-10-01,-4240.0
2017-11-01,3981.0
2017-12-01,-21542.0
