iter	RMSE
0	4838.719199
1	4630.874359
2	4536.748964
3	4371.614981
4	4178.896105
5	4034.972197
6	3914.191404
7	3752.75359
8	3637.497037
9	3563.070429
10	3478.221604
11	3428.516845
12	3326.016905
13	3214.857529
14	3048.164794
15	2923.265808
16	2772.969531
17	2700.205255
18	2614.496108
19	2510.461098
20	2450.290923
21	2383.87903
22	2332.308672
23	2279.963835
24	2231.336873
25	2169.862328
26	2111.51923
27	2026.594446
28	1988.723427
29	1939.906337
30	1845.038454
31	1782.11211
32	1711.687769
33	1657.407502
34	1605.094025
35	1555.898988
36	1514.377157
37	1492.152202
38	1462.04766
39	1425.932761
40	1387.224465
41	1330.515545
42	1275.443431
43	1225.349948
44	1179.434629
45	1138.395776
46	1100.358016
47	1061.492815
48	1031.176036
49	983.2813002
50	972.0763917
51	948.5100917
52	924.3132972
53	887.8060271
54	879.0867423
55	871.1816233
56	832.9763589
57	795.637671
58	775.5992632
59	757.4856426
60	732.4327005
61	722.6679533
62	702.0765285
63	688.8237021
64	662.0553903
65	655.9206751
66	640.8292506
67	607.6489186
68	597.8595738
69	589.2629145
70	581.4560182
71	565.465461
72	558.572989
73	529.3330151
74	517.1905991
75	501.3558853
76	487.4151834
77	477.0208654
78	467.2893713
79	446.3089375
80	429.818321
81	421.657213
82	413.3121927
83	400.7717437
84	393.7919135
85	383.2028216
86	377.5174664
87	366.0021233
88	352.0094922
89	342.1214379
90	338.8283288
91	330.7012876
92	325.4760144
93	318.840921
94	311.8372566
95	297.5010543
96	290.6937436
97	286.0496442
98	281.1321252
99	271.0442527
