iter	Passed	Remaining
0	56	5593
1	56	2772
2	56	1835
3	56	1365
4	57	1084
5	57	896
6	57	762
7	57	662
8	57	583
9	57	520
10	58	470
11	58	427
12	58	390
13	58	359
14	58	332
15	58	308
16	58	287
17	59	269
18	59	252
19	59	237
20	59	223
21	59	211
22	59	199
23	59	189
24	59	179
25	60	170
26	60	162
27	60	155
28	60	148
29	61	143
30	61	136
31	61	130
32	61	125
33	61	120
34	62	115
35	62	110
36	62	106
37	62	101
38	62	97
39	62	94
40	62	90
41	62	86
42	62	83
43	63	80
44	63	77
45	63	74
46	63	71
47	63	68
48	63	66
49	63	63
50	63	61
51	64	59
52	64	56
53	64	54
54	64	52
55	64	50
56	64	48
57	64	46
58	64	45
59	65	43
60	65	41
61	65	40
62	65	38
63	65	36
64	65	35
65	65	33
66	66	32
67	66	31
68	66	29
69	66	28
70	66	27
71	66	25
72	66	24
73	66	23
74	66	22
75	67	21
76	67	20
77	67	18
78	67	17
79	67	16
80	67	15
81	69	15
82	69	14
83	69	13
84	69	12
85	69	11
86	69	10
87	70	9
88	70	8
89	70	7
90	70	6
91	70	6
92	70	5
93	71	4
94	71	3
95	71	2
96	71	2
97	72	1
98	72	0
99	72	0
