Sku,Date,ShippedQty
24,2013-01-01,349
24,2013-01-02,324
24,2013-01-03,317
24,2013-01-04,368
24,2013-01-05,364
24,2013-01-06,414
24,2013-01-07,299
24,2013-01-08,349
24,2013-01-09,351
24,2013-01-10,355
24,2013-01-11,393
24,2013-01-12,409
24,2013-01-13,456
24,2013-01-14,266
24,2013-01-15,338
24,2013-01-16,346
24,2013-01-17,400
24,2013-01-18,417
24,2013-01-19,440
24,2013-01-20,458
24,2013-01-21,316
24,2013-01-22,345
24,2013-01-23,371
24,2013-01-24,343
24,2013-01-25,391
24,2013-01-26,404
24,2013-01-27,446
24,2013-01-28,310
24,2013-01-29,350
24,2013-01-30,342
24,2013-01-31,355
24,2013-02-01,435
24,2013-02-02,488
24,2013-02-03,490
24,2013-02-04,321
24,2013-02-05,382
24,2013-02-06,360
24,2013-02-07,389
24,2013-02-08,442
24,2013-02-09,489
24,2013-02-10,495
24,2013-02-11,346
24,2013-02-12,379
24,2013-02-13,412
24,2013-02-14,431
24,2013-02-15,474
24,2013-02-16,461
24,2013-02-17,511
24,2013-02-18,305
24,2013-02-19,366
24,2013-02-20,367
24,2013-02-21,441
24,2013-02-22,426
24,2013-02-23,474
24,2013-02-24,458
24,2013-02-25,319
24,2013-02-26,369
24,2013-02-27,362
24,2013-02-28,425
24,2013-03-01,547
24,2013-03-02,561
24,2013-03-03,591
24,2013-03-04,404
24,2013-03-05,461
24,2013-03-06,455
24,2013-03-07,470
24,2013-03-08,514
24,2013-03-09,541
24,2013-03-10,612
24,2013-03-11,407
24,2013-03-12,465
24,2013-03-13,501
24,2013-03-14,492
24,2013-03-15,501
24,2013-03-16,545
24,2013-03-17,615
24,2013-03-18,377
24,2013-03-19,448
24,2013-03-20,488
24,2013-03-21,479
24,2013-03-22,512
24,2013-03-23,590
24,2013-03-24,653
24,2013-03-25,395
24,2013-03-26,452
24,2013-03-27,482
24,2013-03-28,494
24,2013-03-29,557
24,2013-03-30,578
24,2013-03-31,622
24,2013-04-01,459
24,2013-04-02,532
24,2013-04-03,526
24,2013-04-04,607
24,2013-04-05,625
24,2013-04-06,630
24,2013-04-07,667
24,2013-04-08,440
24,2013-04-09,581
24,2013-04-10,541
24,2013-04-11,545
24,2013-04-12,605
24,2013-04-13,619
24,2013-04-14,689
24,2013-04-15,427
24,2013-04-16,559
