date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2014-02-01,47838,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0,2259.0,7749.0,5696.0,14521.0,229.0
2014-03-01,63729,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0,2259.0,7749.0,5696.0,14521.0
2014-04-01,71149,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0,2259.0,7749.0,5696.0
2014-05-01,80108,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0,2259.0,7749.0
2014-06-01,82196,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0,2259.0
2014-07-01,89389,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0,5996.0
2014-08-01,79794,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0,-7782.0
2014-09-01,71134,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0,-7337.0
2014-10-01,68740,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0,-3278.0
2014-11-01,72506,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0,3335.0
2014-12-01,52415,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0,-16436.0
2015-01-01,49842,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0,1759.0
2015-02-01,49530,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0,50.0
2015-03-01,66056,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0,15891.0
2015-04-01,74701,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0,7420.0
2015-05-01,83523,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0,8959.0
2015-06-01,84745,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0,2088.0
2015-07-01,93969,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0,7193.0
2015-08-01,83442,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0,-9595.0
2015-09-01,74389,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0,-8660.0
2015-10-01,72520,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0,-2394.0
2015-11-01,74292,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0,3766.0
2015-12-01,54701,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0,-20091.0
2016-01-01,54559,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0,-2573.0
2016-02-01,55722,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0,-312.0
2016-03-01,71565,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0,16526.0
2016-04-01,81557,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0,8645.0
2016-05-01,89502,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0,8822.0
2016-06-01,92231,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0,1222.0
2016-07-01,103027,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0,9224.0
2016-08-01,88626,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0,-10527.0
2016-09-01,81444,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0,-9053.0
2016-10-01,78436,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0,-1869.0
2016-11-01,80578,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0,1772.0
2016-12-01,60246,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0,-19591.0
2017-01-01,56086,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0,-142.0
2017-02-01,56098,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0,1163.0
2017-03-01,74037,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0,15843.0
2017-04-01,85338,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0,9992.0
2017-05-01,92248,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0,7945.0
2017-06-01,96188,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0,2729.0
2017-07-01,106187,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0,10796.0
2017-08-01,92856,-13331.0,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0,-14401.0
2017-09-01,84759,-8097.0,-13331.0,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0,-7182.0
2017-10-01,80519,-4240.0,-8097.0,-13331.0,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0,-3008.0
2017-11-01,84500,3981.0,-4240.0,-8097.0,-13331.0,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0,2142.0
2017-12-01,62958,-21542.0,3981.0,-4240.0,-8097.0,-13331.0,9999.0,3940.0,6910.0,11301.0,17939.0,12.0,-4160.0,-20332.0
